"ltla21_code","total_residents","sexual_orientation","n","prop"
"E07000077",73521,"Bisexual",588,"0.007997715"
"E07000077",73521,"All other sexual orientations",155,"0.002108241"
"E07000077",73521,"Not answered",4379,"0.059561214"
"E07000078",98436,"Straight or Heterosexual",87790,"0.891848511"
"E07000078",98436,"Gay or Lesbian",1581,"0.016061197"
"E07000078",98436,"Bisexual",1812,"0.018407900"
"E07000078",98436,"All other sexual orientations",443,"0.004500386"
"E07000078",98436,"Not answered",6810,"0.069182007"
"E07000079",76315,"Straight or Heterosexual",69820,"0.914892223"
"E07000079",76315,"Gay or Lesbian",876,"0.011478739"
"E07000079",76315,"Bisexual",649,"0.008504226"
"E07000079",76315,"All other sexual orientations",144,"0.001886916"
"E07000079",76315,"Not answered",4826,"0.063237896"
"E07000080",73047,"Straight or Heterosexual",66188,"0.906101551"
"E07000080",73047,"Gay or Lesbian",747,"0.010226293"
"E07000080",73047,"Bisexual",705,"0.009651320"
"E07000080",73047,"All other sexual orientations",210,"0.002874861"
"E07000080",73047,"Not answered",5197,"0.071145975"
"E07000081",106937,"Straight or Heterosexual",96058,"0.898267204"
"E07000081",106937,"Gay or Lesbian",1487,"0.013905384"
"E07000081",106937,"Bisexual",1450,"0.013559385"
"E07000081",106937,"All other sexual orientations",378,"0.003534792"
"E07000081",106937,"Not answered",7564,"0.070733235"
"E07000082",100195,"Straight or Heterosexual",90493,"0.903168821"
"E07000082",100195,"Gay or Lesbian",1246,"0.012435750"
"E07000082",100195,"Bisexual",1153,"0.011507560"
"E07000082",100195,"All other sexual orientations",314,"0.003133889"
"E07000082",100195,"Not answered",6989,"0.069753980"
"E07000083",77353,"Straight or Heterosexual",70842,"0.915827440"
"E07000083",77353,"Gay or Lesbian",875,"0.011311778"
"E07000083",77353,"Bisexual",663,"0.008571096"
"E07000083",77353,"All other sexual orientations",171,"0.002210645"
"E07000083",77353,"Not answered",4802,"0.062079040"
"E07000084",149807,"Straight or Heterosexual",136562,"0.911586241"
"E07000084",149807,"Gay or Lesbian",1914,"0.012776439"
"E07000084",149807,"Bisexual",1794,"0.011975408"
"E07000084",149807,"All other sexual orientations",455,"0.003037241"
"E07000084",149807,"Not answered",9082,"0.060624670"
"E07000085",103830,"Straight or Heterosexual",94943,"0.914408167"
"E07000085",103830,"Gay or Lesbian",1147,"0.011046904"
"E07000085",103830,"Bisexual",958,"0.009226620"
"E07000085",103830,"All other sexual orientations",230,"0.002215159"
"E07000085",103830,"Not answered",6552,"0.063103149"
"E07000086",110332,"Straight or Heterosexual",101243,"0.917621361"
"E07000086",110332,"Gay or Lesbian",1327,"0.012027336"
"E07000086",110332,"Bisexual",1204,"0.010912519"
"E07000086",110332,"All other sexual orientations",262,"0.002374651"
"E07000086",110332,"Not answered",6296,"0.057064134"
"E07000087",95638,"Straight or Heterosexual",87856,"0.918630670"
"E07000087",95638,"Gay or Lesbian",1214,"0.012693699"
"E07000087",95638,"Bisexual",862,"0.009013154"
"E07000087",95638,"All other sexual orientations",199,"0.002080763"
"E07000087",95638,"Not answered",5507,"0.057581714"
"E07000088",67211,"Straight or Heterosexual",61143,"0.909717159"
"E07000088",67211,"Gay or Lesbian",1055,"0.015696835"
"E07000088",67211,"Bisexual",870,"0.012944310"
"E07000088",67211,"All other sexual orientations",196,"0.002916189"
"E07000088",67211,"Not answered",3947,"0.058725506"
"E07000089",80328,"Straight or Heterosexual",74226,"0.924036451"
"E07000089",80328,"Gay or Lesbian",856,"0.010656309"
"E07000089",80328,"Bisexual",672,"0.008365701"
"E07000089",80328,"All other sexual orientations",169,"0.002103874"
"E07000089",80328,"Not answered",4405,"0.054837666"
"E07000090",102865,"Straight or Heterosexual",94059,"0.914392651"
"E07000090",102865,"Gay or Lesbian",1269,"0.012336558"
"E07000090",102865,"Bisexual",978,"0.009507607"
"E07000090",102865,"All other sexual orientations",220,"0.002138726"
"E07000090",102865,"Not answered",6339,"0.061624459"
"E07000091",148743,"Straight or Heterosexual",135869,"0.913448028"
"E07000091",148743,"Gay or Lesbian",1462,"0.009829034"
"E07000091",148743,"Bisexual",1178,"0.007919700"
"E07000091",148743,"All other sexual orientations",250,"0.001680751"
"E07000091",148743,"Not answered",9984,"0.067122486"
"E07000092",80871,"Straight or Heterosexual",72859,"0.900928639"
"E07000092",80871,"Gay or Lesbian",1055,"0.013045467"
"E07000092",80871,"Bisexual",1213,"0.014999196"
"E07000092",80871,"All other sexual orientations",353,"0.004364976"
"E07000092",80871,"Not answered",5391,"0.066661721"
"E07000093",106751,"Straight or Heterosexual",97662,"0.914857940"
"E07000093",106751,"Gay or Lesbian",1212,"0.011353524"
"E07000093",106751,"Bisexual",1070,"0.010023325"
"E07000093",106751,"All other sexual orientations",259,"0.002426207"
"E07000093",106751,"Not answered",6548,"0.061339004"
"E07000094",104750,"Straight or Heterosexual",94375,"0.900954654"
"E07000094",104750,"Gay or Lesbian",1314,"0.012544153"
"E07000094",104750,"Bisexual",1764,"0.016840095"
"E07000094",104750,"All other sexual orientations",417,"0.003980907"
"E07000094",104750,"Not answered",6880,"0.065680191"
"E07000095",79437,"Straight or Heterosexual",72572,"0.913579314"
"E07000095",79437,"Gay or Lesbian",707,"0.008900135"
"E07000095",79437,"Bisexual",510,"0.006420182"
"E07000095",79437,"All other sexual orientations",178,"0.002240769"
"E07000095",79437,"Not answered",5470,"0.068859599"
"E07000096",123780,"Straight or Heterosexual",112619,"0.909831960"
"E07000096",123780,"Gay or Lesbian",1369,"0.011059945"
"E07000096",123780,"Bisexual",1233,"0.009961222"
"E07000096",123780,"All other sexual orientations",329,"0.002657942"
"E07000096",123780,"Not answered",8230,"0.066488932"
"E07000098",86193,"Straight or Heterosexual",77939,"0.904238163"
"E07000098",86193,"Gay or Lesbian",846,"0.009815182"
"E07000098",86193,"Bisexual",707,"0.008202522"
"E07000098",86193,"All other sexual orientations",256,"0.002970079"
"E07000098",86193,"Not answered",6445,"0.074774054"
"E07000099",107742,"Straight or Heterosexual",97811,"0.907826103"
"E07000099",107742,"Gay or Lesbian",1378,"0.012789813"
"E07000099",107742,"Bisexual",1273,"0.011815262"
"E07000099",107742,"All other sexual orientations",290,"0.002691615"
"E07000099",107742,"Not answered",6990,"0.064877207"
