"ltla21_code","total_population","legal_partnership","n","prop"
"E08000009",186149,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3619,"0.019441415210"
"E08000009",186149,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3593,"0.019301742153"
"E08000009",186149,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",26,"0.000139673058"
"E08000009",186149,"Divorced or civil partnership dissolved; measures: Value",15375,"0.082595125410"
"E08000009",186149,"Divorced or civil partnership dissolved: Divorced; measures: Value",15322,"0.082310407254"
"E08000009",186149,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",53,"0.000284718156"
"E08000009",186149,"Widowed or surviving civil partnership partner; measures: Value",11483,"0.061687143095"
"E08000009",186149,"Widowed or surviving civil partnership partner: Widowed; measures: Value",11463,"0.061579702282"
"E08000009",186149,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",20,"0.000107440814"
"E08000010",268693,"Never married and never registered a civil partnership; measures: Value",100070,"0.372432478702"
"E08000010",268693,"Married or in a registered civil partnership; measures: Value",117719,"0.438117107628"
"E08000010",268693,"Married or in a registered civil partnership: Married; measures: Value",117333,"0.436680523869"
"E08000010",268693,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",116708,"0.434354449130"
"E08000010",268693,"Married or in a registered civil partnership: Married: Same sex; measures: Value",625,"0.002326074740"
"E08000010",268693,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",386,"0.001436583759"
"E08000010",268693,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",167,"0.000621527170"
"E08000010",268693,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",219,"0.000815056589"
"E08000010",268693,"Separated, but still legally married or still legally in a civil partnership; measures: Value",6153,"0.022899740596"
"E08000010",268693,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",6106,"0.022724819776"
"E08000010",268693,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",47,"0.000174920820"
"E08000010",268693,"Divorced or civil partnership dissolved; measures: Value",26348,"0.098059867581"
"E08000010",268693,"Divorced or civil partnership dissolved: Divorced; measures: Value",26294,"0.097858894724"
"E08000010",268693,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",54,"0.000200972857"
"E08000010",268693,"Widowed or surviving civil partnership partner; measures: Value",18403,"0.068490805492"
"E08000010",268693,"Widowed or surviving civil partnership partner: Widowed; measures: Value",18383,"0.068416371100"
"E08000010",268693,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",20,"0.000074434392"
"E08000011",124299,"Never married and never registered a civil partnership; measures: Value",56650,"0.455755878969"
"E08000011",124299,"Married or in a registered civil partnership; measures: Value",46204,"0.371716586618"
"E08000011",124299,"Married or in a registered civil partnership: Married; measures: Value",46044,"0.370429367895"
"E08000011",124299,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",45757,"0.368120419311"
"E08000011",124299,"Married or in a registered civil partnership: Married: Same sex; measures: Value",287,"0.002308948584"
"E08000011",124299,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",160,"0.001287218723"
"E08000011",124299,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",58,"0.000466616787"
"E08000011",124299,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",102,"0.000820601936"
"E08000011",124299,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3161,"0.025430614888"
"E08000011",124299,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3149,"0.025334073484"
"E08000011",124299,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",12,"0.000096541404"
"E08000011",124299,"Divorced or civil partnership dissolved; measures: Value",10132,"0.081513125608"
"E08000011",124299,"Divorced or civil partnership dissolved: Divorced; measures: Value",10113,"0.081360268385"
"E08000011",124299,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",19,"0.000152857223"
"E08000011",124299,"Widowed or surviving civil partnership partner; measures: Value",8152,"0.065583793916"
"E08000011",124299,"Widowed or surviving civil partnership partner: Widowed; measures: Value",8142,"0.065503342746"
"E08000011",124299,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",10,"0.000080451170"
"E08000012",403027,"Never married and never registered a civil partnership; measures: Value",215209,"0.533981594285"
"E08000012",403027,"Married or in a registered civil partnership; measures: Value",126987,"0.315083108576"
"E08000012",403027,"Married or in a registered civil partnership: Married; measures: Value",126358,"0.313522419094"
"E08000012",403027,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",125326,"0.310961796604"
"E08000012",403027,"Married or in a registered civil partnership: Married: Same sex; measures: Value",1032,"0.002560622489"
"E08000012",403027,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",629,"0.001560689482"
"E08000012",403027,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",226,"0.000560756475"
"E08000012",403027,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",403,"0.000999933007"
"E08000012",403027,"Separated, but still legally married or still legally in a civil partnership; measures: Value",8957,"0.022224317477"
"E08000012",403027,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",8894,"0.022068000407"
"E08000012",403027,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",63,"0.000156317071"
"E08000012",403027,"Divorced or civil partnership dissolved; measures: Value",29854,"0.074074441663"
"E08000012",403027,"Divorced or civil partnership dissolved: Divorced; measures: Value",29787,"0.073908199699"
"E08000012",403027,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",67,"0.000166241964"
"E08000012",403027,"Widowed or surviving civil partnership partner; measures: Value",22020,"0.054636537999"
"E08000012",403027,"Widowed or surviving civil partnership partner: Widowed; measures: Value",21990,"0.054562101298"
"E08000012",403027,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",30,"0.000074436700"
"E08000013",150575,"Never married and never registered a civil partnership; measures: Value",56456,"0.374936078366"
"E08000013",150575,"Married or in a registered civil partnership; measures: Value",65186,"0.432913830317"
"E08000013",150575,"Married or in a registered civil partnership: Married; measures: Value",64964,"0.431439481986"
"E08000013",150575,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",64513,"0.428444296862"
"E08000013",150575,"Married or in a registered civil partnership: Married: Same sex; measures: Value",451,"0.002995185124"
"E08000013",150575,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",222,"0.001474348331"
"E08000013",150575,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",106,"0.000703968122"
"E08000013",150575,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",116,"0.000770380209"
"E08000013",150575,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3651,"0.024247052964"
"E08000013",150575,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3634,"0.024134152416"
"E08000013",150575,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",17,"0.000112900548"
"E08000013",150575,"Divorced or civil partnership dissolved; measures: Value",14357,"0.095347833306"
"E08000013",150575,"Divorced or civil partnership dissolved: Divorced; measures: Value",14322,"0.095115391001"
"E08000013",150575,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",35,"0.000232442304"
"E08000013",150575,"Widowed or surviving civil partnership partner; measures: Value",10925,"0.072555205047"
"E08000013",150575,"Widowed or surviving civil partnership partner: Widowed; measures: Value",10917,"0.072502075378"
"E08000013",150575,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",8,"0.000053129670"
"E08000014",232390,"Never married and never registered a civil partnership; measures: Value",86727,"0.373195920651"
"E08000014",232390,"Married or in a registered civil partnership; measures: Value",99885,"0.429816257154"
"E08000014",232390,"Married or in a registered civil partnership: Married; measures: Value",99541,"0.428335986919"
"E08000014",232390,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",99033,"0.426150006455"
"E08000014",232390,"Married or in a registered civil partnership: Married: Same sex; measures: Value",508,"0.002185980464"
"E08000014",232390,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",344,"0.001480270235"
"E08000014",232390,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",96,"0.000413098670"
"E08000014",232390,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",248,"0.001067171565"
"E08000014",232390,"Separated, but still legally married or still legally in a civil partnership; measures: Value",4923,"0.021184216188"
"E08000014",232390,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",4907,"0.021115366410"
"E08000014",232390,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",16,"0.000068849778"
"E08000014",232390,"Divorced or civil partnership dissolved; measures: Value",22505,"0.096841516416"
"E08000014",232390,"Divorced or civil partnership dissolved: Divorced; measures: Value",22453,"0.096617754637"
"E08000014",232390,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",52,"0.000223761780"
"E08000014",232390,"Widowed or surviving civil partnership partner; measures: Value",18350,"0.078962089591"
"E08000014",232390,"Widowed or surviving civil partnership partner: Widowed; measures: Value",18334,"0.078893239812"
"E08000014",232390,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",16,"0.000068849778"
"E08000015",262113,"Never married and never registered a civil partnership; measures: Value",97809,"0.373155852628"
"E08000015",262113,"Married or in a registered civil partnership; measures: Value",111552,"0.425587437479"
"E08000015",262113,"Married or in a registered civil partnership: Married; measures: Value",111111,"0.423904957022"
"E08000015",262113,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",110492,"0.421543380145"
"E08000015",262113,"Married or in a registered civil partnership: Married: Same sex; measures: Value",619,"0.002361576877"
"E08000015",262113,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",441,"0.001682480457"
"E08000015",262113,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",128,"0.000488338999"
"E08000015",262113,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",313,"0.001194141458"
"E08000015",262113,"Separated, but still legally married or still legally in a civil partnership; measures: Value",6358,"0.024256713707"
"E08000015",262113,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",6331,"0.024153704700"
"E08000015",262113,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",27,"0.000103009008"
"E08000015",262113,"Divorced or civil partnership dissolved; measures: Value",26822,"0.102329911145"
"E08000015",262113,"Divorced or civil partnership dissolved: Divorced; measures: Value",26777,"0.102158229466"
"E08000015",262113,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",45,"0.000171681679"
"E08000015",262113,"Widowed or surviving civil partnership partner; measures: Value",19572,"0.074670085040"
"E08000015",262113,"Widowed or surviving civil partnership partner: Widowed; measures: Value",19559,"0.074620488110"
"E08000015",262113,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",13,"0.000049596930"
"E06000010",213876,"Never married and never registered a civil partnership; measures: Value",98052,"0.458452561297"
"E06000010",213876,"Married or in a registered civil partnership; measures: Value",76226,"0.356402775440"
"E06000010",213876,"Married or in a registered civil partnership: Married; measures: Value",75715,"0.354013540556"
"E06000010",213876,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",75120,"0.351231554733"
"E06000010",213876,"Married or in a registered civil partnership: Married: Same sex; measures: Value",595,"0.002781985824"
"E06000010",213876,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",511,"0.002389234884"
"E06000010",213876,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",215,"0.001005255382"
"E06000010",213876,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",296,"0.001383979502"
"E06000010",213876,"Separated, but still legally married or still legally in a civil partnership; measures: Value",5848,"0.027342946380"
"E06000010",213876,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",5811,"0.027169948942"
"E06000010",213876,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",37,"0.000172997438"
"E06000010",213876,"Divorced or civil partnership dissolved; measures: Value",21505,"0.100548916194"
"E06000010",213876,"Divorced or civil partnership dissolved: Divorced; measures: Value",21464,"0.100357216331"
"E06000010",213876,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",41,"0.000191699863"
"E06000010",213876,"Widowed or surviving civil partnership partner; measures: Value",12245,"0.057252800688"
"E06000010",213876,"Widowed or surviving civil partnership partner: Widowed; measures: Value",12228,"0.057173315379"
"E06000010",213876,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",17,"0.000079485309"
"E06000011",288138,"Never married and never registered a civil partnership; measures: Value",83043,"0.288205651459"
"E06000011",288138,"Married or in a registered civil partnership; measures: Value",147515,"0.511959547161"
"E06000011",288138,"Married or in a registered civil partnership: Married; measures: Value",147016,"0.510227738098"
"E06000011",288138,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",146371,"0.507989227384"
"E06000011",288138,"Married or in a registered civil partnership: Married: Same sex; measures: Value",645,"0.002238510714"
"E06000011",288138,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",499,"0.001731809064"
"E06000011",288138,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",182,"0.000631641783"
"E06000011",288138,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",317,"0.001100167281"
"E06000011",288138,"Separated, but still legally married or still legally in a civil partnership; measures: Value",5931,"0.020583886888"
"E06000011",288138,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",5896,"0.020462417314"
"E06000011",288138,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",35,"0.000121469574"
"E06000011",288138,"Divorced or civil partnership dissolved; measures: Value",28878,"0.100222809904"
"E06000011",288138,"Divorced or civil partnership dissolved: Divorced; measures: Value",28829,"0.100052752501"
"E06000011",288138,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",49,"0.000170057403"
"E06000011",288138,"Widowed or surviving civil partnership partner; measures: Value",22771,"0.079028104589"
"E06000011",288138,"Widowed or surviving civil partnership partner: Widowed; measures: Value",22751,"0.078958693404"
"E06000011",288138,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",20,"0.000069411185"
"E06000012",127521,"Never married and never registered a civil partnership; measures: Value",46129,"0.361736498302"
"E06000012",127521,"Married or in a registered civil partnership; measures: Value",54606,"0.428211823935"
"E06000012",127521,"Married or in a registered civil partnership: Married; measures: Value",54384,"0.426470934199"
"E06000012",127521,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",54098,"0.424228166341"
"E06000012",127521,"Married or in a registered civil partnership: Married: Same sex; measures: Value",286,"0.002242767858"
"E06000012",127521,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",222,"0.001740889736"
"E06000012",127521,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",86,"0.000674398726"
"E06000012",127521,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",136,"0.001066491009"
"E06000012",127521,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3326,"0.026081978654"
"E06000012",127521,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3296,"0.025846723285"
"E06000012",127521,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",30,"0.000235255370"
"E06000012",127521,"Divorced or civil partnership dissolved; measures: Value",14339,"0.112444224873"
"E06000012",127521,"Divorced or civil partnership dissolved: Divorced; measures: Value",14315,"0.112256020577"
"E06000012",127521,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",24,"0.000188204296"
"E06000012",127521,"Widowed or surviving civil partnership partner; measures: Value",9121,"0.071525474236"
"E06000012",127521,"Widowed or surviving civil partnership partner: Widowed; measures: Value",9114,"0.071470581316"
"E06000012",127521,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",7,"0.000054892920"
"E06000013",139464,"Never married and never registered a civil partnership; measures: Value",45316,"0.324929730970"
"E06000013",139464,"Married or in a registered civil partnership; measures: Value",65967,"0.473003785923"
"E06000013",139464,"Married or in a registered civil partnership: Married; measures: Value",65723,"0.471254230482"
"E06000013",139464,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",65364,"0.468680089485"
"E06000013",139464,"Married or in a registered civil partnership: Married: Same sex; measures: Value",359,"0.002574140997"
"E06000013",139464,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",244,"0.001749555441"
"E06000013",139464,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",99,"0.000709860609"
"E06000013",139464,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",145,"0.001039694832"
"E06000013",139464,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3120,"0.022371364653"
"E06000013",139464,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3096,"0.022199277233"
"E06000013",139464,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",24,"0.000172087420"
"E06000013",139464,"Divorced or civil partnership dissolved; measures: Value",14811,"0.106199449320"
"E06000013",139464,"Divorced or civil partnership dissolved: Divorced; measures: Value",14795,"0.106084724373"
"E06000013",139464,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",16,"0.000114724947"
"E06000013",139464,"Widowed or surviving civil partnership partner; measures: Value",10250,"0.073495669133"
"E06000013",139464,"Widowed or surviving civil partnership partner: Widowed; measures: Value",10242,"0.073438306660"
"E06000013",139464,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",8,"0.000057362473"
"E06000014",172084,"Never married and never registered a civil partnership; measures: Value",73584,"0.427605123079"
"E06000014",172084,"Married or in a registered civil partnership; measures: Value",71101,"0.413176123289"
"E06000014",172084,"Married or in a registered civil partnership: Married; measures: Value",70717,"0.410944654936"
"E06000014",172084,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",70181,"0.407829897027"
"E06000014",172084,"Married or in a registered civil partnership: Married: Same sex; measures: Value",536,"0.003114757909"
"E06000014",172084,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",384,"0.002231468353"
"E06000014",172084,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",126,"0.000732200553"
"E06000014",172084,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",258,"0.001499267799"
"E06000014",172084,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2858,"0.016608168104"
"E06000014",172084,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2827,"0.016428023523"
"E06000014",172084,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",31,"0.000180144581"
"E06000014",172084,"Divorced or civil partnership dissolved; measures: Value",14455,"0.083999674578"
"E06000014",172084,"Divorced or civil partnership dissolved: Divorced; measures: Value",14418,"0.083784663304"
"E06000014",172084,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",37,"0.000215011274"
"E06000014",172084,"Widowed or surviving civil partnership partner; measures: Value",10086,"0.058610910950"
"E06000014",172084,"Widowed or surviving civil partnership partner: Widowed; measures: Value",10076,"0.058552799795"
"E06000014",172084,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",10,"0.000058111155"
"E07000163",48282,"Never married and never registered a civil partnership; measures: Value",13466,"0.278903110890"
"E07000163",48282,"Married or in a registered civil partnership; measures: Value",25156,"0.521022327161"
"E07000163",48282,"Married or in a registered civil partnership: Married; measures: Value",25024,"0.518288389048"
"E07000163",48282,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",24887,"0.515450892672"
"E07000163",48282,"Married or in a registered civil partnership: Married: Same sex; measures: Value",137,"0.002837496375"
"E07000163",48282,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",132,"0.002733938114"
"E07000163",48282,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",47,"0.000973447662"
"E07000163",48282,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",85,"0.001760490452"
"E07000163",48282,"Separated, but still legally married or still legally in a civil partnership; measures: Value",995,"0.020608094114"
"E07000163",48282,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",993,"0.020566670809"
"E07000163",48282,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",2,"0.000041423305"
"E07000163",48282,"Divorced or civil partnership dissolved; measures: Value",4985,"0.103247587092"
"E07000163",48282,"Divorced or civil partnership dissolved: Divorced; measures: Value",4973,"0.102999047264"
"E07000163",48282,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",12,"0.000248539829"
"E07000163",48282,"Widowed or surviving civil partnership partner; measures: Value",3680,"0.076218880742"
"E07000163",48282,"Widowed or surviving civil partnership partner: Widowed; measures: Value",3679,"0.076198169090"
"E07000163",48282,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",1,"0.000020711652"
"E07000164",76984,"Never married and never registered a civil partnership; measures: Value",20682,"0.268653226644"
"E07000164",76984,"Married or in a registered civil partnership; measures: Value",41597,"0.540333056219"
"E07000164",76984,"Married or in a registered civil partnership: Married; measures: Value",41478,"0.538787280474"
"E07000164",76984,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",41321,"0.536747895667"
"E07000164",76984,"Married or in a registered civil partnership: Married: Same sex; measures: Value",157,"0.002039384807"
"E07000164",76984,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",119,"0.001545775746"
"E07000164",76984,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",32,"0.000415670789"
"E07000164",76984,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",87,"0.001130104957"
"E07000164",76984,"Separated, but still legally married or still legally in a civil partnership; measures: Value",1521,"0.019757352177"
"E07000164",76984,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",1512,"0.019640444768"
"E07000164",76984,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",9,"0.000116907409"
"E07000164",76984,"Divorced or civil partnership dissolved; measures: Value",7316,"0.095032734075"
"E07000164",76984,"Divorced or civil partnership dissolved: Divorced; measures: Value",7307,"0.094915826665"
"E07000164",76984,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",9,"0.000116907409"
"E07000164",76984,"Widowed or surviving civil partnership partner; measures: Value",5868,"0.076223630884"
"E07000164",76984,"Widowed or surviving civil partnership partner: Widowed; measures: Value",5865,"0.076184661748"
"E07000164",76984,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",3,"0.000038969136"
"E07000165",135307,"Never married and never registered a civil partnership; measures: Value",40365,"0.298321594596"
"E07000165",135307,"Married or in a registered civil partnership; measures: Value",69391,"0.512841168602"
"E07000165",135307,"Married or in a registered civil partnership: Married; measures: Value",69115,"0.510801362827"
"E07000165",135307,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",68796,"0.508443761224"
"E07000165",135307,"Married or in a registered civil partnership: Married: Same sex; measures: Value",319,"0.002357601602"
"E07000165",135307,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",276,"0.002039805775"
"E07000165",135307,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",74,"0.000546904447"
"E07000165",135307,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",202,"0.001492901328"
"E07000165",135307,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2653,"0.019607263482"
"E07000165",135307,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2645,"0.019548138677"
"E07000165",135307,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",8,"0.000059124805"
"E07000165",135307,"Divorced or civil partnership dissolved; measures: Value",13519,"0.099913529973"
"E07000165",135307,"Divorced or civil partnership dissolved: Divorced; measures: Value",13502,"0.099787889762"
"E07000165",135307,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",17,"0.000125640211"
"E07000165",135307,"Widowed or surviving civil partnership partner; measures: Value",9379,"0.069316443347"
"E07000165",135307,"Widowed or surviving civil partnership partner: Widowed; measures: Value",9365,"0.069212974938"
"E07000165",135307,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",14,"0.000103468409"
"E07000166",41743,"Never married and never registered a civil partnership; measures: Value",12225,"0.292863474115"
"E07000166",41743,"Married or in a registered civil partnership; measures: Value",21795,"0.522123469803"
"E07000166",41743,"Married or in a registered civil partnership: Married; measures: Value",21697,"0.519775770788"
"E07000166",41743,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",21604,"0.517547852335"
"E07000166",41743,"Married or in a registered civil partnership: Married: Same sex; measures: Value",93,"0.002227918453"
"E07000166",41743,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",98,"0.002347699015"
"E07000166",41743,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",26,"0.000622858922"
"E07000166",41743,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",72,"0.001724840093"
"E07000166",41743,"Separated, but still legally married or still legally in a civil partnership; measures: Value",1014,"0.024291497976"
"E07000166",41743,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",1003,"0.024027980739"
"E07000166",41743,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",11,"0.000263517236"
"E07000166",41743,"Divorced or civil partnership dissolved; measures: Value",3927,"0.094075653403"
"E07000166",41743,"Divorced or civil partnership dissolved: Divorced; measures: Value",3923,"0.093979828953"
"E07000166",41743,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",4,"0.000095824450"
"E07000166",41743,"Widowed or surviving civil partnership partner; measures: Value",2782,"0.066645904703"
"E07000166",41743,"Widowed or surviving civil partnership partner: Widowed; measures: Value",2774,"0.066454255803"
"E07000166",41743,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",8,"0.000191648899"
"E07000167",46327,"Never married and never registered a civil partnership; measures: Value",13075,"0.282232823192"
"E07000167",46327,"Married or in a registered civil partnership; measures: Value",24210,"0.522589418698"
"E07000167",46327,"Married or in a registered civil partnership: Married; measures: Value",24131,"0.520884149632"
"E07000167",46327,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",24011,"0.518293867507"
"E07000167",46327,"Married or in a registered civil partnership: Married: Same sex; measures: Value",120,"0.002590282125"
"E07000167",46327,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",79,"0.001705269066"
"E07000167",46327,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",28,"0.000604399162"
"E07000167",46327,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",51,"0.001100869903"
"E07000167",46327,"Separated, but still legally married or still legally in a civil partnership; measures: Value",944,"0.020376886049"
"E07000167",46327,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",943,"0.020355300365"
"E07000167",46327,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",1,"0.000021585684"
"E07000167",46327,"Divorced or civil partnership dissolved; measures: Value",4548,"0.098171692534"
