"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"RAE","January 2023",613,570,0.931,574,538,0.938,39,32,0.82,13,12,0.908,0,0,NA,12,12,0.989
"RAJ","January 2023",1861,1743,0.937,1787,1699,0.951,74,44,0.598,78,73,0.937,0,0,NA,28,16,0.572
"RAL","January 2023",981,966,0.984,936,928,0.991,45,38,0.842,73,66,0.904,0,0,NA,4,2,0.403
"RAN","January 2023",152,125,0.819,125,103,0.826,27,21,0.79,8,5,0.605,4,2,0.613,0,0,NA
"RAP","January 2023",533,526,0.986,517,513,0.991,16,13,0.825,20,19,0.93,0,0,NA,6,6,1
"RAS","January 2023",371,341,0.92,347,323,0.93,24,19,0.772,12,8,0.704,0,0,NA,18,7,0.403
"RAX","January 2023",410,388,0.945,386,374,0.968,24,14,0.569,15,12,0.8,0,0,NA,20,7,0.373
"RBD","January 2023",338,326,0.966,324,316,0.975,14,11,0.762,9,8,0.956,0,0,NA,0,0,NA
"RBK","January 2023",574,554,0.965,532,524,0.986,42,30,0.704,14,12,0.817,0,0,NA,2,0,0.226
"RBL","January 2023",781,745,0.954,762,731,0.959,19,14,0.732,18,13,0.731,0,0,NA,7,5,0.8
"RBN","January 2023",758,735,0.969,728,717,0.984,30,18,0.6,14,12,0.825,0,0,NA,0,0,NA
"RBQ","January 2023",152,121,0.793,152,121,0.793,0,0,NA,30,23,0.78,0,0,NA,0,0,NA
"RBS","January 2023",215,166,0.77,0,0,NA,215,166,0.77,0,0,NA,21,15,0.694,0,0,NA
"RBT","January 2023",561,547,0.975,534,529,0.99,27,18,0.682,12,12,0.966,0,0,NA,15,9,0.574
"RBV","January 2023",174,160,0.921,174,160,0.921,0,0,NA,8,5,0.588,0,0,NA,0,0,NA
"RC9","January 2023",1073,1024,0.954,978,944,0.965,95,80,0.842,26,15,0.578,0,0,NA,22,15,0.694
"RCB","January 2023",863,789,0.914,822,767,0.934,41,21,0.521,34,17,0.486,0,0,NA,2,2,0.758
"RCD","January 2023",324,288,0.891,307,280,0.914,17,8,0.478,11,6,0.531,0,0,NA,0,0,NA
"RCF","January 2023",378,356,0.94,361,343,0.95,17,13,0.736,7,6,0.851,0,0,NA,0,0,NA
"RCU","January 2023",152,106,0.696,0,0,NA,152,106,0.696,0,0,NA,9,7,0.813,2,1,0.516
"RCX","January 2023",528,515,0.976,511,505,0.988,17,10,0.6,13,9,0.69,0,0,NA,3,2,0.559
"RD1","January 2023",557,528,0.947,528,512,0.969,29,15,0.533,14,13,0.964,0,0,NA,7,6,0.866
"RD8","January 2023",519,502,0.968,476,471,0.989,43,32,0.734,10,7,0.748,0,0,NA,4,3,0.742
"RDE","January 2023",1262,1198,0.949,1221,1173,0.96,41,25,0.606,28,21,0.758,0,0,NA,10,5,0.533
"RDU","January 2023",1351,1328,0.983,1280,1273,0.995,71,56,0.779,28,27,0.948,0,0,NA,10,4,0.441
"REF","January 2023",681,653,0.959,644,633,0.983,37,20,0.541,15,12,0.802,0,0,NA,7,2,0.35
"REM","January 2023",1558,1497,0.961,1558,1497,0.961,0,0,NA,61,48,0.79,0,0,NA,0,0,NA
"REN","January 2023",100,90,0.9,100,90,0.9,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"REP","January 2023",24,15,0.624,24,15,0.624,0,0,NA,2,1,0.306,0,0,NA,44,32,0.735
"RET","January 2023",154,129,0.835,154,129,0.835,0,0,NA,20,14,0.723,0,0,NA,0,0,NA
"RF4","January 2023",991,948,0.957,947,912,0.963,44,36,0.824,57,52,0.919,0,0,NA,11,10,0.865
"RFF","January 2023",443,418,0.943,435,413,0.949,8,5,0.649,24,19,0.793,0,0,NA,2,1,0.581
"RFR","January 2023",464,437,0.942,440,420,0.954,24,17,0.709,13,9,0.717,0,0,1,14,10,0.7
"RFS","January 2023",544,520,0.957,522,504,0.967,22,16,0.728,16,15,0.933,0,0,NA,3,3,0.847
"RGM","January 2023",180,161,0.895,180,161,0.895,0,0,NA,35,29,0.824,0,0,NA,0,0,NA
"RGN","January 2023",921,891,0.967,878,861,0.98,43,30,0.704,23,17,0.764,0,0,NA,6,5,0.835
"RGP","January 2023",459,438,0.956,430,421,0.98,29,17,0.596,12,9,0.761,0,0,NA,9,5,0.595
"RGR","January 2023",456,423,0.927,441,414,0.937,15,9,0.62,16,15,0.92,0,0,NA,12,6,0.492
"RGT","January 2023",993,947,0.954,916,890,0.971,76,58,0.757,60,52,0.865,9,4,0.48,50,34,0.674
"RH5","January 2023",682,650,0.952,641,627,0.978,41,23,0.551,16,12,0.78,0,0,NA,8,3,0.403
"RH8","January 2023",1159,1090,0.94,1106,1061,0.959,53,29,0.542,37,26,0.691,0,0,NA,8,5,0.583
"RHM","January 2023",1087,1033,0.95,995,948,0.953,92,84,0.915,86,82,0.95,14,14,0.971,12,7,0.568
"RHQ","January 2023",1497,1344,0.898,1497,1344,0.898,0,0,NA,120,82,0.685,0,0,NA,50,30,0.592
"RHU","January 2023",1101,1049,0.952,1072,1027,0.958,29,22,0.744,22,22,1,0,0,NA,14,11,0.82
"RHW","January 2023",617,581,0.94,566,544,0.961,51,36,0.711,22,20,0.891,0,0,NA,2,0,0.113
"RJ1","January 2023",956,880,0.921,836,791,0.947,120,89,0.74,79,72,0.908,19,16,0.852,20,17,0.869
"RJ2","January 2023",923,902,0.977,891,874,0.981,32,28,0.87,36,30,0.826,0,0,NA,5,2,0.355
"RJ6","January 2023",501,486,0.97,483,476,0.984,18,11,0.586,15,12,0.798,0,0,NA,9,4,0.487
"RJ7","January 2023",847,816,0.964,796,774,0.972,51,42,0.833,62,54,0.879,15,11,0.751,40,31,0.781
"RJC","January 2023",398,380,0.954,381,370,0.972,17,10,0.564,7,5,0.714,0,0,NA,12,5,0.439
"RJE","January 2023",1339,1238,0.924,1287,1194,0.927,52,44,0.85,58,51,0.887,6,5,0.769,12,9,0.734
"RJL","January 2023",667,594,0.89,622,572,0.92,45,21,0.477,14,13,0.903,0,0,NA,26,18,0.69
"RJN","January 2023",350,331,0.945,335,322,0.962,15,8,0.553,6,5,0.866,0,0,NA,0,0,NA
"RJR","January 2023",473,457,0.966,451,447,0.991,22,10,0.462,15,13,0.838,0,0,NA,12,6,0.46
"RJZ","January 2023",1236,1200,0.97,1168,1132,0.969,68,68,0.997,124,118,0.955,15,14,0.914,49,46,0.932
"RK5","January 2023",680,654,0.962,652,633,0.971,28,21,0.765,13,12,0.953,0,0,NA,10,3,0.277
"RK9","January 2023",1029,975,0.948,976,950,0.973,53,25,0.476,46,32,0.685,0,0,NA,15,11,0.738
"RKB","January 2023",1078,1055,0.978,1019,1009,0.99,59,46,0.775,44,39,0.887,0,0,NA,27,21,0.784
"RKE","January 2023",262,256,0.976,245,242,0.986,17,14,0.819,11,11,1,0,0,1,6,3,0.575
"RL1","January 2023",137,111,0.811,129,107,0.832,8,4,0.476,5,3,0.634,0,0,NA,0,0,NA
"RL4","January 2023",864,815,0.942,824,777,0.942,40,38,0.948,30,20,0.675,0,0,NA,14,14,0.972
"RLQ","January 2023",336,319,0.947,321,303,0.946,16,15,0.96,8,7,0.855,0,0,NA,3,1,0.183
"RLT","January 2023",300,300,1,300,300,1,0,0,NA,8,7,0.851,0,0,NA,0,0,NA
"RM1","January 2023",1040,980,0.943,998,960,0.963,42,20,0.468,29,25,0.848,0,0,NA,15,13,0.854
"RM3","January 2023",1560,1409,0.903,1511,1379,0.913,49,29,0.599,64,59,0.912,0,0,NA,9,5,0.599
"RMC","January 2023",643,580,0.902,565,531,0.94,78,49,0.626,18,14,0.788,0,0,NA,38,25,0.648
"RMP","January 2023",434,413,0.95,394,386,0.979,40,27,0.669,10,8,0.826,0,0,NA,1,1,0.581
"RN3","January 2023",557,544,0.978,522,517,0.99,34,27,0.796,12,10,0.825,0,0,NA,8,6,0.806
"RN5","January 2023",812,763,0.94,778,731,0.939,33,32,0.97,27,18,0.681,0,0,NA,4,0,0.057
"RN7","January 2023",579,554,0.957,534,521,0.976,45,33,0.729,13,11,0.851,0,0,NA,0,0,NA
"RNA","January 2023",635,594,0.934,604,576,0.954,31,17,0.554,31,25,0.803,0,0,NA,18,14,0.767
"RNN","January 2023",640,596,0.932,593,575,0.97,47,21,0.45,15,12,0.762,0,0,0,0,0,NA
"RNQ","January 2023",568,554,0.975,542,533,0.982,26,21,0.825,29,10,0.336,0,0,NA,4,0,0.089
"RNS","January 2023",686,649,0.947,620,608,0.981,66,41,0.628,16,13,0.802,0,0,NA,2,1,0.422
"RNZ","January 2023",482,466,0.967,466,456,0.979,16,10,0.609,16,9,0.554,0,0,NA,4,0,0.008
"RP4","January 2023",254,206,0.81,0,0,NA,254,206,0.81,0,0,NA,47,38,0.799,0,0,NA
"RP5","January 2023",677,623,0.92,653,608,0.931,24,14,0.597,25,21,0.85,0,0,NA,2,1,0.403
"RP6","January 2023",10,4,0.397,10,4,0.397,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"RPA","January 2023",546,512,0.937,509,497,0.975,37,16,0.42,24,19,0.806,0,0,NA,20,11,0.565
"RPC","January 2023",41,20,0.482,39,20,0.505,2,0,0.032,3,2,0.559,0,0,NA,0,0,NA
"RPY","January 2023",198,174,0.881,184,163,0.887,14,11,0.8,15,12,0.819,0,0,NA,0,0,NA
"RQ3","January 2023",271,241,0.888,24,13,0.542,247,228,0.922,0,0,NA,29,28,0.965,19,14,0.736
"RQM","January 2023",695,667,0.96,647,632,0.977,48,34,0.724,25,24,0.943,10,7,0.669,50,39,0.772
"RQW","January 2023",459,446,0.972,440,431,0.979,19,16,0.82,12,8,0.691,0,0,NA,6,4,0.602
"RQX","January 2023",278,257,0.925,260,247,0.948,18,11,0.593,13,13,0.976,0,0,NA,24,20,0.813
"RR7","January 2023",493,470,0.955,493,470,0.955,0,0,NA,15,9,0.638,0,0,NA,0,0,NA
"RR8","January 2023",1732,1710,0.987,1600,1589,0.993,132,122,0.922,59,58,0.975,16,13,0.8,23,22,0.92
"RRF","January 2023",408,408,1,408,408,1,0,0,NA,11,9,0.786,0,0,NA,1,0,0.258
"RRJ","January 2023",95,65,0.691,95,65,0.691,0,0,NA,6,3,0.554,0,0,NA,0,0,NA
"RRK","January 2023",2477,2384,0.962,2399,2330,0.971,78,54,0.689,95,94,0.99,0,0,NA,13,12,0.944
"RRV","January 2023",647,623,0.963,647,623,0.963,0,0,NA,71,49,0.695,0,0,NA,30,24,0.811
"RTD","January 2023",1394,1298,0.932,1241,1166,0.939,152,133,0.869,89,65,0.728,25,20,0.797,12,11,0.89
"RTE","January 2023",874,833,0.953,828,802,0.968,46,31,0.673,25,18,0.727,0,0,NA,12,5,0.438
"RTF","January 2023",854,788,0.923,835,778,0.931,18,10,0.547,15,12,0.773,0,0,NA,12,7,0.602
"RTG","January 2023",1445,1378,0.953,1397,1347,0.964,48,31,0.642,53,48,0.91,0,0,NA,25,21,0.826
"RTH","January 2023",1008,967,0.959,931,907,0.974,77,60,0.777,58,43,0.739,17,13,0.74,33,33,0.997
"RTK","January 2023",447,421,0.942,427,404,0.947,20,17,0.834,12,10,0.87,0,0,NA,8,3,0.363
"RTP","January 2023",705,699,0.991,682,678,0.994,23,21,0.914,16,15,0.918,0,0,NA,23,11,0.489
"RTR","January 2023",900,837,0.93,853,810,0.95,47,27,0.579,60,52,0.877,0,0,NA,15,12,0.813
"RTX","January 2023",663,596,0.898,631,581,0.92,32,15,0.466,14,10,0.68,0,0,NA,1,0,0
"RVJ","January 2023",916,894,0.976,916,894,0.976,0,0,NA,46,35,0.764,0,0,NA,32,27,0.836
"RVR","January 2023",647,558,0.863,614,541,0.882,33,17,0.515,25,18,0.735,0,0,NA,0,0,NA
"RVV","January 2023",1135,1058,0.932,1076,1020,0.947,59,38,0.651,40,30,0.756,0,0,NA,44,16,0.36
"RVW","January 2023",549,505,0.921,523,490,0.938,26,15,0.576,16,13,0.827,0,0,NA,0,0,NA
"RVY","January 2023",361,359,0.993,361,359,0.993,0,0,NA,18,11,0.591,0,0,NA,0,0,NA
"RWA","January 2023",1091,1032,0.946,1045,1004,0.961,46,28,0.602,44,31,0.697,0,0,NA,5,3,0.577
"RWD","January 2023",1038,968,0.932,1006,947,0.941,32,21,0.665,25,17,0.663,0,0,NA,23,15,0.64
"RWE","January 2023",1688,1582,0.937,1581,1509,0.954,107,73,0.678,84,51,0.606,13,13,0.939,42,29,0.694
"RWF","January 2023",742,682,0.919,717,659,0.92,25,23,0.903,31,19,0.609,0,0,NA,0,0,NA
"RWG","January 2023",711,652,0.917,673,631,0.937,37,21,0.57,19,18,0.921,0,0,NA,7,2,0.286
"RWH","January 2023",564,536,0.95,543,520,0.958,21,16,0.764,18,16,0.911,0,0,NA,10,1,0.139
"RWJ","January 2023",661,636,0.962,640,617,0.965,21,19,0.887,13,9,0.722,0,0,NA,5,1,0.271
"RWP","January 2023",764,715,0.937,733,692,0.945,31,23,0.75,15,12,0.809,0,0,NA,5,2,0.393
"RWW","January 2023",572,539,0.942,533,519,0.974,39,20,0.506,18,17,0.943,0,0,NA,3,1,0.183
"RWY","January 2023",680,653,0.961,642,627,0.978,38,26,0.685,13,9,0.692,0,0,NA,6,5,0.812
"RX1","January 2023",1682,1574,0.936,1573,1490,0.947,109,84,0.774,66,52,0.782,15,13,0.892,40,31,0.777
"RXC","January 2023",781,757,0.969,764,745,0.974,17,13,0.75,19,15,0.815,0,0,NA,12,6,0.522
"RXF","January 2023",1020,954,0.936,973,937,0.964,47,17,0.358,18,13,0.697,0,0,NA,7,3,0.405
"RXK","January 2023",631,598,0.947,596,574,0.963,35,24,0.676,19,16,0.848,0,0,NA,10,0,0
"RXL","January 2023",856,789,0.922,812,763,0.939,44,27,0.605,36,14,0.389,0,0,NA,4,2,0.484
"RXN","January 2023",913,874,0.957,883,854,0.967,30,20,0.68,34,30,0.883,0,0,NA,28,13,0.463
"RXP","January 2023",852,752,0.882,821,730,0.889,31,22,0.7,21,13,0.627,0,0,NA,0,0,NA
"RXQ","January 2023",507,479,0.945,481,455,0.945,26,24,0.94,18,17,0.897,0,0,NA,5,3,0.602
"RXR","January 2023",730,698,0.956,676,661,0.977,54,37,0.685,29,26,0.911,0,0,NA,8,5,0.597
"RXW","January 2023",770,718,0.933,734,697,0.95,36,21,0.596,22,16,0.712,0,0,NA,6,2,0.398
"RYJ","January 2023",1052,925,0.879,1011,897,0.887,40,28,0.692,101,89,0.876,12,11,0.899,37,24,0.655
"RYR","January 2023",1826,1740,0.953,1739,1676,0.964,88,64,0.729,72,54,0.759,0,0,NA,67,39,0.576
"R0A","February 2023",2295,2046,0.892,1997,1801,0.902,298,245,0.822,127,103,0.807,38,38,1,63,46,0.723
"R0B","February 2023",1127,1008,0.895,1079,982,0.911,48,26,0.536,22,12,0.552,0,0,NA,6,5,0.809
"R0D","February 2023",1127,1061,0.942,1101,1046,0.95,26,15,0.591,22,18,0.827,0,0,NA,20,14,0.707
"R1F","February 2023",272,267,0.979,261,256,0.981,12,11,0.938,7,6,0.898,0,0,NA,0,0,NA
"R1H","February 2023",1697,1539,0.907,1549,1410,0.91,148,130,0.875,127,115,0.903,4,2,0.629,50,40,0.793
"R1K","February 2023",1015,966,0.952,988,945,0.957,27,21,0.772,56,50,0.899,0,0,NA,5,4,0.721
"RA2","February 2023",493,463,0.94,464,452,0.974,29,11,0.384,15,14,0.932,0,0,NA,4,1,0.232
"RA4","February 2023",382,368,0.964,358,353,0.986,24,15,0.632,11,9,0.818,0,0,NA,0,0,NA
"RA7","February 2023",1007,943,0.936,865,823,0.951,142,120,0.846,48,39,0.804,18,15,0.851,31,21,0.689
"RA9","February 2023",371,357,0.963,349,341,0.975,22,16,0.761,10,5,0.546,0,0,NA,0,0,NA
"RAE","February 2023",611,559,0.916,572,530,0.928,39,29,0.743,12,11,0.871,0,0,NA,9,9,0.954
"RAJ","February 2023",1841,1721,0.935,1767,1675,0.948,74,46,0.616,76,71,0.93,0,0,NA,28,15,0.52
"RAL","February 2023",994,974,0.98,951,937,0.985,43,38,0.879,71,63,0.887,0,0,NA,4,2,0.427
"RAN","February 2023",163,130,0.795,136,113,0.828,27,17,0.63,8,4,0.531,4,2,0.407,0,0,NA
"RAP","February 2023",531,519,0.978,515,504,0.979,16,15,0.942,19,16,0.886,0,0,NA,6,6,0.994
"RAS","February 2023",355,334,0.94,332,315,0.949,23,19,0.809,12,9,0.787,0,0,NA,17,9,0.525
"RAX","February 2023",410,380,0.926,386,365,0.947,24,14,0.589,15,13,0.843,0,0,NA,20,6,0.3
"RBD","February 2023",342,336,0.981,329,325,0.989,14,11,0.778,9,8,0.95,0,0,NA,0,0,NA
"RBK","February 2023",560,537,0.96,518,505,0.976,42,32,0.763,13,9,0.723,0,0,NA,2,1,0.286
"RBL","February 2023",789,757,0.96,770,742,0.963,19,15,0.814,18,12,0.659,0,0,NA,7,6,0.782
"RBN","February 2023",747,729,0.976,717,708,0.987,30,21,0.698,14,10,0.709,0,0,NA,0,0,NA
"RBQ","February 2023",152,123,0.811,152,123,0.811,0,0,NA,30,23,0.775,0,0,NA,0,0,NA
"RBS","February 2023",214,160,0.748,0,0,NA,214,160,0.748,0,0,NA,21,16,0.764,0,0,NA
"RBT","February 2023",504,491,0.973,477,471,0.988,27,19,0.715,11,8,0.707,0,0,NA,15,7,0.466
"RBV","February 2023",178,175,0.985,178,175,0.985,0,0,NA,8,6,0.754,0,0,NA,0,0,NA
"RC9","February 2023",1057,1016,0.961,961,932,0.97,96,84,0.874,26,15,0.56,0,0,NA,23,19,0.814
"RCB","February 2023",846,778,0.919,805,757,0.94,41,21,0.516,34,16,0.454,0,0,NA,2,1,0.679
"RCD","February 2023",326,280,0.86,309,272,0.883,17,8,0.441,11,5,0.429,0,0,NA,0,0,NA
"RCF","February 2023",373,345,0.924,356,330,0.928,17,14,0.828,7,5,0.687,0,0,NA,0,0,NA
"RCU","February 2023",153,115,0.753,0,0,NA,153,115,0.753,0,0,NA,9,7,0.81,2,1,0.464
"RCX","February 2023",542,530,0.979,522,514,0.985,20,16,0.816,13,8,0.593,0,0,NA,3,1,0.333
"RD1","February 2023",532,515,0.967,507,498,0.981,25,17,0.681,14,14,0.952,0,0,NA,7,6,0.806
"RD8","February 2023",519,500,0.964,476,472,0.991,43,29,0.663,10,7,0.671,0,0,NA,4,3,0.643
"RDE","February 2023",1255,1206,0.961,1214,1175,0.968,41,31,0.754,28,21,0.755,0,0,NA,10,7,0.708
"RDU","February 2023",1365,1343,0.984,1293,1286,0.995,72,56,0.785,25,24,0.944,0,0,NA,10,6,0.6
"REF","February 2023",679,652,0.96,642,632,0.983,37,20,0.549,15,9,0.599,0,0,NA,7,4,0.571
"REM","February 2023",1562,1490,0.954,1562,1490,0.954,0,0,NA,61,47,0.773,0,0,NA,0,0,NA
"REN","February 2023",100,93,0.93,100,93,0.93,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"REP","February 2023",24,15,0.618,24,15,0.618,0,0,NA,2,1,0.429,0,0,NA,44,35,0.791
"RET","February 2023",153,137,0.898,153,137,0.898,0,0,NA,20,14,0.716,0,0,NA,0,0,NA
"RF4","February 2023",1000,950,0.95,961,918,0.955,39,33,0.844,57,51,0.898,0,0,NA,11,9,0.812
"RFF","February 2023",434,402,0.926,425,397,0.934,8,5,0.555,24,15,0.638,0,0,NA,2,1,0.518
"RFR","February 2023",455,431,0.947,432,415,0.96,22,16,0.702,13,10,0.742,0,0,1,14,13,0.934
"RFS","February 2023",541,514,0.951,519,498,0.96,22,16,0.743,15,10,0.643,0,0,NA,3,1,0.447
"RGM","February 2023",180,163,0.91,180,163,0.91,0,0,NA,35,31,0.886,0,0,NA,0,0,NA
"RGN","February 2023",916,890,0.972,873,859,0.984,43,32,0.73,23,16,0.693,0,0,NA,4,3,0.703
"RGP","February 2023",458,429,0.937,429,414,0.965,29,15,0.512,12,9,0.726,0,0,NA,9,6,0.631
"RGR","February 2023",458,426,0.929,443,417,0.941,15,9,0.567,16,14,0.873,0,0,NA,12,9,0.706
"RGT","February 2023",994,947,0.953,917,888,0.969,76,59,0.769,60,52,0.873,9,4,0.421,50,32,0.632
"RH5","February 2023",683,650,0.952,642,626,0.976,41,23,0.564,16,11,0.674,0,0,NA,8,3,0.366
"RH8","February 2023",1150,1079,0.938,1097,1049,0.956,53,30,0.56,37,24,0.638,0,0,NA,8,6,0.752
"RHM","February 2023",1085,1031,0.951,994,950,0.955,90,82,0.903,86,81,0.946,14,13,0.939,12,6,0.512
"RHQ","February 2023",1508,1351,0.896,1508,1351,0.896,0,0,NA,117,80,0.687,0,0,NA,50,23,0.454
"RHU","February 2023",1109,1068,0.964,1079,1048,0.972,30,20,0.679,20,20,0.982,0,0,NA,14,11,0.819
"RHW","February 2023",609,574,0.943,550,539,0.979,59,36,0.608,19,18,0.971,0,0,NA,2,0,0.018
"RJ1","February 2023",961,882,0.918,841,790,0.94,120,92,0.763,80,70,0.872,21,15,0.689,20,18,0.921
"RJ2","February 2023",913,897,0.983,879,865,0.985,34,32,0.933,36,29,0.804,0,0,NA,5,1,0.207
"RJ6","February 2023",498,491,0.987,480,478,0.995,18,14,0.756,15,11,0.731,0,0,NA,9,4,0.389
"RJ7","February 2023",853,824,0.966,802,782,0.975,51,42,0.831,62,51,0.817,15,11,0.745,40,33,0.823
"RJC","February 2023",397,380,0.959,380,369,0.972,17,11,0.662,7,5,0.679,0,0,NA,12,7,0.548
"RJE","February 2023",1344,1244,0.925,1292,1196,0.926,52,47,0.91,58,50,0.868,6,5,0.839,12,10,0.827
"RJL","February 2023",667,613,0.919,623,591,0.948,44,22,0.507,14,13,0.906,0,0,NA,25,11,0.423
"RJN","February 2023",323,308,0.954,308,297,0.965,15,11,0.72,6,5,0.746,0,0,NA,0,0,NA
"RJR","February 2023",471,451,0.959,449,440,0.981,22,11,0.506,15,11,0.739,0,0,NA,12,4,0.369
"RJZ","February 2023",1240,1202,0.969,1169,1132,0.968,71,70,0.988,123,118,0.96,15,12,0.826,47,37,0.782
"RK5","February 2023",654,625,0.955,626,606,0.968,28,19,0.672,12,11,0.919,0,0,NA,10,5,0.475
"RK9","February 2023",1025,963,0.939,971,935,0.964,54,27,0.499,46,27,0.583,0,0,NA,15,8,0.56
"RKB","February 2023",1064,1043,0.98,1005,995,0.99,59,48,0.821,44,38,0.874,0,0,NA,27,21,0.792
"RKE","February 2023",271,264,0.973,254,251,0.99,18,13,0.72,11,11,0.977,0,0,NA,6,4,0.702
"RL1","February 2023",149,125,0.839,140,121,0.863,9,4,0.444,5,4,0.748,0,0,NA,0,0,NA
"RL4","February 2023",870,816,0.939,830,778,0.938,40,38,0.947,29,17,0.595,0,0,NA,14,13,0.952
"RLQ","February 2023",330,323,0.978,314,307,0.977,16,16,1,8,7,0.902,0,0,NA,3,0,0.143
"RLT","February 2023",305,305,1,305,305,1,0,0,NA,8,6,0.795,0,0,NA,0,0,NA
"RM1","February 2023",1014,955,0.942,972,937,0.964,42,19,0.448,29,23,0.811,0,0,NA,15,12,0.767
"RM3","February 2023",1527,1393,0.912,1478,1367,0.925,49,26,0.531,64,58,0.903,0,0,NA,9,7,0.726
"RMC","February 2023",639,575,0.899,561,526,0.938,78,48,0.617,18,12,0.69,0,0,NA,38,26,0.672
"RMP","February 2023",431,404,0.938,391,378,0.967,40,26,0.656,9,8,0.821,0,0,NA,1,0,0.214
"RN3","February 2023",559,541,0.967,525,517,0.984,34,24,0.705,12,9,0.72,0,0,NA,8,6,0.768
"RN5","February 2023",813,777,0.956,777,741,0.954,36,36,1,27,17,0.642,0,0,NA,4,1,0.161
"RN7","February 2023",571,543,0.951,526,511,0.97,44,32,0.725,13,11,0.843,0,0,NA,0,0,NA
"RNA","February 2023",627,599,0.955,596,578,0.969,31,21,0.676,32,23,0.743,0,0,NA,18,16,0.871
"RNN","February 2023",633,575,0.908,586,556,0.948,47,19,0.403,14,11,0.763,0,0,NA,0,0,NA
"RNQ","February 2023",552,536,0.971,526,515,0.977,26,22,0.838,29,10,0.33,0,0,NA,4,0,0
"RNS","February 2023",693,664,0.958,627,619,0.987,66,45,0.686,16,9,0.587,0,0,NA,2,1,0.593
"RNZ","February 2023",475,460,0.969,459,451,0.981,16,10,0.603,10,7,0.711,0,0,NA,4,0,0.036
"RP4","February 2023",252,208,0.826,0,0,NA,252,208,0.826,0,0,NA,47,39,0.835,0,0,NA
"RP5","February 2023",677,612,0.904,653,599,0.917,24,13,0.552,25,22,0.867,0,0,NA,3,1,0.289
"RP6","February 2023",10,3,0.318,10,3,0.318,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"RPA","February 2023",492,463,0.941,458,447,0.977,34,16,0.462,22,17,0.778,0,0,NA,19,10,0.554
"RPC","February 2023",42,23,0.555,40,23,0.583,2,0,0,3,3,0.953,0,0,NA,0,0,NA
"RPY","February 2023",199,174,0.871,185,163,0.879,14,11,0.76,15,9,0.604,0,0,NA,0,0,NA
"RQ3","February 2023",272,250,0.917,24,15,0.628,248,235,0.945,0,0,NA,30,29,0.963,20,14,0.667
"RQM","February 2023",718,701,0.976,662,662,1,56,39,0.696,25,24,0.938,10,7,0.68,50,39,0.767
"RQW","February 2023",456,438,0.96,437,424,0.971,19,13,0.703,12,9,0.753,0,0,NA,6,4,0.595
"RQX","February 2023",275,261,0.947,257,247,0.961,18,13,0.748,11,11,0.975,0,0,NA,24,18,0.763
"RR7","February 2023",482,455,0.943,482,455,0.943,0,0,NA,13,9,0.712,0,0,NA,0,0,NA
"RR8","February 2023",1767,1753,0.992,1636,1626,0.994,132,127,0.964,59,56,0.946,16,13,0.81,23,21,0.934
"RRF","February 2023",419,417,0.993,419,417,0.993,0,0,NA,11,7,0.636,0,0,NA,1,0,0.286
"RRJ","February 2023",102,66,0.653,102,66,0.653,0,0,NA,6,4,0.649,0,0,NA,0,0,NA
"RRK","February 2023",2444,2356,0.964,2366,2298,0.971,78,58,0.738,89,85,0.958,0,0,NA,12,9,0.78
"RRV","February 2023",640,617,0.964,640,617,0.964,0,0,NA,67,45,0.666,0,0,NA,30,25,0.821
"RTD","February 2023",1399,1301,0.93,1243,1165,0.937,156,136,0.87,90,61,0.685,25,17,0.694,12,10,0.801
"RTE","February 2023",864,824,0.953,818,793,0.969,46,31,0.668,25,16,0.639,0,0,NA,12,5,0.405
"RTF","February 2023",843,766,0.909,825,757,0.918,18,9,0.473,15,10,0.681,0,0,NA,12,7,0.58
"RTG","February 2023",1423,1361,0.956,1382,1333,0.964,41,27,0.672,53,46,0.865,0,0,NA,28,20,0.697
"RTH","February 2023",1010,972,0.963,933,907,0.972,77,66,0.853,57,45,0.789,17,12,0.727,36,36,1
"RTK","February 2023",420,393,0.934,400,378,0.943,20,15,0.752,11,9,0.841,0,0,NA,8,5,0.598
"RTP","February 2023",698,694,0.995,675,672,0.996,23,22,0.94,16,15,0.918,0,0,NA,23,13,0.566
"RTR","February 2023",900,837,0.93,853,807,0.947,47,30,0.627,61,54,0.882,0,0,NA,15,11,0.717
"RTX","February 2023",648,565,0.872,616,550,0.893,32,16,0.479,14,9,0.617,0,0,NA,1,0,0
"RVJ","February 2023",900,869,0.966,900,869,0.966,0,0,NA,46,35,0.762,0,0,NA,32,25,0.795
