"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QM7",2020-06-01,2020,"Jun",17078,93367,22359
"QMF",2020-06-01,2020,"Jun",17917,169865,25021
"QMJ",2020-06-01,2020,"Jun",18025,123417,20653
"QMM",2020-06-01,2020,"Jun",13735,94407,18563
"QNC",2020-06-01,2020,"Jun",8820,53644,9641
"QNQ",2020-06-01,2020,"Jun",5293,44476,7619
"QNX",2020-06-01,2020,"Jun",25566,147732,31164
"QOC",2020-06-01,2020,"Jun",6666,48758,7794
"QOP",2020-06-01,2020,"Jun",41566,343878,56233
"QOQ",2020-06-01,2020,"Jun",23449,148522,31643
"QOX",2020-06-01,2020,"Jun",13007,77051,16773
"QPM",2020-06-01,2020,"Jun",6798,46423,9317
"QR1",2020-06-01,2020,"Jun",6411,64676,11688
"QRL",2020-06-01,2020,"Jun",27607,151285,28047
"QRV",2020-06-01,2020,"Jun",34249,174566,35710
"QSL",2020-06-01,2020,"Jun",4750,40366,6430
"QT1",2020-06-01,2020,"Jun",18227,88813,21260
"QT6",2020-06-01,2020,"Jun",7402,35795,8606
"QU9",2020-06-01,2020,"Jun",19565,131318,24350
"QUA",2020-06-01,2020,"Jun",25189,125630,31527
"QUE",2020-06-01,2020,"Jun",7945,50259,10855
"QUY",2020-06-01,2020,"Jun",13735,92528,17115
"QVV",2020-06-01,2020,"Jun",9277,69962,11852
"QWE",2020-06-01,2020,"Jun",22345,128736,27586
"QWO",2020-06-01,2020,"Jun",24488,153155,27583
"QWU",2020-06-01,2020,"Jun",10579,72546,10113
"QXU",2020-06-01,2020,"Jun",18397,79368,21396
"QYG",2020-06-01,2020,"Jun",43251,233094,49268
"QE1",2020-07-01,2020,"Jul",24705,138849,35365
"QF7",2020-07-01,2020,"Jul",24071,120578,31030
"QGH",2020-07-01,2020,"Jul",8104,70250,13010
"QH8",2020-07-01,2020,"Jul",19961,117834,26952
"QHG",2020-07-01,2020,"Jul",12638,78294,18446
"QHL",2020-07-01,2020,"Jul",21028,146476,29827
"QHM",2020-07-01,2020,"Jul",56903,257588,78146
"QJ2",2020-07-01,2020,"Jul",14190,88160,18279
"QJG",2020-07-01,2020,"Jul",11498,91242,16132
"QJK",2020-07-01,2020,"Jul",21306,127424,32201
"QJM",2020-07-01,2020,"Jul",7032,49486,10242
"QK1",2020-07-01,2020,"Jul",14440,89185,17178
"QKK",2020-07-01,2020,"Jul",43989,200203,52106
"QKS",2020-07-01,2020,"Jul",24676,144419,30412
"QM7",2020-07-01,2020,"Jul",18653,96541,28075
"QMF",2020-07-01,2020,"Jul",20632,175897,33717
"QMJ",2020-07-01,2020,"Jul",20538,127119,25973
"QMM",2020-07-01,2020,"Jul",13552,98615,22626
"QNC",2020-07-01,2020,"Jul",12092,56894,13587
"QNQ",2020-07-01,2020,"Jul",6852,45161,9472
"QNX",2020-07-01,2020,"Jul",29884,154105,37912
"QOC",2020-07-01,2020,"Jul",7259,51552,10166
"QOP",2020-07-01,2020,"Jul",48424,359913,72661
"QOQ",2020-07-01,2020,"Jul",28905,155931,38132
"QOX",2020-07-01,2020,"Jul",14948,78204,19614
"QPM",2020-07-01,2020,"Jul",7411,48007,12397
"QR1",2020-07-01,2020,"Jul",7360,67312,14443
"QRL",2020-07-01,2020,"Jul",29270,155986,34271
"QRV",2020-07-01,2020,"Jul",34908,177528,46649
"QSL",2020-07-01,2020,"Jul",5622,41129,7896
"QT1",2020-07-01,2020,"Jul",19606,92214,25070
"QT6",2020-07-01,2020,"Jul",8383,36559,10396
"QU9",2020-07-01,2020,"Jul",22086,152719,29252
"QUA",2020-07-01,2020,"Jul",28456,129527,47091
"QUE",2020-07-01,2020,"Jul",19326,89682,23882
"QUY",2020-07-01,2020,"Jul",16305,96570,21278
"QVV",2020-07-01,2020,"Jul",11271,71193,14674
"QWE",2020-07-01,2020,"Jul",27027,131984,33578
"QWO",2020-07-01,2020,"Jul",31038,160717,40321
"QWU",2020-07-01,2020,"Jul",12250,72391,12575
"QXU",2020-07-01,2020,"Jul",19571,83642,26347
"QYG",2020-07-01,2020,"Jul",47861,244372,61440
"QE1",2020-10-01,2020,"Oct",31912,154283,40715
"QF7",2020-10-01,2020,"Oct",37886,142029,40826
"QGH",2020-10-01,2020,"Oct",11174,75866,14859
"QH8",2020-10-01,2020,"Oct",26537,114868,27918
"QHG",2020-10-01,2020,"Oct",15809,81173,22224
"QHL",2020-10-01,2020,"Oct",24910,166565,35739
"QHM",2020-10-01,2020,"Oct",71023,293100,91309
"QJ2",2020-10-01,2020,"Oct",19292,95903,22171
"QJG",2020-10-01,2020,"Oct",17634,96774,21280
"QJK",2020-10-01,2020,"Oct",23690,142118,32454
"QJM",2020-10-01,2020,"Oct",9633,53249,10751
"QK1",2020-10-01,2020,"Oct",17941,95330,21282
"QKK",2020-10-01,2020,"Oct",52825,194672,61731
"QKS",2020-10-01,2020,"Oct",33210,151148,38724
"QM7",2020-10-01,2020,"Oct",24853,104405,33043
"QMF",2020-10-01,2020,"Oct",31756,179333,43851
"QMJ",2020-10-01,2020,"Oct",29357,128638,34872
"QMM",2020-10-01,2020,"Oct",18411,106471,25167
"QNC",2020-10-01,2020,"Oct",14527,63204,17605
"QNQ",2020-10-01,2020,"Oct",10427,46531,13535
"QNX",2020-10-01,2020,"Oct",39376,177325,46043
"QOC",2020-10-01,2020,"Oct",10340,55330,11547
"QOP",2020-10-01,2020,"Oct",65425,385395,83722
"QOQ",2020-10-01,2020,"Oct",36780,164222,42533
"QOX",2020-10-01,2020,"Oct",19668,87910,23603
"QPM",2020-10-01,2020,"Oct",10658,50441,14362
"QR1",2020-10-01,2020,"Oct",9413,68955,15397
"QRL",2020-10-01,2020,"Oct",38362,166809,41184
"QRV",2020-10-01,2020,"Oct",46991,187024,57659
"QSL",2020-10-01,2020,"Oct",8218,41878,9433
"QT1",2020-10-01,2020,"Oct",24070,101054,28110
"QT6",2020-10-01,2020,"Oct",10818,36002,12595
"QU9",2020-10-01,2020,"Oct",28023,157412,35884
"QUA",2020-10-01,2020,"Oct",33689,139772,44872
"QUE",2020-10-01,2020,"Oct",24303,100554,29177
"QUY",2020-10-01,2020,"Oct",23124,106753,27434
"QVV",2020-10-01,2020,"Oct",13995,76527,17527
"QWE",2020-10-01,2020,"Oct",35576,136206,41308
"QWO",2020-10-01,2020,"Oct",40681,184733,49928
"QWU",2020-10-01,2020,"Oct",16379,75640,18563
"QXU",2020-10-01,2020,"Oct",23422,90751,30239
"QYG",2020-10-01,2020,"Oct",61549,257212,68388
"QE1",2020-11-01,2020,"Nov",32946,156406,39997
"QF7",2020-11-01,2020,"Nov",38374,141409,38937
"QGH",2020-11-01,2020,"Nov",11796,74782,14273
"QH8",2020-11-01,2020,"Nov",27183,112908,29238
"QHG",2020-11-01,2020,"Nov",16579,80836,21941
"QHL",2020-11-01,2020,"Nov",24216,167092,37698
"QHM",2020-11-01,2020,"Nov",73168,293101,87233
"QJ2",2020-11-01,2020,"Nov",19195,97727,20847
"QJG",2020-11-01,2020,"Nov",18663,93791,20062
"QJK",2020-11-01,2020,"Nov",23428,148554,30024
"QJM",2020-11-01,2020,"Nov",10239,52718,8936
"QK1",2020-11-01,2020,"Nov",17870,96726,19747
"QKK",2020-11-01,2020,"Nov",53135,191212,58896
"QKS",2020-11-01,2020,"Nov",34257,149122,36297
"QM7",2020-11-01,2020,"Nov",25255,98817,31651
"QMF",2020-11-01,2020,"Nov",32908,177681,42829
"QMJ",2020-11-01,2020,"Nov",31865,126152,34212
"QMM",2020-11-01,2020,"Nov",16075,107247,24781
"QNC",2020-11-01,2020,"Nov",14641,63210,16072
"QNQ",2020-11-01,2020,"Nov",10648,46721,13998
"QNX",2020-11-01,2020,"Nov",42878,175936,45175
"QOC",2020-11-01,2020,"Nov",10663,54966,10505
"QOP",2020-11-01,2020,"Nov",66178,390564,80876
"QOQ",2020-11-01,2020,"Nov",36529,165842,40283
"QOX",2020-11-01,2020,"Nov",20476,88927,23394
"QPM",2020-11-01,2020,"Nov",10880,48293,12942
"QR1",2020-11-01,2020,"Nov",9064,67465,13907
"QRL",2020-11-01,2020,"Nov",40054,165369,37697
"QRV",2020-11-01,2020,"Nov",48748,186299,57369
"QSL",2020-11-01,2020,"Nov",8669,42120,8988
"QT1",2020-11-01,2020,"Nov",24759,104909,28266
"QT6",2020-11-01,2020,"Nov",10984,35297,12101
"QU9",2020-11-01,2020,"Nov",29793,160083,37119
"QUA",2020-11-01,2020,"Nov",33193,141369,41910
"QUE",2020-11-01,2020,"Nov",25787,99975,28788
"QUY",2020-11-01,2020,"Nov",23299,107045,25018
"QVV",2020-11-01,2020,"Nov",14480,76920,17346
"QWE",2020-11-01,2020,"Nov",37054,134590,41273
"QWO",2020-11-01,2020,"Nov",38825,188429,46510
"QWU",2020-11-01,2020,"Nov",15816,76139,18500
"QXU",2020-11-01,2020,"Nov",24919,90485,29374
"QYG",2020-11-01,2020,"Nov",63757,258873,68330
"QE1",2020-12-01,2020,"Dec",29574,156958,36154
"QF7",2020-12-01,2020,"Dec",36252,144959,38442
"QGH",2020-12-01,2020,"Dec",10903,74916,13882
"QH8",2020-12-01,2020,"Dec",23571,114892,27794
"QHG",2020-12-01,2020,"Dec",15378,81021,20129
"QHL",2020-12-01,2020,"Dec",19614,181917,36066
"QHM",2020-12-01,2020,"Dec",68452,295239,82281
"QJ2",2020-12-01,2020,"Dec",17470,101163,19462
"QJG",2020-12-01,2020,"Dec",15602,92615,17878
"QJK",2020-12-01,2020,"Dec",21616,156611,31175
"QJM",2020-12-01,2020,"Dec",8712,50947,7514
"QK1",2020-12-01,2020,"Dec",15797,99643,19506
"QKK",2020-12-01,2020,"Dec",47363,194855,57647
"QKS",2020-12-01,2020,"Dec",26393,151940,32142
"QM7",2020-12-01,2020,"Dec",21747,101094,28138
"QMF",2020-12-01,2020,"Dec",28608,182185,38137
"QMJ",2020-12-01,2020,"Dec",26444,128638,31441
"QMM",2020-12-01,2020,"Dec",16058,109352,23307
"QNC",2020-12-01,2020,"Dec",13140,65951,14934
"QNQ",2020-12-01,2020,"Dec",8934,47391,11955
"QNX",2020-12-01,2020,"Dec",37805,178820,42176
"QOC",2020-12-01,2020,"Dec",9904,55037,10520
"QOP",2020-12-01,2020,"Dec",62132,392399,76925
"QOQ",2020-12-01,2020,"Dec",33514,167941,39143
"QOX",2020-12-01,2020,"Dec",18013,91418,21239
"QPM",2020-12-01,2020,"Dec",9072,48051,11467
"QR1",2020-12-01,2020,"Dec",8321,65701,12870
"QRL",2020-12-01,2020,"Dec",36061,165030,36959
"QRV",2020-12-01,2020,"Dec",42476,187101,50879
"QSL",2020-12-01,2020,"Dec",7824,44062,8703
"QT1",2020-12-01,2020,"Dec",22527,107833,26678
"QT6",2020-12-01,2020,"Dec",10122,35297,11181
"QU9",2020-12-01,2020,"Dec",26249,152547,33297
"QUA",2020-12-01,2020,"Dec",29827,142814,38766
"QUE",2020-12-01,2020,"Dec",23198,98854,24981
"QUY",2020-12-01,2020,"Dec",21923,105653,23682
"QVV",2020-12-01,2020,"Dec",12934,77323,16504
"QWE",2020-12-01,2020,"Dec",31282,136897,37026
"QWO",2020-12-01,2020,"Dec",35351,194310,44461
"QWU",2020-12-01,2020,"Dec",15328,77275,18127
"QXU",2020-12-01,2020,"Dec",21386,89506,26494
"QYG",2020-12-01,2020,"Dec",56852,261687,65540
"QE1",2021-02-01,2021,"Feb",29757,167281,37705
"QF7",2021-02-01,2021,"Feb",37501,143004,38026
"QGH",2021-02-01,2021,"Feb",7796,78658,12481
"QH8",2021-02-01,2021,"Feb",21938,115362,27430
"QHG",2021-02-01,2021,"Feb",14715,86748,22700
"QHL",2021-02-01,2021,"Feb",18666,205656,35259
"QHM",2021-02-01,2021,"Feb",62098,308387,83572
"QJ2",2021-02-01,2021,"Feb",16539,103773,18191
"QJG",2021-02-01,2021,"Feb",12006,96566,16389
"QJK",2021-02-01,2021,"Feb",22449,161876,29718
"QJM",2021-02-01,2021,"Feb",9412,46726,7733
"QK1",2021-02-01,2021,"Feb",13145,108691,17564
"QKK",2021-02-01,2021,"Feb",38900,212492,51603
"QKS",2021-02-01,2021,"Feb",23258,163894,30711
"QM7",2021-02-01,2021,"Feb",20078,109495,28315
"QMF",2021-02-01,2021,"Feb",24776,189945,36897
"QMJ",2021-02-01,2021,"Feb",24563,130517,29143
"QMM",2021-02-01,2021,"Feb",12445,115777,19794
"QNC",2021-02-01,2021,"Feb",12933,72707,16673
"QNQ",2021-02-01,2021,"Feb",6793,51607,11050
"QNX",2021-02-01,2021,"Feb",34542,186341,40707
"QOC",2021-02-01,2021,"Feb",8521,58162,10007
"QOP",2021-02-01,2021,"Feb",65247,405051,81782
"QOQ",2021-02-01,2021,"Feb",35995,169784,40808
"QOX",2021-02-01,2021,"Feb",17280,93424,21540
"QPM",2021-02-01,2021,"Feb",8450,50576,13523
"QR1",2021-02-01,2021,"Feb",7312,71042,13935
"QRL",2021-02-01,2021,"Feb",31645,172377,36206
"QRV",2021-02-01,2021,"Feb",37115,185272,46958
"QSL",2021-02-01,2021,"Feb",6815,46089,9064
"QT1",2021-02-01,2021,"Feb",22143,114521,27567
"QT6",2021-02-01,2021,"Feb",8638,36569,10228
"QU9",2021-02-01,2021,"Feb",24668,156735,31870
"QUA",2021-02-01,2021,"Feb",24559,159616,37689
"QUE",2021-02-01,2021,"Feb",18382,101781,22272
"QUY",2021-02-01,2021,"Feb",20594,108131,23784
"QVV",2021-02-01,2021,"Feb",11138,79492,15213
"QWE",2021-02-01,2021,"Feb",30644,137985,37951
"QWO",2021-02-01,2021,"Feb",41397,208422,53622
"QWU",2021-02-01,2021,"Feb",14255,100183,20255
"QXU",2021-02-01,2021,"Feb",20847,94218,26416
"QYG",2021-02-01,2021,"Feb",55976,277508,65978
"QE1",2021-03-01,2021,"Mar",35755,162845,45022
"QF7",2021-03-01,2021,"Mar",44577,146580,49112
"QGH",2021-03-01,2021,"Mar",10365,81917,16440
"QH8",2021-03-01,2021,"Mar",28388,115843,33890
"QHG",2021-03-01,2021,"Mar",18398,85695,26803
"QHL",2021-03-01,2021,"Mar",23481,224286,44625
"QHM",2021-03-01,2021,"Mar",79871,319471,105354
"QJ2",2021-03-01,2021,"Mar",20358,106408,24540
"QJG",2021-03-01,2021,"Mar",16748,94995,20325
"QJK",2021-03-01,2021,"Mar",27096,170275,39836
"QJM",2021-03-01,2021,"Mar",10285,48538,10261
"QK1",2021-03-01,2021,"Mar",18111,113070,23019
"QKK",2021-03-01,2021,"Mar",50437,222382,68731
"QKS",2021-03-01,2021,"Mar",31007,170581,39939
"QM7",2021-03-01,2021,"Mar",23639,116020,34236
"QMF",2021-03-01,2021,"Mar",31637,198363,47561
"QMJ",2021-03-01,2021,"Mar",40822,223002,53974
"QMM",2021-03-01,2021,"Mar",17351,120680,27651
"QNC",2021-03-01,2021,"Mar",15122,76399,20243
"QNQ",2021-03-01,2021,"Mar",9390,55071,13309
"QNX",2021-03-01,2021,"Mar",41607,194575,51332
"QOC",2021-03-01,2021,"Mar",11023,60529,13298
"QOP",2021-03-01,2021,"Mar",76112,419487,101538
"QOQ",2021-03-01,2021,"Mar",44245,174294,52366
"QOX",2021-03-01,2021,"Mar",22100,95778,27235
"QPM",2021-03-01,2021,"Mar",11038,52230,16577
"QR1",2021-03-01,2021,"Mar",10137,72392,17852
"QRL",2021-03-01,2021,"Mar",42412,175299,48665
"QRV",2021-03-01,2021,"Mar",46130,194961,61588
"QSL",2021-03-01,2021,"Mar",9077,48709,11642
"QT1",2021-03-01,2021,"Mar",28694,117849,33096
"QT6",2021-03-01,2021,"Mar",10486,37515,12982
"QU9",2021-03-01,2021,"Mar",31451,162296,41387
"QUA",2021-03-01,2021,"Mar",33626,166988,48808
"QUE",2021-03-01,2021,"Mar",23498,104972,29182
"QUY",2021-03-01,2021,"Mar",25191,110491,28324
"QVV",2021-03-01,2021,"Mar",14916,81614,19966
"QWE",2021-03-01,2021,"Mar",38502,147153,49996
"QWO",2021-03-01,2021,"Mar",48832,213592,67452
"QWU",2021-03-01,2021,"Mar",18536,104619,24709
"QXU",2021-03-01,2021,"Mar",25906,99083,34624
"QYG",2021-03-01,2021,"Mar",72213,285682,84414
"QE1",2021-04-01,2021,"Apr",32088,179452,42020
"QF7",2021-04-01,2021,"Apr",40394,155470,46210
"QGH",2021-04-01,2021,"Apr",10219,84909,15478
"QH8",2021-04-01,2021,"Apr",25452,120663,34517
"QHG",2021-04-01,2021,"Apr",17276,90140,25373
"QHL",2021-04-01,2021,"Apr",23185,232951,41483
"QHM",2021-04-01,2021,"Apr",75003,328012,99143
"QJ2",2021-04-01,2021,"Apr",19218,109124,23159
"QJG",2021-04-01,2021,"Apr",18040,98564,23190
"QJK",2021-04-01,2021,"Apr",25557,176403,36145
"QJM",2021-04-01,2021,"Apr",9947,49924,8624
"QK1",2021-04-01,2021,"Apr",16705,117325,20623
"QKK",2021-04-01,2021,"Apr",50299,223433,64421
"QKS",2021-04-01,2021,"Apr",31757,173507,37041
"QM7",2021-04-01,2021,"Apr",22164,119737,30957
"QMF",2021-04-01,2021,"Apr",29343,204635,44637
"QMJ",2021-04-01,2021,"Apr",39370,232566,50655
"QMM",2021-04-01,2021,"Apr",17647,123637,26411
"QNC",2021-04-01,2021,"Apr",13574,82100,19234
"QNQ",2021-04-01,2021,"Apr",9097,57830,13042
"QNX",2021-04-01,2021,"Apr",37732,195248,47066
"QOC",2021-04-01,2021,"Apr",10444,62856,11652
"QOP",2021-04-01,2021,"Apr",67132,432287,90382
"QOQ",2021-04-01,2021,"Apr",38090,178912,46947
"QOX",2021-04-01,2021,"Apr",19915,96545,25249
"QPM",2021-04-01,2021,"Apr",10424,51208,15228
"QR1",2021-04-01,2021,"Apr",8639,73431,16104
"QRL",2021-04-01,2021,"Apr",38799,177574,42559
"QRV",2021-04-01,2021,"Apr",45049,202625,58598
"QSL",2021-04-01,2021,"Apr",8148,50797,11139
"QT1",2021-04-01,2021,"Apr",27494,118968,29237
"QT6",2021-04-01,2021,"Apr",10243,38408,12130
"QU9",2021-04-01,2021,"Apr",28455,166077,38004
"QUA",2021-04-01,2021,"Apr",35871,171007,41235
"QUE",2021-04-01,2021,"Apr",23568,108720,27853
"QUY",2021-04-01,2021,"Apr",22637,115286,26909
"QVV",2021-04-01,2021,"Apr",14109,83011,18779
"QWE",2021-04-01,2021,"Apr",34542,145316,43968
"QWO",2021-04-01,2021,"Apr",47596,236001,65448
"QWU",2021-04-01,2021,"Apr",17962,104622,21789
"QXU",2021-04-01,2021,"Apr",24303,102278,31214
"QYG",2021-04-01,2021,"Apr",65692,293929,78883
"QE1",2021-05-01,2021,"May",35237,185637,43628
"QF7",2021-05-01,2021,"May",39595,160857,45257
"QGH",2021-05-01,2021,"May",10962,87420,15998
"QH8",2021-05-01,2021,"May",25306,125426,34674
"QHG",2021-05-01,2021,"May",17774,94148,26238
"QHL",2021-05-01,2021,"May",24887,244061,42144
"QHM",2021-05-01,2021,"May",80919,345293,104391
"QJ2",2021-05-01,2021,"May",19927,122397,26727
"QJG",2021-05-01,2021,"May",19098,100531,19948
"QJK",2021-05-01,2021,"May",27448,184128,35840
"QJM",2021-05-01,2021,"May",8681,55179,10995
"QK1",2021-05-01,2021,"May",17297,120166,21309
"QKK",2021-05-01,2021,"May",50308,227891,63851
"QKS",2021-05-01,2021,"May",31948,180885,37810
"QM7",2021-05-01,2021,"May",22725,118476,31191
"QMF",2021-05-01,2021,"May",33688,207303,45989
"QMJ",2021-05-01,2021,"May",40364,239133,52281
"QMM",2021-05-01,2021,"May",18294,126244,28922
"QNC",2021-05-01,2021,"May",15392,86433,18828
"QNQ",2021-05-01,2021,"May",9884,58698,13161
"QNX",2021-05-01,2021,"May",39772,197907,42938
"QOC",2021-05-01,2021,"May",10812,63827,12270
"QOP",2021-05-01,2021,"May",68217,445070,87644
"QOQ",2021-05-01,2021,"May",40380,181276,47008
"QOX",2021-05-01,2021,"May",20645,97819,25536
"QPM",2021-05-01,2021,"May",10765,54716,16378
"QR1",2021-05-01,2021,"May",9310,74214,16345
"QRL",2021-05-01,2021,"May",40651,179523,44045
"QRV",2021-05-01,2021,"May",46143,209315,59041
"QSL",2021-05-01,2021,"May",8520,52773,11723
"QT1",2021-05-01,2021,"May",27800,120489,29814
"QT6",2021-05-01,2021,"May",10274,39696,12683
"QU9",2021-05-01,2021,"May",30539,169037,38404
