"icb22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"E54000055",53682,15965,17458,4579,0.3,0.26,"February 2025"
"E54000039",33305,9708,11316,2362,0.29,0.21,"February 2025"
"E54000044",48001,14387,17211,2365,0.3,0.14,"February 2025"
"E54000056",34013,12760,7988,2625,0.38,0.33,"February 2025"
"E54000008",120430,38415,29998,9454,0.32,0.32,"February 2025"
"E54000036",15712,3836,3122,1039,0.24,0.33,"February 2025"
"E54000018",36758,9876,8252,1536,0.27,0.19,"February 2025"
"E54000050",135362,35107,37358,6605,0.26,0.18,"February 2025"
"E54000037",38732,14183,12806,2719,0.37,0.21,"February 2025"
"E54000041",24053,7386,8171,1339,0.31,0.16,"February 2025"
"E54000029",85925,23537,15851,3179,0.27,0.2,"February 2025"
"E54000034",30709,9698,6469,2354,0.32,0.36,"February 2025"
"E54000043",18366,5273,4490,1303,0.29,0.29,"February 2025"
"E54000057",116504,43516,27182,11412,0.37,0.42,"February 2025"
"E54000042",61124,17496,17200,3212,0.29,0.19,"February 2025"
"E54000048",70632,17349,17369,5407,0.25,0.31,"February 2025"
"E54000019",22901,9291,7314,1965,0.41,0.27,"February 2025"
"E54000025",45241,13778,9572,2427,0.3,0.25,"February 2025"
"E54000051",61171,19614,16749,4820,0.32,0.29,"February 2025"
"E54000058",48632,12372,9535,2716,0.25,0.28,"February 2025"
"E54000032",88741,19152,17382,4937,0.22,0.28,"February 2025"
"E54000015",35732,9679,8892,2659,0.27,0.3,"February 2025"
"E54000013",25796,8840,5216,1997,0.34,0.38,"February 2025"
"E54000026",32586,10406,9651,2709,0.32,0.28,"February 2025"
"E54000022",35210,9901,9420,2479,0.28,0.26,"February 2025"
"E54000028",67950,21193,8831,3809,0.31,0.43,"February 2025"
"E54000027",96317,19046,16823,3536,0.2,0.21,"February 2025"
"E54000059",30675,8369,5296,2478,0.27,0.47,"February 2025"
"E54000060",38770,15906,11148,2244,0.41,0.2,"February 2025"
"E54000030",78161,23451,10838,4405,0.3,0.41,"February 2025"
"E54000011",15030,6149,5066,1274,0.41,0.25,"February 2025"
"E54000038",20992,5413,5104,505,0.26,0.1,"February 2025"
"E54000031",56556,14757,9226,3868,0.26,0.42,"February 2025"
"E54000061",55566,17368,18616,3842,0.31,0.21,"February 2025"
"E54000010",21374,7708,8584,1829,0.36,0.21,"February 2025"
"E54000023",35102,10382,9687,2636,0.3,0.27,"February 2025"
"E54000052",32218,9431,10307,2411,0.29,0.23,"February 2025"
"E54000053",60318,14632,13242,3103,0.24,0.23,"February 2025"
"E54000062",75541,19168,19747,6161,0.25,0.31,"February 2025"
"E54000054",85316,23948,19246,6769,0.28,0.35,"February 2025"
"E54000040",31481,8326,10823,1782,0.26,0.16,"March 2025"
"E54000024",43689,9355,9802,646,0.21,0.07,"March 2025"
"E54000055",57989,15820,17207,4688,0.27,0.27,"March 2025"
"E54000039",36986,10007,12255,2461,0.27,0.2,"March 2025"
"E54000044",55136,13824,19214,2199,0.25,0.11,"March 2025"
"E54000056",37083,11228,8550,2372,0.3,0.28,"March 2025"
"E54000008",130174,36568,31104,9912,0.28,0.32,"March 2025"
"E54000036",17952,4222,3313,1104,0.24,0.33,"March 2025"
"E54000018",39428,8677,9059,1359,0.22,0.15,"March 2025"
"E54000050",145858,35013,39968,6848,0.24,0.17,"March 2025"
"E54000037",43929,13903,13826,2642,0.32,0.19,"March 2025"
"E54000041",27212,7388,8984,1405,0.27,0.16,"March 2025"
"E54000029",92112,20902,16855,4200,0.23,0.25,"March 2025"
"E54000034",36256,8625,6734,2452,0.24,0.36,"March 2025"
"E54000043",20127,5474,4586,1260,0.27,0.27,"March 2025"
"E54000057",126148,42601,29438,11262,0.34,0.38,"March 2025"
"E54000042",68551,17255,18743,3210,0.25,0.17,"March 2025"
"E54000048",77299,18515,18213,5207,0.24,0.29,"March 2025"
"E54000019",26145,8560,8145,2121,0.33,0.26,"March 2025"
"E54000025",49630,12511,10852,1881,0.25,0.17,"March 2025"
"E54000051",65762,19974,18390,5100,0.3,0.28,"March 2025"
"E54000058",52092,11739,10430,2260,0.23,0.22,"March 2025"
"E54000032",98285,18639,18952,4853,0.19,0.26,"March 2025"
"E54000015",38887,9819,9810,2619,0.25,0.27,"March 2025"
"E54000013",32676,9208,5650,2054,0.28,0.36,"March 2025"
"E54000026",37872,10239,10765,2893,0.27,0.27,"March 2025"
"E54000022",39220,9039,9655,2490,0.23,0.26,"March 2025"
"E54000028",73845,21421,9458,4048,0.29,0.43,"March 2025"
"E54000027",106360,20298,19399,3345,0.19,0.17,"March 2025"
"E54000059",28359,7688,5547,2744,0.27,0.49,"March 2025"
"E54000060",41705,14698,11974,2172,0.35,0.18,"March 2025"
"E54000030",85545,23784,12173,4564,0.28,0.37,"March 2025"
"E54000011",16985,6776,5377,1331,0.4,0.25,"March 2025"
"E54000038",23604,4821,5450,529,0.2,0.1,"March 2025"
"E54000031",63234,14621,10036,3842,0.23,0.38,"March 2025"
"E54000061",60503,15562,20418,3591,0.26,0.18,"March 2025"
"E54000010",23310,6936,8963,1826,0.3,0.2,"March 2025"
"E54000023",39160,8009,11129,2353,0.2,0.21,"March 2025"
"E54000052",35668,8783,11284,2230,0.25,0.2,"March 2025"
"E54000053",66951,15066,14713,3112,0.23,0.21,"March 2025"
"E54000062",82626,19637,20491,6374,0.24,0.31,"March 2025"
"E54000054",94387,22543,19721,6854,0.24,0.35,"March 2025"
"E54000040",27676,9160,10288,2314,0.33,0.22,"April 2025"
"E54000024",41383,9327,9404,562,0.23,0.06,"April 2025"
"E54000055",54838,15228,18313,4899,0.28,0.27,"April 2025"
"E54000039",35366,9468,11168,2498,0.27,0.22,"April 2025"
"E54000044",58080,12680,18824,1804,0.22,0.1,"April 2025"
"E54000056",35546,10282,8208,2083,0.29,0.25,"April 2025"
"E54000008",121688,33202,29785,8788,0.27,0.3,"April 2025"
"E54000036",19195,3982,3790,1234,0.21,0.33,"April 2025"
"E54000018",35941,9833,6151,1239,0.27,0.2,"April 2025"
