"icb22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"E54000010",23054,8636,7439,1792,0.37,0.24,"May 2022"
"E54000023",32781,5517,8361,1271,0.17,0.15,"May 2022"
"E54000052",36154,10414,9180,2114,0.29,0.23,"May 2022"
"E54000053",61394,16565,12966,2465,0.27,0.19,"May 2022"
"E54000062",82986,18706,18534,3527,0.23,0.19,"May 2022"
"E54000054",90031,18933,20110,4867,0.21,0.24,"May 2022"
"E54000040",27991,7601,9037,1482,0.27,0.16,"June 2022"
"E54000024",39836,2411,8106,494,0.06,0.06,"June 2022"
"E54000055",54283,16448,14835,9496,0.3,0.64,"June 2022"
"E54000039",31920,9827,8906,2656,0.31,0.3,"June 2022"
"E54000044",48253,13512,16465,1757,0.28,0.11,"June 2022"
"E54000056",33990,8173,7905,2119,0.24,0.27,"June 2022"
"E54000008",123811,34550,27663,7604,0.28,0.27,"June 2022"
"E54000036",17213,3809,3072,1089,0.22,0.35,"June 2022"
"E54000018",36123,10643,9675,2016,0.29,0.21,"June 2022"
"E54000050",136393,27596,37039,6339,0.2,0.17,"June 2022"
"E54000037",40058,9650,11339,2562,0.24,0.23,"June 2022"
"E54000041",21342,2062,7560,952,0.1,0.13,"June 2022"
"E54000029",86187,27328,13103,5380,0.32,0.41,"June 2022"
"E54000034",24738,0,6051,1404,0,0.23,"June 2022"
"E54000043",17408,4983,4009,1074,0.29,0.27,"June 2022"
"E54000057",119092,44021,29817,10037,0.37,0.34,"June 2022"
"E54000042",61089,9880,15939,3119,0.16,0.2,"June 2022"
"E54000048",68675,15333,16499,4654,0.22,0.28,"June 2022"
"E54000019",23895,8633,6248,1918,0.36,0.31,"June 2022"
"E54000025",45644,15808,8834,2051,0.35,0.23,"June 2022"
"E54000051",59553,18339,15906,4711,0.31,0.3,"June 2022"
"E54000058",48868,13391,9286,1814,0.27,0.2,"June 2022"
"E54000032",86919,18564,18766,4076,0.21,0.22,"June 2022"
"E54000015",33861,10511,7708,2365,0.31,0.31,"June 2022"
"E54000013",25575,6980,4620,1935,0.27,0.42,"June 2022"
"E54000026",32903,10486,9879,2224,0.32,0.23,"June 2022"
"E54000022",34846,11658,8428,3458,0.33,0.41,"June 2022"
"E54000028",73557,22940,8931,3665,0.31,0.41,"June 2022"
"E54000027",107079,11826,16860,3898,0.11,0.23,"June 2022"
"E54000059",29477,3952,5390,1906,0.13,0.35,"June 2022"
"E54000060",38362,4269,10744,2225,0.11,0.21,"June 2022"
"E54000030",83307,21848,13362,4965,0.26,0.37,"June 2022"
"E54000011",16324,6069,4703,1676,0.37,0.36,"June 2022"
"E54000038",22074,4760,4939,592,0.22,0.12,"June 2022"
"E54000031",60314,14808,9669,3125,0.25,0.32,"June 2022"
"E54000061",58149,13893,16497,3687,0.24,0.22,"June 2022"
"E54000010",22553,8484,7546,1666,0.38,0.22,"June 2022"
"E54000023",32733,6272,8206,1423,0.19,0.17,"June 2022"
"E54000052",35941,10984,9270,1718,0.31,0.19,"June 2022"
"E54000053",60573,15692,12662,2298,0.26,0.18,"June 2022"
"E54000062",82444,19098,18079,3634,0.23,0.2,"June 2022"
"E54000054",88338,19309,19495,5093,0.22,0.26,"June 2022"
"E54000040",28149,8124,9137,1749,0.29,0.19,"July 2022"
"E54000024",39045,2852,8172,986,0.07,0.12,"July 2022"
"E54000055",51464,17048,14506,4801,0.33,0.33,"July 2022"
"E54000039",32896,11078,9115,2912,0.34,0.32,"July 2022"
"E54000044",47309,13917,16348,2142,0.29,0.13,"July 2022"
"E54000056",31991,8754,7697,2595,0.27,0.34,"July 2022"
"E54000008",124630,36052,27143,8506,0.29,0.31,"July 2022"
"E54000036",18188,4074,3087,1169,0.22,0.38,"July 2022"
"E54000018",35900,10441,9136,2070,0.29,0.23,"July 2022"
"E54000050",136789,28690,36982,6426,0.21,0.17,"July 2022"
"E54000037",41192,10444,11061,3006,0.25,0.27,"July 2022"
"E54000041",21850,2091,7467,1019,0.1,0.14,"July 2022"
"E54000029",83787,27683,13292,5618,0.33,0.42,"July 2022"
"E54000034",23965,0,4354,1771,0,0.41,"July 2022"
"E54000043",18057,5550,3956,1138,0.31,0.29,"July 2022"
"E54000057",118586,44260,28915,10090,0.37,0.35,"July 2022"
"E54000042",61617,11445,16098,3507,0.19,0.22,"July 2022"
"E54000048",69123,15829,15845,5101,0.23,0.32,"July 2022"
"E54000019",23939,8698,6419,1653,0.36,0.26,"July 2022"
"E54000025",45063,16156,8826,2744,0.36,0.31,"July 2022"
"E54000051",61727,19345,16273,4815,0.31,0.3,"July 2022"
"E54000058",48504,13149,9086,1905,0.27,0.21,"July 2022"
"E54000032",88077,19950,18199,4202,0.23,0.23,"July 2022"
"E54000015",31832,9526,7275,2311,0.3,0.32,"July 2022"
"E54000013",26749,7489,4842,2008,0.28,0.41,"July 2022"
"E54000026",32673,11009,9849,2309,0.34,0.23,"July 2022"
"E54000022",35504,12303,8580,3906,0.35,0.46,"July 2022"
"E54000028",71282,22837,8907,4081,0.32,0.46,"July 2022"
"E54000027",105536,11986,16676,4529,0.11,0.27,"July 2022"
"E54000059",29923,4107,5530,2044,0.14,0.37,"July 2022"
"E54000060",38414,4191,11018,2229,0.11,0.2,"July 2022"
"E54000030",80290,22266,13126,4366,0.28,0.33,"July 2022"
"E54000011",16386,6330,4578,1727,0.39,0.38,"July 2022"
"E54000038",22300,5250,4874,660,0.24,0.14,"July 2022"
"E54000031",59307,14693,9472,3609,0.25,0.38,"July 2022"
"E54000061",58282,13496,16874,3456,0.23,0.2,"July 2022"
"E54000010",22131,8039,7253,1735,0.36,0.24,"July 2022"
"E54000023",33742,5925,8083,1945,0.18,0.24,"July 2022"
"E54000052",34629,11662,9126,2519,0.34,0.28,"July 2022"
"E54000053",61964,18416,12120,2672,0.3,0.22,"July 2022"
"E54000062",80472,18823,17760,4348,0.23,0.24,"July 2022"
"E54000054",88391,19472,20042,5440,0.22,0.27,"July 2022"
"E54000040",26516,7593,8781,1733,0.29,0.2,"August 2022"
"E54000024",35447,2602,7601,774,0.07,0.1,"August 2022"
"E54000055",46916,14687,14483,4456,0.31,0.31,"August 2022"
"E54000039",28709,9215,9204,2672,0.32,0.29,"August 2022"
"E54000044",38848,11371,15994,1943,0.29,0.12,"August 2022"
"E54000056",31035,7494,6811,2415,0.24,0.35,"August 2022"
"E54000008",117650,32340,27119,7857,0.27,0.29,"August 2022"
"E54000036",18862,4469,3035,1111,0.24,0.37,"August 2022"
"E54000018",31441,9811,9002,1794,0.31,0.2,"August 2022"
"E54000050",127433,26568,35194,6633,0.21,0.19,"August 2022"
"E54000037",39030,10341,11366,3275,0.26,0.29,"August 2022"
"E54000041",21264,2046,6992,1093,0.1,0.16,"August 2022"
"E54000029",74668,22592,12490,5680,0.3,0.45,"August 2022"
"E54000034",21877,0,4198,1518,0,0.36,"August 2022"
"E54000043",17786,5078,3596,1063,0.29,0.3,"August 2022"
"E54000057",107663,39999,27646,10411,0.37,0.38,"August 2022"
"E54000042",59018,8981,15971,3127,0.15,0.2,"August 2022"
"E54000048",65302,15525,15424,5421,0.24,0.35,"August 2022"
"E54000019",22992,8699,6260,1794,0.38,0.29,"August 2022"
"E54000025",42842,14531,8835,2409,0.34,0.27,"August 2022"
"E54000051",57402,18308,15117,4586,0.32,0.3,"August 2022"
"E54000058",43184,12400,8693,1990,0.29,0.23,"August 2022"
"E54000032",82118,16962,18037,4188,0.21,0.23,"August 2022"
"E54000015",30931,9131,7420,2301,0.3,0.31,"August 2022"
"E54000013",24928,7029,4670,2180,0.28,0.47,"August 2022"
"E54000026",30370,10537,9636,2293,0.35,0.24,"August 2022"
"E54000022",34874,11514,8488,3590,0.33,0.42,"August 2022"
"E54000028",62094,17968,8586,3663,0.29,0.43,"August 2022"
"E54000027",76328,8456,16025,3693,0.11,0.23,"August 2022"
"E54000059",26426,3539,5135,2111,0.13,0.41,"August 2022"
"E54000060",35843,3931,10547,1906,0.11,0.18,"August 2022"
"E54000030",71854,19831,12852,4030,0.28,0.31,"August 2022"
"E54000011",14914,5607,4298,1714,0.38,0.4,"August 2022"
"E54000038",21387,5071,4962,844,0.24,0.17,"August 2022"
"E54000031",53035,12256,8808,3273,0.23,0.37,"August 2022"
"E54000061",53617,12053,16270,3556,0.22,0.22,"August 2022"
"E54000010",21415,7474,7320,1641,0.35,0.22,"August 2022"
"E54000023",31572,5885,7981,1588,0.19,0.2,"August 2022"
"E54000052",32951,10446,9194,2195,0.32,0.24,"August 2022"
"E54000053",59736,16970,11422,2751,0.28,0.24,"August 2022"
"E54000062",73608,16424,17490,3735,0.22,0.21,"August 2022"
"E54000054",81793,17738,19056,5141,0.22,0.27,"August 2022"
"E54000040",27073,8132,8888,1878,0.3,0.21,"September 2022"
"E54000024",35280,2554,7587,795,0.07,0.1,"September 2022"
"E54000055",47793,15407,14796,4515,0.32,0.31,"September 2022"
"E54000039",28658,9701,9562,2682,0.34,0.28,"September 2022"
"E54000044",40780,13267,16032,2082,0.33,0.13,"September 2022"
"E54000056",32154,6289,7689,2417,0.2,0.31,"September 2022"
"E54000008",116622,33107,27377,8516,0.28,0.31,"September 2022"
"E54000036",15844,3762,2937,1153,0.24,0.39,"September 2022"
"E54000018",32728,9602,9053,1546,0.29,0.17,"September 2022"
"E54000050",124713,26838,35939,6534,0.22,0.18,"September 2022"
"E54000037",36170,9608,10934,3082,0.27,0.28,"September 2022"
"E54000041",19766,2077,7160,1274,0.11,0.18,"September 2022"
"E54000029",77171,23219,13276,5730,0.3,0.43,"September 2022"
"E54000034",22208,0,4418,1465,0,0.33,"September 2022"
"E54000043",17453,4996,3353,976,0.29,0.29,"September 2022"
"E54000057",109246,45025,27882,9484,0.41,0.34,"September 2022"
"E54000042",57767,9560,16070,3534,0.17,0.22,"September 2022"
"E54000048",63807,15420,15766,5307,0.24,0.34,"September 2022"
"E54000019",22788,8497,6373,1752,0.37,0.27,"September 2022"
"E54000025",42141,13333,8794,2276,0.32,0.26,"September 2022"
"E54000051",55944,18255,15375,4670,0.33,0.3,"September 2022"
"E54000058",43810,12139,8751,2041,0.28,0.23,"September 2022"
"E54000032",80710,17837,17616,4292,0.22,0.24,"September 2022"
"E54000015",32127,9673,8182,2237,0.3,0.27,"September 2022"
"E54000013",24536,6945,4659,2052,0.28,0.44,"September 2022"
"E54000026",30810,10991,9196,2493,0.36,0.27,"September 2022"
"E54000022",32787,11008,8181,3397,0.34,0.42,"September 2022"
"E54000028",65515,20585,8645,3923,0.31,0.45,"September 2022"
"E54000027",93188,11212,16455,3685,0.12,0.22,"September 2022"
"E54000059",26529,3466,5146,2005,0.13,0.39,"September 2022"
"E54000060",34976,3941,10627,2481,0.11,0.23,"September 2022"
"E54000030",76870,21132,13116,4619,0.27,0.35,"September 2022"
"E54000011",14767,5914,4376,1712,0.4,0.39,"September 2022"
"E54000038",20913,5273,5030,688,0.25,0.14,"September 2022"
"E54000031",55372,13411,8846,3028,0.24,0.34,"September 2022"
"E54000061",53601,12143,16528,3913,0.23,0.24,"September 2022"
"E54000010",20946,7080,7231,1645,0.34,0.23,"September 2022"
"E54000023",31680,6125,8023,1799,0.19,0.22,"September 2022"
"E54000052",33247,12030,9485,1867,0.36,0.2,"September 2022"
"E54000053",58130,16206,11391,2617,0.28,0.23,"September 2022"
"E54000062",71316,16404,17697,4309,0.23,0.24,"September 2022"
"E54000054",80553,16663,19035,5101,0.21,0.27,"September 2022"
"E54000040",28080,8775,9107,1965,0.31,0.22,"October 2022"
"E54000024",39647,2962,8194,946,0.07,0.12,"October 2022"
"E54000055",55795,15976,16728,5011,0.29,0.3,"October 2022"
"E54000039",30041,10530,9855,3181,0.35,0.32,"October 2022"
"E54000044",48904,15978,16225,2394,0.33,0.15,"October 2022"
"E54000056",33652,7344,7791,2675,0.22,0.34,"October 2022"
"E54000008",125949,37147,28236,9480,0.29,0.34,"October 2022"
"E54000036",16134,3715,3104,1147,0.23,0.37,"October 2022"
"E54000018",36737,11095,9544,1797,0.3,0.19,"October 2022"
"E54000050",135248,32863,36994,6606,0.24,0.18,"October 2022"
"E54000037",39591,10375,11441,3160,0.26,0.28,"October 2022"
"E54000041",21142,2210,7250,1582,0.1,0.22,"October 2022"
"E54000029",84207,29310,13278,6326,0.35,0.48,"October 2022"
"E54000034",25447,10,7077,2047,0,0.29,"October 2022"
"E54000043",18717,5037,3835,1000,0.27,0.26,"October 2022"
"E54000057",118091,50485,27362,11062,0.43,0.4,"October 2022"
"E54000042",61419,11677,16562,3922,0.19,0.24,"October 2022"
"E54000048",66947,16598,16724,5861,0.25,0.35,"October 2022"
"E54000019",23614,8921,6605,2000,0.38,0.3,"October 2022"
"E54000025",45332,16332,9078,2690,0.36,0.3,"October 2022"
"E54000051",58618,19061,16597,4992,0.33,0.3,"October 2022"
"E54000058",47324,14428,9055,2856,0.3,0.32,"October 2022"
"E54000032",88258,20704,17812,4625,0.23,0.26,"October 2022"
"E54000015",33983,11316,8164,2649,0.33,0.32,"October 2022"
"E54000013",25690,7314,4814,2132,0.28,0.44,"October 2022"
"E54000026",32799,12385,9364,2975,0.38,0.32,"October 2022"
"E54000022",35155,11574,8314,3568,0.33,0.43,"October 2022"
"E54000028",72863,24440,8820,4506,0.34,0.51,"October 2022"
"E54000027",108904,15249,16687,5043,0.14,0.3,"October 2022"
"E54000059",31457,4095,5689,2257,0.13,0.4,"October 2022"
"E54000060",37606,4091,10554,2220,0.11,0.21,"October 2022"
"E54000030",83387,24119,13573,4984,0.29,0.37,"October 2022"
"E54000011",15586,6504,4508,1703,0.42,0.38,"October 2022"
"E54000038",21072,6061,4916,840,0.29,0.17,"October 2022"
"E54000031",59632,14962,9422,3834,0.25,0.41,"October 2022"
"E54000061",58293,13855,17296,4449,0.24,0.26,"October 2022"
"E54000010",22485,8055,7344,1885,0.36,0.26,"October 2022"
"E54000023",33706,8429,8521,3080,0.25,0.36,"October 2022"
"E54000052",35963,13954,10058,2669,0.39,0.27,"October 2022"
"E54000053",61316,18480,11649,3161,0.3,0.27,"October 2022"
"E54000062",81892,19301,19010,4970,0.24,0.26,"October 2022"
"E54000054",87345,19560,19690,6536,0.22,0.33,"October 2022"
"E54000040",27661,8333,9485,1662,0.3,0.18,"November 2022"
"E54000024",39994,3028,8663,894,0.08,0.1,"November 2022"
"E54000055",56542,18605,15726,5084,0.33,0.32,"November 2022"
"E54000039",32181,11264,10085,3088,0.35,0.31,"November 2022"
"E54000044",49623,16873,16855,2364,0.34,0.14,"November 2022"
"E54000056",33576,6886,8365,2302,0.21,0.28,"November 2022"
"E54000008",124831,37947,29409,9447,0.3,0.32,"November 2022"
"E54000036",14983,3403,3504,1002,0.23,0.29,"November 2022"
"E54000018",37208,10927,8806,1921,0.29,0.22,"November 2022"
"E54000050",135060,32151,36994,6670,0.24,0.18,"November 2022"
"E54000037",38172,9963,11661,3197,0.26,0.27,"November 2022"
"E54000041",19804,1788,7493,1199,0.09,0.16,"November 2022"
"E54000029",84917,30467,12944,5954,0.36,0.46,"November 2022"
"E54000034",23596,50,6804,2236,0,0.33,"November 2022"
"E54000043",18052,5072,4018,1082,0.28,0.27,"November 2022"
"E54000057",119063,51431,27052,10780,0.43,0.4,"November 2022"
"E54000042",60771,11304,16816,3721,0.19,0.22,"November 2022"
"E54000048",66674,15768,17443,5425,0.24,0.31,"November 2022"
"E54000019",22595,8509,6681,1956,0.38,0.29,"November 2022"
"E54000025",44786,17221,9164,2608,0.38,0.28,"November 2022"
"E54000051",57615,18871,17088,4811,0.33,0.28,"November 2022"
"E54000058",48356,14831,9434,2228,0.31,0.24,"November 2022"
"E54000032",88013,20779,18055,4319,0.24,0.24,"November 2022"
"E54000015",35457,12285,8273,2725,0.35,0.33,"November 2022"
"E54000013",25312,7069,4996,1923,0.28,0.38,"November 2022"
"E54000026",32856,12640,9604,2716,0.38,0.28,"November 2022"
"E54000022",34384,10354,8775,3672,0.3,0.42,"November 2022"
"E54000028",72837,23929,8692,4249,0.33,0.49,"November 2022"
"E54000027",106227,15342,16912,4657,0.14,0.28,"November 2022"
"E54000059",29963,4483,5635,2134,0.15,0.38,"November 2022"
"E54000060",38574,4324,10892,2201,0.11,0.2,"November 2022"
"E54000030",81756,26093,13532,4509,0.32,0.33,"November 2022"
"E54000011",15137,6420,4671,1649,0.42,0.35,"November 2022"
"E54000038",20197,4963,5074,671,0.25,0.13,"November 2022"
"E54000031",59866,14952,9418,3627,0.25,0.39,"November 2022"
"E54000061",59295,15388,17989,4222,0.26,0.23,"November 2022"
"E54000010",22616,8366,7811,1740,0.37,0.22,"November 2022"
"E54000023",32851,8165,8636,2641,0.25,0.31,"November 2022"
"E54000052",35967,12319,10363,2305,0.34,0.22,"November 2022"
"E54000053",59299,17785,12042,2775,0.3,0.23,"November 2022"
"E54000062",82156,20757,19064,4557,0.25,0.24,"November 2022"
"E54000054",89981,21040,20601,6749,0.23,0.33,"November 2022"
"E54000040",29532,9162,9190,2207,0.31,0.24,"December 2022"
"E54000024",45324,5046,8729,1250,0.11,0.14,"December 2022"
"E54000055",60096,19737,14799,5225,0.33,0.35,"December 2022"
"E54000039",31430,11597,9241,3444,0.37,0.37,"December 2022"
"E54000044",49439,18555,16438,3259,0.38,0.2,"December 2022"
"E54000056",34992,9399,7941,2645,0.27,0.33,"December 2022"
"E54000008",131839,45840,28839,10406,0.35,0.36,"December 2022"
"E54000036",16035,4482,3607,1308,0.28,0.36,"December 2022"
"E54000018",38710,13210,9310,2736,0.34,0.29,"December 2022"
"E54000050",149144,38849,38308,7969,0.26,0.21,"December 2022"
"E54000037",40090,11675,11874,3596,0.29,0.3,"December 2022"
"E54000041",21422,2255,7778,1794,0.11,0.23,"December 2022"
"E54000029",87267,34079,13006,6968,0.39,0.54,"December 2022"
"E54000034",24981,64,6879,2297,0,0.33,"December 2022"
"E54000043",18607,5797,4233,1163,0.31,0.27,"December 2022"
"E54000057",119724,55349,28007,11834,0.46,0.42,"December 2022"
"E54000042",65882,15824,17259,5072,0.24,0.29,"December 2022"
"E54000048",71774,19392,17742,6368,0.27,0.36,"December 2022"
"E54000019",22987,9945,6784,2047,0.43,0.3,"December 2022"
"E54000025",46467,18446,9021,3064,0.4,0.34,"December 2022"
"E54000051",60814,21952,17050,5646,0.36,0.33,"December 2022"
"E54000058",53967,18612,9525,3215,0.34,0.34,"December 2022"
"E54000032",94904,25952,17889,5212,0.27,0.29,"December 2022"
"E54000015",36045,13325,8320,2879,0.37,0.35,"December 2022"
"E54000013",28765,8510,5155,2334,0.3,0.45,"December 2022"
"E54000026",33960,14682,9718,3345,0.43,0.34,"December 2022"
"E54000022",36708,11972,9010,3771,0.33,0.42,"December 2022"
"E54000028",72462,27687,8997,4596,0.38,0.51,"December 2022"
"E54000027",109709,17942,16393,5792,0.16,0.35,"December 2022"
"E54000059",32787,5675,5897,2552,0.17,0.43,"December 2022"
"E54000060",41863,7363,11559,3174,0.18,0.27,"December 2022"
"E54000030",85709,30196,13244,4885,0.35,0.37,"December 2022"
"E54000011",15808,7453,4759,1401,0.47,0.29,"December 2022"
"E54000038",22009,6927,5332,948,0.31,0.18,"December 2022"
"E54000031",61043,18847,9607,4171,0.31,0.43,"December 2022"
"E54000061",61780,18927,17781,5367,0.31,0.3,"December 2022"
"E54000010",23996,10663,8037,2093,0.44,0.26,"December 2022"
"E54000023",35400,9324,8663,3260,0.26,0.38,"December 2022"
"E54000052",38101,15197,10014,2922,0.4,0.29,"December 2022"
"E54000053",63097,21996,11549,4052,0.35,0.35,"December 2022"
"E54000062",87062,25773,18832,6159,0.3,0.33,"December 2022"
"E54000054",92348,24203,21128,7695,0.26,0.36,"December 2022"
"E54000040",24679,6729,9105,1728,0.27,0.19,"January 2023"
"E54000024",37192,2540,8546,871,0.07,0.1,"January 2023"
"E54000055",51872,14050,15359,4755,0.27,0.31,"January 2023"
"E54000039",29013,7601,10464,2927,0.26,0.28,"January 2023"
"E54000044",44420,12389,16204,2420,0.28,0.15,"January 2023"
"E54000056",30053,5675,7936,2279,0.19,0.29,"January 2023"
"E54000008",112240,30652,27715,9783,0.27,0.35,"January 2023"
"E54000036",14100,3246,3240,1107,0.23,0.34,"January 2023"
"E54000018",34538,9566,8688,2193,0.28,0.25,"January 2023"
"E54000050",122144,26732,36330,7295,0.22,0.2,"January 2023"
"E54000037",34846,8249,11410,3127,0.24,0.27,"January 2023"
"E54000041",18194,1725,7320,1493,0.09,0.2,"January 2023"
"E54000029",78546,24676,12743,5975,0.31,0.47,"January 2023"
"E54000034",21328,39,6322,1906,0,0.3,"January 2023"
"E54000043",16562,4394,3920,1041,0.27,0.27,"January 2023"
"E54000057",102278,38039,27685,10085,0.37,0.36,"January 2023"
"E54000042",55709,9719,17583,3032,0.17,0.17,"January 2023"
"E54000048",61392,13918,16924,5572,0.23,0.33,"January 2023"
"E54000019",20980,7624,6733,1800,0.36,0.27,"January 2023"
"E54000025",40222,13577,8861,2786,0.34,0.31,"January 2023"
"E54000051",54111,16669,17048,4817,0.31,0.28,"January 2023"
"E54000058",44184,12676,9625,2405,0.29,0.25,"January 2023"
"E54000032",81525,16903,17967,4250,0.21,0.24,"January 2023"
"E54000015",32488,8974,8424,2348,0.28,0.28,"January 2023"
"E54000013",24443,6841,5054,1808,0.28,0.36,"January 2023"
"E54000026",28902,10297,9795,3240,0.36,0.33,"January 2023"
"E54000022",31704,8747,8631,3398,0.28,0.39,"January 2023"
"E54000028",64079,19328,8518,4172,0.3,0.49,"January 2023"
"E54000027",94008,10549,16663,4674,0.11,0.28,"January 2023"
"E54000059",27123,3594,5446,2023,0.13,0.37,"January 2023"
"E54000060",35370,3950,11219,2801,0.11,0.25,"January 2023"
"E54000030",73612,20794,13234,4499,0.28,0.34,"January 2023"
"E54000011",13718,4946,4819,1221,0.36,0.25,"January 2023"
"E54000038",18891,4677,4974,816,0.25,0.16,"January 2023"
"E54000031",52709,12008,9406,3807,0.23,0.4,"January 2023"
"E54000061",53083,12325,18012,3952,0.23,0.22,"January 2023"
"E54000010",20456,7471,7837,1699,0.37,0.22,"January 2023"
"E54000023",29944,6291,8187,2423,0.21,0.3,"January 2023"
"E54000052",31177,8851,9942,2260,0.28,0.23,"January 2023"
"E54000053",54411,13172,11862,2859,0.24,0.24,"January 2023"
"E54000062",73959,16988,19179,4348,0.23,0.23,"January 2023"
"E54000054",78133,15854,19849,6215,0.2,0.31,"January 2023"
"E54000040",24455,7673,8525,1814,0.31,0.21,"February 2023"
"E54000024",35595,2881,8258,668,0.08,0.08,"February 2023"
"E54000055",45390,14258,14238,4383,0.31,0.31,"February 2023"
"E54000039",28874,7362,9886,2176,0.25,0.22,"February 2023"
"E54000044",43977,12720,15217,2358,0.29,0.15,"February 2023"
"E54000056",29785,5516,7304,2279,0.19,0.31,"February 2023"
"E54000008",108319,30291,26744,8616,0.28,0.32,"February 2023"
"E54000036",14418,3465,3011,1086,0.24,0.36,"February 2023"
"E54000018",34352,9743,8862,1686,0.28,0.19,"February 2023"
"E54000050",119055,24637,33258,5768,0.21,0.17,"February 2023"
"E54000037",34445,8637,11072,3034,0.25,0.27,"February 2023"
"E54000041",18134,1835,6643,1432,0.1,0.22,"February 2023"
"E54000029",76516,27420,11669,5246,0.36,0.45,"February 2023"
"E54000034",20970,87,6040,2226,0,0.37,"February 2023"
"E54000043",16206,4339,3803,1003,0.27,0.26,"February 2023"
"E54000057",99456,37491,25032,8801,0.38,0.35,"February 2023"
"E54000042",54464,9751,14792,3208,0.18,0.22,"February 2023"
"E54000048",58428,12382,15756,4479,0.21,0.28,"February 2023"
"E54000019",20775,7786,6218,1581,0.37,0.25,"February 2023"
"E54000025",39374,13872,8318,1812,0.35,0.22,"February 2023"
"E54000051",52730,17094,15498,4425,0.32,0.29,"February 2023"
"E54000058",42503,12882,8396,2345,0.3,0.28,"February 2023"
"E54000032",79967,16013,17450,3550,0.2,0.2,"February 2023"
"E54000015",31972,9221,7356,2396,0.29,0.33,"February 2023"
"E54000013",23523,6982,4574,1713,0.3,0.37,"February 2023"
"E54000026",28734,10219,8526,2702,0.36,0.32,"February 2023"
"E54000022",30589,8944,8122,3294,0.29,0.41,"February 2023"
"E54000028",63453,20466,7885,3684,0.32,0.47,"February 2023"
"E54000027",91331,10904,15446,4109,0.12,0.27,"February 2023"
"E54000059",26612,3420,5009,1922,0.13,0.38,"February 2023"
"E54000060",34840,3979,10907,2349,0.11,0.22,"February 2023"
"E54000030",72315,21314,11729,4040,0.29,0.34,"February 2023"
"E54000011",13331,5042,4435,1089,0.38,0.25,"February 2023"
"E54000038",18665,4836,4736,789,0.26,0.17,"February 2023"
"E54000031",51764,13188,8608,3602,0.25,0.42,"February 2023"
"E54000061",50897,12461,16677,3576,0.24,0.21,"February 2023"
"E54000010",19602,6496,7374,1421,0.33,0.19,"February 2023"
"E54000023",29137,6159,7794,2142,0.21,0.27,"February 2023"
"E54000052",29669,8901,9766,1978,0.3,0.2,"February 2023"
"E54000053",53087,12930,11630,2488,0.24,0.21,"February 2023"
"E54000062",70672,16199,18034,3885,0.23,0.22,"February 2023"
"E54000054",75898,16496,18258,5792,0.22,0.32,"February 2023"
"E54000040",27281,7861,9307,1774,0.29,0.19,"March 2023"
"E54000024",41114,2821,9256,761,0.07,0.08,"March 2023"
"E54000055",53299,16823,16313,4927,0.32,0.3,"March 2023"
"E54000039",32165,7573,11254,2498,0.24,0.22,"March 2023"
"E54000044",49360,14112,16808,2388,0.29,0.14,"March 2023"
"E54000056",33844,6408,7852,2502,0.19,0.32,"March 2023"
"E54000008",123151,34458,29751,9767,0.28,0.33,"March 2023"
"E54000036",16164,3733,3341,1140,0.23,0.34,"March 2023"
"E54000018",37870,9982,8807,2109,0.26,0.24,"March 2023"
"E54000050",135107,29689,37468,7421,0.22,0.2,"March 2023"
"E54000037",39265,9858,12123,3409,0.25,0.28,"March 2023"
"E54000041",20854,1991,8107,1372,0.1,0.17,"March 2023"
"E54000029",84968,28512,13372,5684,0.34,0.43,"March 2023"
"E54000034",24240,113,6875,2282,0,0.33,"March 2023"
"E54000043",18593,5146,4362,1126,0.28,0.26,"March 2023"
"E54000057",117566,43570,27674,9759,0.37,0.35,"March 2023"
"E54000042",61582,10345,17853,4041,0.17,0.23,"March 2023"
"E54000048",68241,15794,18065,5449,0.23,0.3,"March 2023"
"E54000019",23597,8989,6787,1772,0.38,0.26,"March 2023"
"E54000025",44900,15818,9496,2172,0.35,0.23,"March 2023"
"E54000051",60352,19697,17761,5089,0.33,0.29,"March 2023"
"E54000058",47196,14759,9764,2835,0.31,0.29,"March 2023"
"E54000032",91464,18595,19225,4022,0.2,0.21,"March 2023"
"E54000015",34675,9844,8728,2667,0.28,0.31,"March 2023"
"E54000013",26532,8072,5125,1814,0.3,0.35,"March 2023"
"E54000026",33294,12231,9627,2875,0.37,0.3,"March 2023"
"E54000022",35002,10170,9201,3709,0.29,0.4,"March 2023"
"E54000028",71507,22572,9053,3992,0.32,0.44,"March 2023"
"E54000027",97557,10777,17345,4336,0.11,0.25,"March 2023"
"E54000059",30102,4139,5505,2440,0.14,0.44,"March 2023"
"E54000060",39683,4664,11520,2701,0.12,0.23,"March 2023"
"E54000030",81133,23787,13596,4574,0.29,0.34,"March 2023"
"E54000011",15300,5629,4796,1261,0.37,0.26,"March 2023"
"E54000038",20778,4901,5561,710,0.24,0.13,"March 2023"
"E54000031",59080,14614,9765,3370,0.25,0.35,"March 2023"
"E54000061",56256,13651,18603,3561,0.24,0.19,"March 2023"
"E54000010",22475,7352,8547,1832,0.33,0.21,"March 2023"
"E54000023",32745,7891,8642,2803,0.24,0.32,"March 2023"
"E54000052",34261,10829,11076,2447,0.32,0.22,"March 2023"
