"nhs_trust22_code","date","discharged_by_1700","discharged_between_1701_2359","discharged_total"
"RAJ",2022-04-01,0,0,0
"RAJ",2022-04-02,0,0,0
"RAJ",2022-04-03,19,5,24
"RAJ",2022-04-04,33,11,44
"RAJ",2022-04-05,46,12,58
"RAJ",2022-04-06,39,12,51
"RAJ",2022-04-07,45,14,59
"RAJ",2022-04-08,75,0,75
"RAJ",2022-04-09,25,0,25
"RAJ",2022-04-10,14,5,19
"RAJ",2022-04-11,31,9,40
"RAJ",2022-04-12,45,14,59
"RAJ",2022-04-13,52,17,69
"RAJ",2022-04-14,52,17,69
"RAJ",2022-04-15,0,0,0
"RAJ",2022-04-16,0,0,0
"RAJ",2022-04-17,0,0,0
"RAJ",2022-04-18,27,9,36
"RAJ",2022-04-19,27,9,36
"RAJ",2022-04-20,44,16,60
"RAJ",2022-04-21,58,17,75
"RAJ",2022-04-22,0,0,0
"RAJ",2022-04-23,0,0,0
"RAJ",2022-04-24,9,4,13
"RAJ",2022-04-25,43,14,57
"RAJ",2022-04-26,57,18,75
"RAJ",2022-04-27,53,49,102
"RAJ",2022-04-28,56,19,75
"RAJ",2022-04-29,69,22,91
"RAJ",2022-04-30,30,11,41
"RC9",2022-04-01,70,30,100
"RC9",2022-04-02,28,25,53
"RC9",2022-04-03,37,13,50
"RC9",2022-04-04,47,30,77
"RC9",2022-04-05,64,41,105
"RC9",2022-04-06,57,30,87
"RC9",2022-04-07,78,38,116
"RC9",2022-04-08,74,30,104
"RC9",2022-04-09,55,13,68
"RC9",2022-04-10,35,21,56
"RC9",2022-04-11,81,39,120
"RC9",2022-04-12,81,39,120
"RC9",2022-04-13,79,44,123
"RC9",2022-04-14,75,34,109
"RC9",2022-04-15,57,15,72
"RC9",2022-04-16,36,25,61
"RC9",2022-04-17,34,30,64
"RC9",2022-04-18,39,21,60
"RC9",2022-04-19,47,25,72
"RC9",2022-04-20,83,32,115
"RC9",2022-04-21,57,31,88
"RC9",2022-04-22,82,36,118
"RC9",2022-04-23,49,19,68
"RC9",2022-04-24,52,24,76
"RC9",2022-04-25,85,38,123
"RC9",2022-04-26,104,52,156
"RC9",2022-04-27,92,36,128
"RC9",2022-04-28,75,37,112
"RC9",2022-04-29,55,38,93
"RC9",2022-04-30,31,30,61
"RCX",2022-04-01,35,30,65
"RCX",2022-04-02,33,23,56
"RCX",2022-04-03,23,12,35
"RCX",2022-04-04,34,16,50
"RCX",2022-04-05,46,32,78
"RCX",2022-04-06,34,29,63
"RCX",2022-04-07,45,16,61
"RCX",2022-04-08,42,28,70
"RCX",2022-04-09,24,15,39
"RCX",2022-04-10,29,11,40
"RCX",2022-04-11,41,21,62
"RCX",2022-04-12,48,20,68
"RCX",2022-04-13,33,20,53
"RCX",2022-04-14,47,25,72
"RCX",2022-04-15,38,19,57
"RCX",2022-04-16,22,11,33
"RCX",2022-04-17,22,11,33
"RCX",2022-04-18,26,32,58
"RCX",2022-04-19,28,26,54
"RCX",2022-04-20,41,34,75
"RCX",2022-04-21,0,0,0
"RCX",2022-04-22,48,43,91
"RCX",2022-04-23,27,13,40
"RCX",2022-04-24,29,14,43
"RCX",2022-04-25,34,32,66
"RCX",2022-04-26,42,42,84
"RCX",2022-04-27,44,30,74
"RCX",2022-04-28,51,34,85
"RCX",2022-04-29,40,41,81
"RCX",2022-04-30,32,21,53
"RD8",2022-04-01,40,23,63
"RD8",2022-04-02,18,6,24
"RD8",2022-04-03,13,14,27
"RD8",2022-04-04,35,40,75
"RD8",2022-04-05,46,19,65
"RD8",2022-04-06,41,13,54
"RD8",2022-04-07,35,19,54
"RD8",2022-04-08,54,25,79
"RD8",2022-04-09,28,6,34
"RD8",2022-04-10,12,11,23
"RD8",2022-04-11,43,10,53
"RD8",2022-04-12,52,13,65
"RD8",2022-04-13,44,26,70
"RD8",2022-04-14,51,20,71
"RD8",2022-04-15,36,23,59
"RD8",2022-04-16,14,18,32
"RD8",2022-04-17,12,18,30
"RD8",2022-04-18,8,8,16
"RD8",2022-04-19,27,10,37
"RD8",2022-04-20,46,12,58
"RD8",2022-04-21,39,40,79
"RD8",2022-04-22,41,15,56
"RD8",2022-04-23,16,13,29
"RD8",2022-04-24,13,19,32
"RD8",2022-04-25,38,12,50
"RD8",2022-04-26,32,17,49
"RD8",2022-04-27,42,21,63
"RD8",2022-04-28,40,22,62
"RD8",2022-04-29,35,8,43
"RD8",2022-04-30,26,10,36
"RDE",2022-04-01,101,61,162
"RDE",2022-04-02,58,27,85
"RDE",2022-04-03,47,25,72
"RDE",2022-04-04,80,47,127
"RDE",2022-04-05,100,53,153
"RDE",2022-04-06,110,82,192
"RDE",2022-04-07,95,60,155
"RDE",2022-04-08,117,54,171
"RDE",2022-04-09,83,30,113
"RDE",2022-04-10,66,17,83
"RDE",2022-04-11,88,55,143
"RDE",2022-04-12,97,68,165
"RDE",2022-04-13,118,69,187
"RDE",2022-04-14,121,85,206
"RDE",2022-04-15,75,43,118
"RDE",2022-04-16,61,32,93
"RDE",2022-04-17,51,21,72
"RDE",2022-04-18,65,19,84
"RDE",2022-04-19,74,52,126
"RDE",2022-04-20,101,82,183
"RDE",2022-04-21,110,72,182
"RDE",2022-04-22,113,71,184
"RDE",2022-04-23,65,48,113
"RDE",2022-04-24,59,34,93
"RDE",2022-04-25,84,62,146
"RDE",2022-04-26,94,57,151
"RDE",2022-04-27,115,72,187
"RDE",2022-04-28,112,64,176
"RDE",2022-04-29,113,88,201
"RDE",2022-04-30,91,35,126
"RGN",2022-04-01,58,46,104
"RGN",2022-04-02,54,22,76
"RGN",2022-04-03,29,24,53
"RGN",2022-04-04,58,50,108
"RGN",2022-04-05,75,35,110
"RGN",2022-04-06,77,54,131
"RGN",2022-04-07,71,45,116
"RGN",2022-04-08,74,55,129
"RGN",2022-04-09,31,22,53
"RGN",2022-04-10,28,15,43
"RGN",2022-04-11,56,41,97
"RGN",2022-04-12,73,59,132
"RGN",2022-04-13,75,50,125
"RGN",2022-04-14,82,68,150
"RGN",2022-04-15,60,0,60
"RGN",2022-04-16,21,18,39
"RGN",2022-04-17,41,16,57
"RGN",2022-04-18,35,21,56
"RGN",2022-04-19,54,34,88
"RGN",2022-04-20,76,44,120
"RGN",2022-04-21,65,55,120
"RGN",2022-04-22,87,54,141
"RGN",2022-04-23,42,26,68
"RGN",2022-04-24,30,15,45
"RGN",2022-04-25,66,58,124
"RGN",2022-04-26,81,37,118
"RGN",2022-04-27,79,44,123
"RGN",2022-04-28,69,53,122
"RGN",2022-04-29,69,33,102
"RGN",2022-04-30,51,25,76
"RGP",2022-04-01,28,10,38
"RGP",2022-04-02,26,4,30
"RGP",2022-04-03,20,8,28
"RGP",2022-04-04,22,9,31
"RGP",2022-04-05,30,10,40
"RGP",2022-04-06,25,10,35
"RGP",2022-04-07,37,7,44
"RGP",2022-04-08,27,11,38
"RGP",2022-04-09,25,6,31
"RGP",2022-04-10,24,5,29
"RGP",2022-04-11,37,7,44
"RGP",2022-04-12,30,3,33
"RGP",2022-04-13,28,8,36
"RGP",2022-04-14,51,6,57
"RGP",2022-04-15,43,11,54
"RGP",2022-04-16,24,4,28
"RGP",2022-04-17,13,6,19
"RGP",2022-04-18,25,3,28
"RGP",2022-04-19,32,9,41
"RGP",2022-04-20,33,6,39
"RGP",2022-04-21,46,3,49
"RGP",2022-04-22,46,9,55
"RGP",2022-04-23,37,8,45
"RGP",2022-04-24,18,3,21
"RGP",2022-04-25,22,8,30
"RGP",2022-04-26,37,5,42
"RGP",2022-04-27,35,6,41
"RGP",2022-04-28,46,8,54
"RGP",2022-04-29,41,6,47
"RGP",2022-04-30,44,5,49
"RGR",2022-04-01,52,26,78
"RGR",2022-04-02,11,11,22
"RGR",2022-04-03,23,4,27
"RGR",2022-04-04,34,22,56
"RGR",2022-04-05,38,27,65
"RGR",2022-04-06,46,23,69
"RGR",2022-04-07,34,22,56
"RGR",2022-04-08,50,34,84
"RGR",2022-04-09,27,13,40
"RGR",2022-04-10,18,5,23
"RGR",2022-04-11,30,25,55
"RGR",2022-04-12,32,15,47
"RGR",2022-04-13,42,31,73
"RGR",2022-04-14,40,24,64
"RGR",2022-04-15,38,24,62
"RGR",2022-04-16,23,5,28
"RGR",2022-04-17,11,8,19
"RGR",2022-04-18,25,15,40
"RGR",2022-04-19,37,22,59
"RGR",2022-04-20,40,25,65
"RGR",2022-04-21,41,30,71
"RGR",2022-04-22,44,27,71
"RGR",2022-04-23,24,24,48
"RGR",2022-04-24,16,4,20
"RGR",2022-04-25,43,22,65
"RGR",2022-04-26,41,24,65
"RGR",2022-04-27,38,27,65
"RGR",2022-04-28,35,21,56
"RGR",2022-04-29,50,37,87
"RGR",2022-04-30,21,11,32
"RGT",2022-04-01,55,49,104
"RGT",2022-04-02,41,28,69
"RGT",2022-04-03,29,20,49
"RGT",2022-04-04,56,35,91
"RGT",2022-04-05,60,43,103
"RGT",2022-04-06,54,43,97
"RGT",2022-04-07,54,53,107
"RGT",2022-04-08,48,61,109
"RGT",2022-04-09,42,25,67
"RGT",2022-04-10,29,21,50
"RGT",2022-04-11,46,44,90
"RGT",2022-04-12,60,54,114
"RGT",2022-04-13,73,41,114
"RGT",2022-04-14,53,59,112
"RGT",2022-04-15,69,44,113
"RGT",2022-04-16,32,27,59
"RGT",2022-04-17,36,23,59
"RGT",2022-04-18,47,19,66
"RGT",2022-04-19,45,42,87
"RGT",2022-04-20,58,42,100
"RGT",2022-04-21,57,47,104
"RGT",2022-04-22,63,71,134
"RGT",2022-04-23,45,32,77
"RGT",2022-04-24,40,22,62
"RGT",2022-04-25,53,38,91
"RGT",2022-04-26,66,47,113
"RGT",2022-04-27,61,35,96
"RGT",2022-04-28,67,30,97
"RGT",2022-04-29,61,69,130
"RGT",2022-04-30,40,30,70
"RM1",2022-04-01,81,58,139
"RM1",2022-04-02,65,34,99
"RM1",2022-04-03,48,20,68
"RM1",2022-04-04,58,40,98
"RM1",2022-04-05,93,57,150
"RM1",2022-04-06,76,56,132
"RM1",2022-04-07,99,63,162
"RM1",2022-04-08,33,72,105
"RM1",2022-04-09,11,53,64
"RM1",2022-04-10,49,21,70
"RM1",2022-04-11,80,49,129
"RM1",2022-04-12,89,43,132
"RM1",2022-04-13,86,55,141
"RM1",2022-04-14,82,47,129
"RM1",2022-04-15,80,113,193
"RM1",2022-04-16,38,14,52
"RM1",2022-04-17,51,21,72
"RM1",2022-04-18,38,21,59
"RM1",2022-04-19,56,47,103
"RM1",2022-04-20,83,52,135
"RM1",2022-04-21,93,60,153
"RM1",2022-04-22,101,58,159
"RM1",2022-04-23,66,38,104
"RM1",2022-04-24,60,18,78
"RM1",2022-04-25,82,54,136
"RM1",2022-04-26,95,50,145
"RM1",2022-04-27,94,47,141
"RM1",2022-04-28,76,63,139
"RM1",2022-04-29,88,58,146
"RM1",2022-04-30,75,44,119
"RQW",2022-04-01,36,16,52
"RQW",2022-04-02,15,7,22
"RQW",2022-04-03,26,7,33
"RQW",2022-04-04,24,16,40
"RQW",2022-04-05,32,19,51
"RQW",2022-04-06,39,28,67
"RQW",2022-04-07,23,12,35
"RQW",2022-04-08,2,0,2
"RQW",2022-04-09,24,11,35
"RQW",2022-04-10,7,3,10
"RQW",2022-04-11,21,12,33
"RQW",2022-04-12,26,19,45
"RQW",2022-04-13,32,19,51
"RQW",2022-04-14,32,23,55
"RQW",2022-04-15,37,13,50
"RQW",2022-04-16,16,4,20
"RQW",2022-04-17,0,0,0
"RQW",2022-04-18,21,3,24
"RQW",2022-04-19,14,16,30
"RQW",2022-04-20,27,16,43
"RQW",2022-04-21,31,14,45
"RQW",2022-04-22,35,18,53
"RQW",2022-04-23,23,9,32
"RQW",2022-04-24,18,8,26
"RQW",2022-04-25,23,19,42
"RQW",2022-04-26,38,13,51
"RQW",2022-04-27,32,16,48
"RQW",2022-04-28,29,14,43
"RQW",2022-04-29,38,20,58
"RQW",2022-04-30,21,16,37
"RWG",2022-04-01,59,57,116
"RWG",2022-04-02,38,17,55
"RWG",2022-04-03,33,9,42
"RWG",2022-04-04,40,38,78
"RWG",2022-04-05,62,36,98
"RWG",2022-04-06,60,30,90
"RWG",2022-04-07,48,43,91
"RWG",2022-04-08,57,36,93
"RWG",2022-04-09,36,18,54
"RWG",2022-04-10,30,11,41
"RWG",2022-04-11,37,38,75
"RWG",2022-04-12,53,37,90
"RWG",2022-04-13,45,40,85
"RWG",2022-04-14,41,50,91
"RWG",2022-04-15,57,27,84
"RWG",2022-04-16,41,16,57
"RWG",2022-04-17,35,18,53
"RWG",2022-04-18,28,14,42
"RWG",2022-04-19,27,30,57
"RWG",2022-04-20,61,31,92
"RWG",2022-04-21,42,45,87
"RWG",2022-04-22,54,47,101
"RWG",2022-04-23,33,31,64
"RWG",2022-04-24,26,18,44
"RWG",2022-04-25,47,35,82
"RWG",2022-04-26,56,45,101
"RWG",2022-04-27,59,43,102
"RWG",2022-04-28,62,37,99
"RWG",2022-04-29,49,54,103
"RWG",2022-04-30,39,30,69
"RWH",2022-04-01,49,32,81
"RWH",2022-04-02,26,18,44
"RWH",2022-04-03,18,20,38
"RWH",2022-04-04,33,31,64
"RWH",2022-04-05,41,29,70
"RWH",2022-04-06,33,40,73
"RWH",2022-04-07,46,40,86
"RWH",2022-04-08,49,40,89
"RWH",2022-04-09,37,30,67
"RWH",2022-04-10,36,13,49
"RWH",2022-04-11,38,24,62
"RWH",2022-04-12,52,31,83
"RWH",2022-04-13,57,34,91
"RWH",2022-04-14,42,45,87
"RWH",2022-04-15,41,23,64
"RWH",2022-04-16,23,29,52
"RWH",2022-04-17,22,18,40
"RWH",2022-04-18,18,10,28
"RWH",2022-04-19,33,32,65
"RWH",2022-04-20,46,36,82
"RWH",2022-04-21,41,40,81
"RWH",2022-04-22,39,38,77
"RWH",2022-04-23,51,24,75
"RWH",2022-04-24,34,14,48
"RWH",2022-04-25,34,26,60
"RWH",2022-04-26,50,31,81
"RWH",2022-04-27,56,36,92
"RWH",2022-04-28,52,31,83
"RWH",2022-04-29,41,42,83
"RWH",2022-04-30,35,23,58
"R1H",2022-04-01,72,47,119
"R1H",2022-04-02,69,43,112
"R1H",2022-04-03,57,17,74
"R1H",2022-04-04,56,38,94
"R1H",2022-04-05,87,34,121
"R1H",2022-04-06,64,33,97
"R1H",2022-04-07,83,57,140
"R1H",2022-04-08,66,54,120
"R1H",2022-04-09,67,29,96
"R1H",2022-04-10,41,16,57
"R1H",2022-04-11,0,0,0
"R1H",2022-04-12,78,75,153
"R1H",2022-04-13,101,68,169
"R1H",2022-04-14,82,43,125
"R1H",2022-04-15,105,37,142
"R1H",2022-04-16,56,29,85
"R1H",2022-04-17,62,15,77
"R1H",2022-04-18,57,31,88
"R1H",2022-04-19,77,41,118
"R1H",2022-04-20,92,58,150
"R1H",2022-04-21,106,73,179
"R1H",2022-04-22,103,74,177
"R1H",2022-04-23,60,25,85
"R1H",2022-04-24,76,26,102
"R1H",2022-04-25,54,87,141
"R1H",2022-04-26,95,57,152
"R1H",2022-04-27,87,63,150
"R1H",2022-04-28,86,51,137
"R1H",2022-04-29,86,88,174
"R1H",2022-04-30,111,35,146
"R1K",2022-04-01,54,52,106
"R1K",2022-04-02,69,36,105
"R1K",2022-04-03,36,14,50
"R1K",2022-04-04,31,30,61
"R1K",2022-04-05,52,49,101
"R1K",2022-04-06,46,32,78
"R1K",2022-04-07,41,36,77
"R1K",2022-04-08,46,45,91
"R1K",2022-04-09,81,29,110
"R1K",2022-04-10,30,11,41
"R1K",2022-04-11,41,49,90
"R1K",2022-04-12,49,45,94
"R1K",2022-04-13,53,49,102
"R1K",2022-04-14,78,57,135
"R1K",2022-04-15,74,26,100
"R1K",2022-04-16,31,21,52
"R1K",2022-04-17,45,15,60
"R1K",2022-04-18,23,19,42
"R1K",2022-04-19,28,31,59
"R1K",2022-04-20,44,33,77
"R1K",2022-04-21,45,41,86
"R1K",2022-04-22,50,55,105
"R1K",2022-04-23,49,26,75
"R1K",2022-04-24,57,17,74
"R1K",2022-04-25,40,40,80
"R1K",2022-04-26,74,55,129
"R1K",2022-04-27,84,52,136
"R1K",2022-04-28,50,49,99
"R1K",2022-04-29,60,57,117
"R1K",2022-04-30,44,14,58
"RAL",2022-04-01,55,64,119
"RAL",2022-04-02,44,54,98
"RAL",2022-04-03,44,38,82
"RAL",2022-04-04,38,44,82
"RAL",2022-04-05,49,58,107
"RAL",2022-04-06,64,54,118
"RAL",2022-04-07,55,50,105
"RAL",2022-04-08,72,56,128
"RAL",2022-04-09,33,42,75
"RAL",2022-04-10,32,26,58
"RAL",2022-04-11,35,47,82
"RAL",2022-04-12,61,71,132
"RAL",2022-04-13,54,55,109
"RAL",2022-04-14,52,72,124
"RAL",2022-04-15,54,52,106
"RAL",2022-04-16,33,28,61
"RAL",2022-04-17,29,40,69
"RAL",2022-04-18,26,30,56
"RAL",2022-04-19,39,45,84
"RAL",2022-04-20,51,53,104
"RAL",2022-04-21,66,61,127
"RAL",2022-04-22,56,80,136
"RAL",2022-04-23,37,40,77
"RAL",2022-04-24,33,32,65
"RAL",2022-04-25,24,55,79
"RAL",2022-04-26,61,49,110
"RAL",2022-04-27,57,52,109
"RAL",2022-04-28,61,65,126
"RAL",2022-04-29,49,76,125
"RAL",2022-04-30,41,43,84
"RAP",2022-04-01,11,30,41
"RAP",2022-04-02,12,17,29
"RAP",2022-04-03,12,5,17
"RAP",2022-04-04,19,26,45
"RAP",2022-04-05,18,28,46
"RAP",2022-04-06,21,25,46
"RAP",2022-04-07,20,20,40
"RAP",2022-04-08,22,27,49
"RAP",2022-04-09,23,17,40
"RAP",2022-04-10,19,7,26
"RAP",2022-04-11,9,23,32
"RAP",2022-04-12,26,27,53
"RAP",2022-04-13,22,30,52
"RAP",2022-04-14,18,39,57
"RAP",2022-04-15,22,14,36
"RAP",2022-04-16,19,14,33
"RAP",2022-04-17,21,15,36
"RAP",2022-04-18,10,19,29
"RAP",2022-04-19,12,20,32
"RAP",2022-04-20,18,23,41
"RAP",2022-04-21,23,28,51
"RAP",2022-04-22,25,27,52
"RAP",2022-04-23,20,14,34
"RAP",2022-04-24,8,9,17
"RAP",2022-04-25,9,17,26
"RAP",2022-04-26,25,25,50
"RAP",2022-04-27,0,0,0
"RAP",2022-04-28,34,20,54
"RAP",2022-04-29,21,40,61
"RAP",2022-04-30,18,18,36
"RAS",2022-04-01,27,8,35
"RAS",2022-04-02,7,1,8
"RAS",2022-04-03,6,1,7
"RAS",2022-04-04,23,0,23
"RAS",2022-04-05,19,0,19
"RAS",2022-04-06,46,4,50
"RAS",2022-04-07,31,2,33
"RAS",2022-04-08,27,2,29
"RAS",2022-04-09,22,0,22
"RAS",2022-04-10,2,0,2
"RAS",2022-04-11,20,1,21
"RAS",2022-04-12,41,6,47
"RAS",2022-04-13,33,1,34
"RAS",2022-04-14,27,0,27
"RAS",2022-04-15,14,0,14
"RAS",2022-04-16,12,0,12
"RAS",2022-04-17,10,0,10
"RAS",2022-04-18,9,0,9
"RAS",2022-04-19,22,1,23
"RAS",2022-04-20,28,2,30
"RAS",2022-04-21,29,1,30
"RAS",2022-04-22,37,1,38
"RAS",2022-04-23,3,0,3
"RAS",2022-04-24,1,0,1
"RAS",2022-04-25,20,5,25
"RAS",2022-04-26,35,2,37
"RAS",2022-04-27,20,1,21
"RAS",2022-04-28,21,0,21
"RAS",2022-04-29,29,0,29
"RAS",2022-04-30,22,0,22
"RAX",2022-04-01,46,0,46
"RAX",2022-04-02,30,0,30
"RAX",2022-04-03,22,0,22
"RAX",2022-04-04,30,0,30
"RAX",2022-04-05,44,0,44
"RAX",2022-04-06,46,0,46
"RAX",2022-04-07,37,0,37
"RAX",2022-04-08,47,0,47
"RAX",2022-04-09,21,0,21
"RAX",2022-04-10,18,0,18
"RAX",2022-04-11,31,0,31
"RAX",2022-04-12,46,0,46
"RAX",2022-04-13,57,0,57
"RAX",2022-04-14,55,0,55
"RAX",2022-04-15,30,0,30
"RAX",2022-04-16,11,0,11
"RAX",2022-04-17,13,0,13
"RAX",2022-04-18,9,0,9
"RAX",2022-04-19,27,0,27
"RAX",2022-04-20,44,0,44
"RAX",2022-04-21,42,0,42
"RAX",2022-04-22,52,0,52
"RAX",2022-04-23,39,0,39
"RAX",2022-04-24,18,0,18
"RAX",2022-04-25,40,0,40
"RAX",2022-04-26,53,0,53
"RAX",2022-04-27,36,0,36
"RAX",2022-04-28,40,0,40
"RAX",2022-04-29,65,0,65
"RAX",2022-04-30,31,0,31
"RF4",2022-04-01,61,58,119
"RF4",2022-04-02,34,9,43
"RF4",2022-04-03,30,13,43
"RF4",2022-04-04,31,42,73
"RF4",2022-04-05,45,47,92
"RF4",2022-04-06,58,36,94
"RF4",2022-04-07,56,52,108
"RF4",2022-04-08,45,47,92
"RF4",2022-04-09,47,16,63
"RF4",2022-04-10,30,9,39
"RF4",2022-04-11,54,41,95
"RF4",2022-04-12,50,54,104
"RF4",2022-04-13,79,51,130
"RF4",2022-04-14,76,48,124
"RF4",2022-04-15,40,30,70
"RF4",2022-04-16,0,0,0
"RF4",2022-04-17,19,14,33
"RF4",2022-04-18,18,13,31
"RF4",2022-04-19,37,40,77
"RF4",2022-04-20,73,36,109
"RF4",2022-04-21,58,38,96
"RF4",2022-04-22,51,67,118
"RF4",2022-04-23,38,16,54
"RF4",2022-04-24,26,6,32
"RF4",2022-04-25,48,41,89
"RF4",2022-04-26,54,38,92
"RF4",2022-04-27,58,37,95
"RF4",2022-04-28,65,29,94
"RF4",2022-04-29,69,59,128
"RF4",2022-04-30,38,18,56
"RJ1",2022-04-01,36,20,56
"RJ1",2022-04-02,16,13,29
"RJ1",2022-04-03,29,22,51
"RJ1",2022-04-04,57,30,87
"RJ1",2022-04-05,61,30,91
"RJ1",2022-04-06,64,46,110
"RJ1",2022-04-07,52,39,91
"RJ1",2022-04-08,51,16,67
"RJ1",2022-04-09,10,13,23
"RJ1",2022-04-10,9,14,23
"RJ1",2022-04-11,49,24,73
"RJ1",2022-04-12,61,24,85
"RJ1",2022-04-13,55,35,90
"RJ1",2022-04-14,36,15,51
"RJ1",2022-04-15,26,12,38
"RJ1",2022-04-16,26,22,48
"RJ1",2022-04-17,36,12,48
"RJ1",2022-04-18,19,14,33
"RJ1",2022-04-19,64,40,104
"RJ1",2022-04-20,68,39,107
"RJ1",2022-04-21,43,27,70
"RJ1",2022-04-22,41,19,60
"RJ1",2022-04-23,12,11,23
"RJ1",2022-04-24,44,20,64
"RJ1",2022-04-25,36,29,65
"RJ1",2022-04-26,55,38,93
"RJ1",2022-04-27,55,46,101
"RJ1",2022-04-28,60,24,84
"RJ1",2022-04-29,29,28,57
"RJ1",2022-04-30,21,18,39
"RJ2",2022-04-01,61,53,114
"RJ2",2022-04-02,39,26,65
"RJ2",2022-04-03,44,17,61
"RJ2",2022-04-04,56,56,112
"RJ2",2022-04-05,65,39,104
"RJ2",2022-04-06,79,50,129
"RJ2",2022-04-07,79,45,124
"RJ2",2022-04-08,76,47,123
"RJ2",2022-04-09,47,22,69
"RJ2",2022-04-10,45,24,69
"RJ2",2022-04-11,65,47,112
"RJ2",2022-04-12,99,53,152
"RJ2",2022-04-13,88,49,137
"RJ2",2022-04-14,95,54,149
"RJ2",2022-04-15,61,34,95
"RJ2",2022-04-16,40,25,65
"RJ2",2022-04-17,38,10,48
"RJ2",2022-04-18,37,11,48
"RJ2",2022-04-19,74,48,122
"RJ2",2022-04-20,87,44,131
"RJ2",2022-04-21,99,45,144
"RJ2",2022-04-22,73,52,125
"RJ2",2022-04-23,45,13,58
"RJ2",2022-04-24,51,8,59
"RJ2",2022-04-25,78,50,128
"RJ2",2022-04-26,86,56,142
"RJ2",2022-04-27,75,66,141
"RJ2",2022-04-28,92,52,144
"RJ2",2022-04-29,87,49,136
"RJ2",2022-04-30,47,16,63
"RJ6",2022-04-01,0,0,0
"RJ6",2022-04-02,0,0,0
"RJ6",2022-04-03,11,7,18
"RJ6",2022-04-04,11,28,39
"RJ6",2022-04-05,26,19,45
"RJ6",2022-04-06,18,24,42
"RJ6",2022-04-07,20,29,49
"RJ6",2022-04-08,0,0,0
"RJ6",2022-04-09,0,0,0
"RJ6",2022-04-10,11,6,17
"RJ6",2022-04-11,20,23,43
"RJ6",2022-04-12,20,23,43
"RJ6",2022-04-13,18,28,46
"RJ6",2022-04-14,18,28,46
"RJ6",2022-04-15,31,20,51
"RJ6",2022-04-16,16,11,27
"RJ6",2022-04-17,16,11,27
"RJ6",2022-04-18,19,16,35
"RJ6",2022-04-19,17,25,42
"RJ6",2022-04-20,32,20,52
"RJ6",2022-04-21,19,20,39
"RJ6",2022-04-22,19,20,39
"RJ6",2022-04-23,30,11,41
"RJ6",2022-04-24,11,6,17
"RJ6",2022-04-25,28,20,48
"RJ6",2022-04-26,25,28,53
"RJ6",2022-04-27,28,24,52
"RJ6",2022-04-28,23,29,52
"RJ6",2022-04-29,23,29,52
"RJ6",2022-04-30,23,29,52
"RJ7",2022-04-01,70,56,126
"RJ7",2022-04-02,36,33,69
"RJ7",2022-04-03,27,21,48
"RJ7",2022-04-04,48,36,84
"RJ7",2022-04-05,57,52,109
"RJ7",2022-04-06,47,51,98
"RJ7",2022-04-07,66,59,125
"RJ7",2022-04-08,65,61,126
"RJ7",2022-04-09,48,24,72
"RJ7",2022-04-10,22,24,46
"RJ7",2022-04-11,40,51,91
"RJ7",2022-04-12,66,45,111
"RJ7",2022-04-13,76,39,115
"RJ7",2022-04-14,62,75,137
"RJ7",2022-04-15,42,29,71
"RJ7",2022-04-16,37,39,76
"RJ7",2022-04-17,27,22,49
"RJ7",2022-04-18,24,19,43
"RJ7",2022-04-19,43,34,77
"RJ7",2022-04-20,60,50,110
"RJ7",2022-04-21,65,61,126
"RJ7",2022-04-22,61,49,110
"RJ7",2022-04-23,55,35,90
"RJ7",2022-04-24,38,22,60
"RJ7",2022-04-25,45,36,81
"RJ7",2022-04-26,48,65,113
"RJ7",2022-04-27,64,51,115
"RJ7",2022-04-28,77,52,129
"RJ7",2022-04-29,54,64,118
"RJ7",2022-04-30,35,37,72
"RJZ",2022-04-01,98,44,142
"RJZ",2022-04-02,44,17,61
"RJZ",2022-04-03,41,19,60
"RJZ",2022-04-04,88,44,132
"RJZ",2022-04-05,84,32,116
"RJZ",2022-04-06,86,40,126
"RJZ",2022-04-07,77,37,114
"RJZ",2022-04-08,65,45,110
"RJZ",2022-04-09,69,25,94
"RJZ",2022-04-10,38,17,55
"RJZ",2022-04-11,57,47,104
"RJZ",2022-04-12,63,41,104
"RJZ",2022-04-13,93,41,134
"RJZ",2022-04-14,89,67,156
"RJZ",2022-04-15,63,24,87
"RJZ",2022-04-16,46,18,64
"RJZ",2022-04-17,44,18,62
"RJZ",2022-04-18,29,9,38
"RJZ",2022-04-19,51,62,113
"RJZ",2022-04-20,74,47,121
"RJZ",2022-04-21,74,61,135
"RJZ",2022-04-22,105,59,164
"RJZ",2022-04-23,46,23,69
"RJZ",2022-04-24,45,14,59
"RJZ",2022-04-25,57,39,96
"RJZ",2022-04-26,36,12,48
"RJZ",2022-04-27,61,26,87
"RJZ",2022-04-28,83,27,110
"RJZ",2022-04-29,87,65,152
"RJZ",2022-04-30,65,27,92
"RKE",2022-04-01,9,23,32
"RKE",2022-04-02,5,4,9
"RKE",2022-04-03,4,2,6
"RKE",2022-04-04,12,16,28
"RKE",2022-04-05,13,14,27
"RKE",2022-04-06,12,15,27
"RKE",2022-04-07,10,19,29
"RKE",2022-04-08,9,32,41
"RKE",2022-04-09,6,5,11
"RKE",2022-04-10,9,11,20
"RKE",2022-04-11,8,12,20
"RKE",2022-04-12,13,13,26
"RKE",2022-04-13,15,9,24
"RKE",2022-04-14,8,27,35
"RKE",2022-04-15,2,4,6
