"month","type_of_wait","count"
2021-10-01,"No. > 18 weeks",2054200
2021-10-01,"No. > 52 weeks",312852
2021-10-01,"Total waiting",5977537
2021-11-01,"No. within 18 weeks",3933682
2021-11-01,"No. > 18 weeks",2067994
2021-11-01,"No. > 52 weeks",307214
2021-11-01,"Total waiting",6001676
2021-12-01,"No. within 18 weeks",3876780
2021-12-01,"No. > 18 weeks",2194513
2021-12-01,"No. > 52 weeks",310943
2021-12-01,"Total waiting",6071293
2022-01-01,"No. within 18 weeks",3826817
2022-01-01,"No. > 18 weeks",2301176
2022-01-01,"No. > 52 weeks",317491
2022-01-01,"Total waiting",6127993
2022-02-01,"No. within 18 weeks",3862282
2022-02-01,"No. > 18 weeks",2348849
2022-02-01,"No. > 52 weeks",306479
2022-02-01,"Total waiting",6211131
2022-03-01,"No. within 18 weeks",3956489
2022-03-01,"No. > 18 weeks",2409283
2022-03-01,"No. > 52 weeks",310067
2022-03-01,"Total waiting",6365772
2022-04-01,"No. within 18 weeks",3998468
2022-04-01,"No. > 18 weeks",2485238
2022-04-01,"No. > 52 weeks",323261
2022-04-01,"Total waiting",6483706
2022-05-01,"No. within 18 weeks",4215948
2022-05-01,"No. > 18 weeks",2422127
2022-05-01,"No. > 52 weeks",333119
2022-05-01,"Total waiting",6638075
2022-06-01,"No. within 18 weeks",4207211
2022-06-01,"No. > 18 weeks",2552849
2022-06-01,"No. > 52 weeks",357577
2022-06-01,"Total waiting",6760060
2022-07-01,"No. within 18 weeks",4174730
2022-07-01,"No. > 18 weeks",2665828
2022-07-01,"No. > 52 weeks",377886
2022-07-01,"Total waiting",6840558
2022-08-01,"No. within 18 weeks",4258985
2022-08-01,"No. > 18 weeks",2746863
2022-08-01,"No. > 52 weeks",387538
2022-08-01,"Total waiting",7005848
2022-09-01,"No. within 18 weeks",4204505
2022-09-01,"No. > 18 weeks",2870502
2022-09-01,"No. > 52 weeks",401895
2022-09-01,"Total waiting",7075007
2022-10-01,"No. within 18 weeks",4183750
2022-10-01,"No. > 18 weeks",2771708
2022-10-01,"No. > 52 weeks",384015
2022-10-01,"Total waiting",6955458
2022-11-01,"No. within 18 weeks",4162017
2022-11-01,"No. > 18 weeks",2767207
2022-11-01,"No. > 52 weeks",379540
2022-11-01,"Total waiting",6929224
2022-12-01,"No. within 18 weeks",4066601
2022-12-01,"No. > 18 weeks",2941651
2022-12-01,"No. > 52 weeks",381985
2022-12-01,"Total waiting",7008252
2023-01-01,"No. within 18 weeks",4207644
2023-01-01,"No. > 18 weeks",3005476
2023-01-01,"No. > 52 weeks",379145
2023-01-01,"Total waiting",7213120
2023-02-01,"No. within 18 weeks",4223233
2023-02-01,"No. > 18 weeks",2994638
2023-02-01,"No. > 52 weeks",362434
2023-02-01,"Total waiting",7217871
2023-03-01,"No. within 18 weeks",4299276
2023-03-01,"No. > 18 weeks",3031910
2023-03-01,"No. > 52 weeks",359078
2023-03-01,"Total waiting",7331186
2023-04-01,"No. within 18 weeks",4324159
2023-04-01,"No. > 18 weeks",3091193
2023-04-01,"No. > 52 weeks",371111
2023-04-01,"Total waiting",7415352
2023-05-01,"No. within 18 weeks",4446821
2023-05-01,"No. > 18 weeks",3028373
2023-05-01,"No. > 52 weeks",385027
2023-05-01,"Total waiting",7475194
2023-06-01,"No. within 18 weeks",4483361
2023-06-01,"No. > 18 weeks",3091288
2023-06-01,"No. > 52 weeks",383083
2023-06-01,"Total waiting",7574649
2023-07-01,"No. within 18 weeks",4498221
2023-07-01,"No. > 18 weeks",3176084
2023-07-01,"No. > 52 weeks",388505
2023-07-01,"Total waiting",7674305
2023-08-01,"No. within 18 weeks",4494969
2023-08-01,"No. > 18 weeks",3250815
2023-08-01,"No. > 52 weeks",395170
2023-08-01,"Total waiting",7745784
2023-09-01,"No. within 18 weeks",4462623
2023-09-01,"No. > 18 weeks",3281962
2023-09-01,"No. > 52 weeks",390320
2023-09-01,"Total waiting",7744585
2023-10-01,"No. within 18 weeks",4481644
2023-10-01,"No. > 18 weeks",3222223
2023-10-01,"No. > 52 weeks",377315
2023-10-01,"Total waiting",7703867
2023-11-01,"No. within 18 weeks",4435328
2023-11-01,"No. > 18 weeks",3178514
2023-11-01,"No. > 52 weeks",355712
2023-11-01,"Total waiting",7613842
2023-12-01,"No. within 18 weeks",4304249
2023-12-01,"No. > 18 weeks",3303336
2023-12-01,"No. > 52 weeks",338070
2023-12-01,"Total waiting",7607585
2024-01-01,"No. within 18 weeks",4321271
2024-01-01,"No. > 18 weeks",3254643
2024-01-01,"No. > 52 weeks",321394
2024-01-01,"Total waiting",7575914
2024-02-01,"No. within 18 weeks",4338109
2024-02-01,"No. > 18 weeks",3198798
2024-02-01,"No. > 52 weeks",304919
2024-02-01,"Total waiting",7536907
2024-03-01,"No. within 18 weeks",4312728
2024-03-01,"No. > 18 weeks",3226102
2024-03-01,"No. > 52 weeks",309299
2024-03-01,"Total waiting",7538830
2024-04-01,"No. within 18 weeks",4411134
2024-04-01,"No. > 18 weeks",3161429
2024-04-01,"No. > 52 weeks",302589
2024-04-01,"Total waiting",7572563
2024-05-01,"No. within 18 weeks",4493966
2024-05-01,"No. > 18 weeks",3109846
2024-05-01,"No. > 52 weeks",307500
2024-05-01,"Total waiting",7603812
