"nhs_trust22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"RAE",12349,2917,3925,793,0.24,0.2,"October 2021"
"RWY",15142,3639,3880,915,0.24,0.24,"October 2021"
"RXP",20551,6438,5822,2258,0.31,0.39,"October 2021"
"RP5",16535,4872,4322,1156,0.29,0.27,"October 2021"
"RR7",8699,2147,2529,909,0.25,0.36,"October 2021"
"RCD",5536,1317,1560,114,0.24,0.07,"October 2021"
"RWA",11185,4949,4052,1386,0.44,0.34,"October 2021"
"RV9",766,4,0,0,0.01,NA,"October 2021"
"RR8",30157,9668,5102,2202,0.32,0.43,"October 2021"
"RXF",22902,NA,5087,2295,NA,0.45,"October 2021"
"RNN",10218,2845,3095,1007,0.28,0.33,"October 2021"
"RVW",14980,NA,4256,262,NA,0.06,"October 2021"
"RJL",11960,5630,4153,1292,0.47,0.31,"October 2021"
"RTF",19046,1877,6019,0,0.1,0,"October 2021"
"RCU",6031,433,1110,3,0.07,0,"October 2021"
"RHQ",19519,5449,5600,1238,0.28,0.22,"October 2021"
"RTR",15497,4242,4531,1171,0.27,0.26,"October 2021"
"R0B",21284,4549,5845,401,0.21,0.07,"October 2021"
"RXG",0,0,128,0,NA,0,"October 2021"
"RTD",23160,3787,6005,360,0.16,0.06,"October 2021"
"RFR",7996,NA,3044,523,NA,0.17,"October 2021"
"RCB",19251,5941,5415,1415,0.31,0.26,"October 2021"
"RBS",6532,1799,1364,0,0.28,0,"October 2021"
"RXL",19375,3990,3320,1643,0.21,0.49,"October 2021"
"RMC",11673,4049,3075,728,0.35,0.24,"October 2021"
"RY2",5218,113,0,0,0.02,NA,"October 2021"
"RJR",7205,2972,2343,759,0.41,0.32,"October 2021"
"RJN",4403,1636,1144,252,0.37,0.22,"October 2021"
"RXR",17689,5557,5394,1297,0.31,0.24,"October 2021"
"RXN",15887,3592,4027,1615,0.23,0.4,"October 2021"
"RBQ",0,0,192,0,NA,0,"October 2021"
"REM",25188,9050,6492,2020,0.36,0.31,"October 2021"
"REP",1127,37,102,0,0.03,0,"October 2021"
"R0A",43289,16444,10124,3417,0.38,0.34,"October 2021"
"RW4",11075,161,147,0,0.01,0,"October 2021"
"RBT",9086,3278,3433,739,0.36,0.22,"October 2021"
"RM3",30822,11529,7523,1437,0.37,0.19,"October 2021"
"RVY",10659,2407,2353,821,0.23,0.35,"October 2021"
"RBN",15629,5119,4342,333,0.33,0.08,"October 2021"
"RWJ",10008,3753,3503,1048,0.38,0.3,"October 2021"
"RMP",11020,3805,2575,813,0.35,0.32,"October 2021"
"RBV",0,0,498,0,NA,0,"October 2021"
"RET",0,0,156,0,NA,0,"October 2021"
"RTX",11215,3027,3487,763,0.27,0.22,"October 2021"
"RWW",10549,3102,2239,1362,0.29,0.61,"October 2021"
"RY7",3705,48,0,0,0.01,NA,"October 2021"
"RBL",11199,4187,3925,600,0.37,0.15,"October 2021"
"RRF",13701,3693,2533,979,0.27,0.39,"October 2021"
"RTK",11330,3435,2521,441,0.3,0.17,"October 2021"
"RWX",1563,6,55,0,0,0,"October 2021"
"RXQ",12167,3107,4907,703,0.26,0.14,"October 2021"
"RN7",14359,2998,3337,557,0.21,0.17,"October 2021"
"RVV",22766,6750,6565,1736,0.3,0.26,"October 2021"
"RXC",12976,3280,4397,358,0.25,0.08,"October 2021"
"RDU",22552,NA,6056,821,NA,0.14,"October 2021"
"RN5",11936,3757,4611,685,0.31,0.15,"October 2021"
"R1F",5128,1205,1317,557,0.23,0.42,"October 2021"
"RYY",5630,19,0,0,0,NA,"October 2021"
"RWF",18178,3773,5430,0,0.21,0,"October 2021"
"RPA",14469,4718,3562,703,0.33,0.2,"October 2021"
"RNU",2798,171,0,0,0.06,NA,"October 2021"
"RTH",15707,4802,7460,950,0.31,0.13,"October 2021"
"RHU",13219,NA,5296,1324,NA,0.25,"October 2021"
"RPC",861,4,498,0,0,0,"October 2021"
"RHW",14616,4734,3811,469,0.32,0.12,"October 2021"
"RA2",6814,2423,3002,75,0.36,0.02,"October 2021"
"RW1",1445,39,155,0,0.03,0,"October 2021"
"RTP",11094,1828,3049,862,0.16,0.28,"October 2021"
"RDR",9859,99,1,0,0.01,0,"October 2021"
"RHM",13453,4155,4851,176,0.31,0.04,"October 2021"
"RYR",29806,9913,8774,2176,0.33,0.25,"October 2021"
"RJ8",0,0,81,0,NA,0,"October 2021"
"RBD",6049,1653,1915,73,0.27,0.04,"October 2021"
"RDY",0,0,3,0,NA,0,"October 2021"
"RTQ",5327,16,6,0,0,0,"October 2021"
"RTE",13040,4933,4764,1569,0.38,0.33,"October 2021"
"RN3",10497,2731,3822,514,0.26,0.13,"October 2021"
"RVJ",8614,3375,4704,958,0.39,0.2,"October 2021"
"RBZ",4564,1274,1566,384,0.28,0.25,"October 2021"
"REF",14377,3612,3105,1249,0.25,0.4,"October 2021"
"RH8",12110,3282,4079,519,0.27,0.13,"October 2021"
"RD1",7868,3262,3962,695,0.41,0.18,"October 2021"
"RNZ",6401,1410,2050,335,0.22,0.16,"October 2021"
"RH5",14877,3245,3159,473,0.22,0.15,"October 2021"
"RYF",1797,18,0,0,0.01,NA,"October 2021"
"RA9",8411,3154,2990,790,0.37,0.26,"October 2021"
"RA7",17041,6411,4581,1941,0.38,0.42,"October 2021"
"R0D",16397,NA,6151,705,NA,0.11,"October 2021"
"RK9",11857,NA,3489,740,NA,0.21,"October 2021"
"RC9",21321,NA,5841,88,NA,0.02,"November 2021"
"RGT",14414,NA,3199,770,NA,0.24,"November 2021"
"RWH",15617,4869,3034,468,0.31,0.15,"November 2021"
"RDE",22341,4858,6015,766,0.22,0.13,"November 2021"
"RY4",978,11,0,0,0.01,NA,"November 2021"
"RGP",6690,2052,1926,678,0.31,0.35,"November 2021"
"RAJ",31714,8088,10136,1923,0.26,0.19,"November 2021"
"RD8",13267,2408,2312,353,0.18,0.15,"November 2021"
"RM1",17829,5726,3673,1398,0.32,0.38,"November 2021"
"RGN",16405,6375,4720,1001,0.39,0.21,"November 2021"
"RQW",10302,4157,2839,882,0.4,0.31,"November 2021"
"RCX",6593,2598,3086,1069,0.39,0.35,"November 2021"
"RWG",14527,4283,3936,685,0.29,0.17,"November 2021"
"RGR",6943,NA,2234,523,NA,0.23,"November 2021"
"RF4",27111,11594,4587,1881,0.43,0.41,"November 2021"
"R1H",41899,9958,6703,3616,0.24,0.54,"November 2021"
"RYX",6307,32,0,0,0.01,NA,"November 2021"
"RQM",29105,NA,2943,1009,NA,0.34,"November 2021"
"RJ6",19054,3218,1403,616,0.17,0.44,"November 2021"
"RVR",13872,2927,2291,844,0.21,0.37,"November 2021"
"RJ1",17808,2971,4419,153,0.17,0.03,"November 2021"
"RQX",9988,1344,1956,219,0.13,0.11,"November 2021"
"RY9",4149,0,0,0,0,NA,"November 2021"
"RYJ",21911,NA,4022,1478,NA,0.37,"November 2021"
"RJZ",24436,8341,4635,2192,0.34,0.47,"November 2021"
"RAX",10361,2337,3210,752,0.23,0.23,"November 2021"
"RJ2",24459,5922,5109,1145,0.24,0.22,"November 2021"
"R1K",28966,6553,7483,1340,0.23,0.18,"November 2021"
"RP6",4898,10,156,0,0,0,"November 2021"
"RAT",2145,75,0,0,0.03,NA,"November 2021"
"RAP",16499,5170,2147,1332,0.31,0.62,"November 2021"
"RAL",25509,8150,4164,1413,0.32,0.34,"November 2021"
"RAN",0,0,22,0,NA,0,"November 2021"
"RJ7",12809,3270,3338,569,0.26,0.17,"November 2021"
"RAS",12467,3438,2013,581,0.28,0.29,"November 2021"
"RRV",12306,2334,1756,676,0.19,0.38,"November 2021"
"RKE",9089,2181,1218,459,0.24,0.38,"November 2021"
"RQ3",5559,1245,1316,0,0.22,0,"November 2021"
"RFS",8162,1687,3005,296,0.21,0.1,"November 2021"
"RYG",0,0,80,0,NA,0,"November 2021"
"RY8",7507,3,0,0,0,NA,"November 2021"
"RLT",7797,1597,1588,693,0.2,0.44,"November 2021"
"RNQ",8612,NA,2691,1029,NA,0.38,"November 2021"
"RY5",5526,101,0,0,0.02,NA,"November 2021"
"RNS",11367,3379,3527,647,0.3,0.18,"November 2021"
"RX1",17655,NA,7413,1394,NA,0.19,"November 2021"
"RXK",21591,5536,3679,1238,0.26,0.34,"November 2021"
"RK5",13857,2173,3744,549,0.16,0.15,"November 2021"
"R1D",2419,1,5,0,0,0,"November 2021"
"RJC",6822,2310,2611,314,0.34,0.12,"November 2021"
"RNA",15259,3180,3600,1030,0.21,0.29,"November 2021"
"RL1",0,0,22,0,NA,0,"November 2021"
"RL4",19827,3889,6283,1066,0.2,0.17,"November 2021"
"RXW",11870,5102,3807,2358,0.43,0.62,"November 2021"
"RWD",16616,6020,4717,2041,0.36,0.43,"November 2021"
"RRK",31741,15140,13247,4612,0.48,0.35,"November 2021"
"RKB",19423,5725,5438,1107,0.29,0.2,"November 2021"
"RTG",29067,9566,6154,1450,0.33,0.24,"November 2021"
"RWE",22080,10185,7369,2517,0.46,0.34,"November 2021"
"RJE",21209,7467,7246,1881,0.35,0.26,"November 2021"
"RBK",11860,2713,3695,849,0.23,0.23,"November 2021"
"RWP",16909,4934,4676,1378,0.29,0.29,"November 2021"
"RLQ",5434,1946,1694,421,0.36,0.25,"November 2021"
"RCF",6161,2223,2084,1,0.36,0,"November 2021"
"RFF",8477,3197,3063,346,0.38,0.11,"November 2021"
"RAE",11826,2891,3886,804,0.24,0.21,"November 2021"
"RWY",13994,3245,3932,827,0.23,0.21,"November 2021"
"RXP",19317,6289,5668,2184,0.33,0.39,"November 2021"
"RP5",15892,4770,3995,1210,0.3,0.3,"November 2021"
"RR7",8199,1710,2331,705,0.21,0.3,"November 2021"
"RCD",5286,1267,1428,125,0.24,0.09,"November 2021"
"RWA",10812,4986,3867,1406,0.46,0.36,"November 2021"
"RV9",687,4,0,0,0.01,NA,"November 2021"
"RR8",28947,9066,4973,1917,0.31,0.39,"November 2021"
"RXF",21719,NA,5132,2129,NA,0.41,"November 2021"
"RNN",9392,2419,3042,916,0.26,0.3,"November 2021"
"RVW",13687,NA,4075,231,NA,0.06,"November 2021"
"RJL",11574,4834,4133,1250,0.42,0.3,"November 2021"
"RTF",17182,1545,5828,0,0.09,0,"November 2021"
"RCU",5638,406,1129,3,0.07,0,"November 2021"
"RHQ",18487,4986,5390,1188,0.27,0.22,"November 2021"
"RTR",14312,4283,4512,1026,0.3,0.23,"November 2021"
"R0B",20470,4193,5671,290,0.2,0.05,"November 2021"
"RXG",0,0,137,0,NA,0,"November 2021"
"RTD",21114,3216,5856,261,0.15,0.04,"November 2021"
"RFR",7771,NA,2949,637,NA,0.22,"November 2021"
"RCB",17596,5238,5361,1382,0.3,0.26,"November 2021"
"RBS",6181,2091,1362,0,0.34,0,"November 2021"
"RXL",18784,3717,3388,1559,0.2,0.46,"November 2021"
"RMC",11245,3789,3083,855,0.34,0.28,"November 2021"
"RY2",4792,55,0,0,0.01,NA,"November 2021"
"RJR",6862,2658,2466,583,0.39,0.24,"November 2021"
"RJN",4036,1543,1095,387,0.38,0.35,"November 2021"
"RXR",16440,5377,5786,1118,0.33,0.19,"November 2021"
"RXN",15280,3682,4215,1752,0.24,0.42,"November 2021"
"RBQ",0,0,235,0,NA,0,"November 2021"
"REM",23115,8327,6528,1540,0.36,0.24,"November 2021"
"REP",961,12,96,0,0.01,0,"November 2021"
"R0A",41335,13905,10248,2896,0.34,0.28,"November 2021"
"RW4",10381,124,151,0,0.01,0,"November 2021"
"RBT",8909,2903,3503,581,0.33,0.17,"November 2021"
"RM3",29052,10939,7888,2211,0.38,0.28,"November 2021"
"RVY",10155,2129,2380,828,0.21,0.35,"November 2021"
"RBN",14853,4456,4385,283,0.3,0.06,"November 2021"
"RWJ",9365,3489,3468,1164,0.37,0.34,"November 2021"
"RMP",10230,3509,2478,610,0.34,0.25,"November 2021"
"RBV",0,0,556,0,NA,0,"November 2021"
"RET",0,0,148,0,NA,0,"November 2021"
"RTX",10617,2617,3251,762,0.25,0.23,"November 2021"
"RWW",9995,2961,2204,1280,0.3,0.58,"November 2021"
"RY7",3447,26,0,0,0.01,NA,"November 2021"
"RBL",10459,4237,3907,697,0.41,0.18,"November 2021"
"RRF",13314,3830,2391,925,0.29,0.39,"November 2021"
"RTK",10569,3272,2431,727,0.31,0.3,"November 2021"
"RWX",1438,9,51,0,0.01,0,"November 2021"
"RXQ",11935,3331,4969,788,0.28,0.16,"November 2021"
"RN7",13358,2794,3130,824,0.21,0.26,"November 2021"
"RVV",21146,6222,6502,1881,0.29,0.29,"November 2021"
"RXC",12292,3174,4145,303,0.26,0.07,"November 2021"
"RDU",21003,NA,6023,885,NA,0.15,"November 2021"
"RN5",11248,3429,4551,709,0.3,0.16,"November 2021"
"R1F",4902,1325,1177,475,0.27,0.4,"November 2021"
"RYY",5151,14,0,0,0,NA,"November 2021"
"RWF",17129,3275,5148,0,0.19,0,"November 2021"
"RPA",13463,4159,3673,836,0.31,0.23,"November 2021"
"RNU",2919,166,0,0,0.06,NA,"November 2021"
"RTH",15141,4882,7279,1008,0.32,0.14,"November 2021"
"RHU",12070,NA,5358,1377,NA,0.26,"November 2021"
"RPC",1035,3,488,0,0,0,"November 2021"
"RHW",13838,3898,3797,426,0.28,0.11,"November 2021"
"RA2",6551,1954,3024,46,0.3,0.02,"November 2021"
"RW1",1634,19,166,0,0.01,0,"November 2021"
"RTP",10777,2283,3085,1069,0.21,0.35,"November 2021"
"RDR",9699,91,3,3,0.01,1,"November 2021"
"RHM",12221,3150,4449,133,0.26,0.03,"November 2021"
"RYR",28521,8972,8430,2104,0.31,0.25,"November 2021"
"RJ8",0,0,83,0,NA,0,"November 2021"
"RBD",5665,1471,1807,83,0.26,0.05,"November 2021"
"RDY",0,0,3,0,NA,0,"November 2021"
"RTQ",4213,21,3,0,0,0,"November 2021"
"RTE",11985,4444,4419,1441,0.37,0.33,"November 2021"
"RN3",9630,2155,3490,473,0.22,0.14,"November 2021"
"RVJ",8133,3239,4738,840,0.4,0.18,"November 2021"
"RBZ",4305,1094,1558,354,0.25,0.23,"November 2021"
"REF",13346,3125,3030,1182,0.23,0.39,"November 2021"
"RH8",11114,3045,3928,527,0.27,0.13,"November 2021"
"RD1",8113,2916,4002,542,0.36,0.14,"November 2021"
"RNZ",5736,1336,1999,369,0.23,0.18,"November 2021"
"RH5",14178,2990,2963,605,0.21,0.2,"November 2021"
"RYF",1761,27,0,0,0.02,NA,"November 2021"
"RA9",7477,3007,2872,761,0.4,0.26,"November 2021"
"RA7",16049,5794,4551,1825,0.36,0.4,"November 2021"
"R0D",15133,NA,5882,828,NA,0.14,"November 2021"
"RK9",10879,NA,3231,651,NA,0.2,"November 2021"
"RC9",20406,NA,5712,85,NA,0.01,"December 2021"
"RGT",13319,NA,3391,872,NA,0.26,"December 2021"
"RWH",14675,4476,2884,404,0.31,0.14,"December 2021"
"RDE",21579,5560,5932,939,0.26,0.16,"December 2021"
"RY4",741,2,0,0,0,NA,"December 2021"
"RGP",6268,2312,1864,819,0.37,0.44,"December 2021"
"RAJ",29350,7542,9736,1505,0.26,0.15,"December 2021"
"RD8",12243,2261,2354,406,0.18,0.17,"December 2021"
"RM1",16654,5564,3823,1387,0.33,0.36,"December 2021"
"RGN",15693,6827,4959,1011,0.44,0.2,"December 2021"
"RQW",9592,3286,2806,789,0.34,0.28,"December 2021"
"RCX",6140,2663,2919,1220,0.43,0.42,"December 2021"
"RWG",13429,4930,4123,1051,0.37,0.25,"December 2021"
"RGR",6696,NA,2293,527,NA,0.23,"December 2021"
"RF4",24723,9635,4437,1914,0.39,0.43,"December 2021"
"R1H",39306,10162,6609,3773,0.26,0.57,"December 2021"
"RYX",5368,10,0,0,0,NA,"December 2021"
"RQM",26330,NA,2869,789,NA,0.28,"December 2021"
"RJ6",15168,3296,1433,587,0.22,0.41,"December 2021"
"RVR",13143,2512,2252,858,0.19,0.38,"December 2021"
"RJ1",15655,2748,4017,141,0.18,0.04,"December 2021"
"RQX",9587,1910,1920,259,0.2,0.13,"December 2021"
"RY9",3337,0,0,0,0,NA,"December 2021"
"RYJ",19886,NA,3843,1416,NA,0.37,"December 2021"
"RJZ",22529,7912,4625,1930,0.35,0.42,"December 2021"
"RAX",9292,2299,2984,654,0.25,0.22,"December 2021"
"RJ2",23175,5828,4616,1377,0.25,0.3,"December 2021"
"R1K",25798,5838,7126,1460,0.23,0.2,"December 2021"
"RP6",4261,1,178,0,0,0,"December 2021"
"RAT",1742,69,0,0,0.04,NA,"December 2021"
"RAP",15740,4544,2158,1367,0.29,0.63,"December 2021"
"RAL",22812,7193,3894,1235,0.32,0.32,"December 2021"
"RAN",0,0,22,0,NA,0,"December 2021"
"RJ7",11391,3180,3297,705,0.28,0.21,"December 2021"
"RAS",11257,3034,1960,659,0.27,0.34,"December 2021"
"RRV",11029,3015,1807,381,0.27,0.21,"December 2021"
"RKE",8179,2187,1136,481,0.27,0.42,"December 2021"
"RQ3",4886,782,1216,0,0.16,0,"December 2021"
"RFS",7624,1523,3185,381,0.2,0.12,"December 2021"
"RYG",0,0,57,0,NA,0,"December 2021"
"RY8",6376,1,0,0,0,NA,"December 2021"
"RLT",7662,1608,1496,595,0.21,0.4,"December 2021"
"RNQ",8331,NA,2839,989,NA,0.35,"December 2021"
"RY5",5121,71,0,0,0.01,NA,"December 2021"
"RNS",10912,3386,3364,896,0.31,0.27,"December 2021"
"RX1",15983,NA,7063,1337,NA,0.19,"December 2021"
"RXK",19654,5743,3533,1034,0.29,0.29,"December 2021"
"RK5",13204,2311,3736,737,0.18,0.2,"December 2021"
"R1D",2141,3,4,0,0,0,"December 2021"
"RJC",6244,1745,2473,258,0.28,0.1,"December 2021"
"RNA",14631,3277,3975,1001,0.22,0.25,"December 2021"
"RL1",0,0,16,0,NA,0,"December 2021"
"RL4",18221,3719,5998,1037,0.2,0.17,"December 2021"
"RXW",11183,4675,4487,2186,0.42,0.49,"December 2021"
"RWD",16109,5691,4744,1826,0.35,0.38,"December 2021"
"RRK",29943,13741,13241,4731,0.46,0.36,"December 2021"
"RKB",17703,4996,5205,1096,0.28,0.21,"December 2021"
"RTG",26412,9268,6342,1437,0.35,0.23,"December 2021"
"RWE",19893,8540,7440,2318,0.43,0.31,"December 2021"
"RJE",19345,7147,7001,1664,0.37,0.24,"December 2021"
"RBK",10901,2558,3494,681,0.23,0.19,"December 2021"
"RWP",15314,4710,4552,1205,0.31,0.26,"December 2021"
"RLQ",5415,1975,1785,464,0.36,0.26,"December 2021"
"RCF",5962,2238,2036,0,0.38,0,"December 2021"
"RFF",7904,2506,3050,328,0.32,0.11,"December 2021"
"RAE",10393,2763,3146,847,0.27,0.27,"December 2021"
"RWY",13365,3615,3881,1002,0.27,0.26,"December 2021"
"RXP",18598,5877,6552,2060,0.32,0.31,"December 2021"
"RP5",14639,4641,3921,1229,0.32,0.31,"December 2021"
"RR7",8098,1785,2483,880,0.22,0.35,"December 2021"
"RCD",4941,1534,1463,327,0.31,0.22,"December 2021"
"RWA",8799,4134,3852,1290,0.47,0.33,"December 2021"
"RV9",719,3,0,0,0,NA,"December 2021"
"RR8",25659,8107,5098,2066,0.32,0.41,"December 2021"
"RXF",19895,NA,4879,1897,NA,0.39,"December 2021"
"RNN",9167,2609,3022,938,0.28,0.31,"December 2021"
"RVW",12910,NA,3937,385,NA,0.1,"December 2021"
"RJL",11063,4535,4192,1193,0.41,0.28,"December 2021"
"RTF",16694,1502,5869,0,0.09,0,"December 2021"
"RCU",4519,306,989,1,0.07,0,"December 2021"
"RHQ",16599,4717,5326,888,0.28,0.17,"December 2021"
"RTR",13406,3484,4009,993,0.26,0.25,"December 2021"
"R0B",18489,4481,5548,450,0.24,0.08,"December 2021"
"RXG",0,0,127,0,NA,0,"December 2021"
"RTD",17962,2642,5583,233,0.15,0.04,"December 2021"
"RFR",7534,NA,2936,598,NA,0.2,"December 2021"
"RCB",16420,4797,5163,1605,0.29,0.31,"December 2021"
"RBS",5101,1296,1218,0,0.25,0,"December 2021"
"RXL",17052,3607,3447,1495,0.21,0.43,"December 2021"
"RMC",10572,3920,2829,833,0.37,0.29,"December 2021"
"RY2",4337,44,0,0,0.01,NA,"December 2021"
"RJR",6787,2665,2436,881,0.39,0.36,"December 2021"
"RJN",3853,1488,1145,225,0.39,0.2,"December 2021"
"RXR",15690,4576,5154,1007,0.29,0.2,"December 2021"
"RXN",13919,3270,3850,1628,0.23,0.42,"December 2021"
"RBQ",0,0,232,0,NA,0,"December 2021"
"REM",22911,7739,6611,1447,0.34,0.22,"December 2021"
"REP",1064,45,94,0,0.04,0,"December 2021"
"R0A",37397,12556,10220,2971,0.34,0.29,"December 2021"
"RW4",10163,16,118,0,0,0,"December 2021"
"RBT",8331,3314,3430,812,0.4,0.24,"December 2021"
"RM3",26526,10452,7506,2305,0.39,0.31,"December 2021"
"RVY",8919,1938,2190,679,0.22,0.31,"December 2021"
"RBN",14111,4233,4405,326,0.3,0.07,"December 2021"
"RWJ",8951,3599,3383,1087,0.4,0.32,"December 2021"
"RMP",9141,3470,2323,764,0.38,0.33,"December 2021"
"RBV",0,0,533,0,NA,0,"December 2021"
"RET",0,0,158,0,NA,0,"December 2021"
"RTX",9685,2757,3134,800,0.28,0.26,"December 2021"
"RWW",9342,2917,2137,1299,0.31,0.61,"December 2021"
"RY7",3025,9,0,0,0,NA,"December 2021"
"RBL",9277,3658,3735,542,0.39,0.15,"December 2021"
"RRF",11809,3868,2512,1052,0.33,0.42,"December 2021"
"RTK",9982,3251,2433,412,0.33,0.17,"December 2021"
"RWX",1159,11,25,0,0.01,0,"December 2021"
"RXQ",10892,2886,4752,803,0.26,0.17,"December 2021"
"RN7",12669,2870,3167,775,0.23,0.24,"December 2021"
"RVV",19567,5816,6169,1669,0.3,0.27,"December 2021"
"RXC",11373,2882,4236,248,0.25,0.06,"December 2021"
"RDU",19601,NA,5727,1123,NA,0.2,"December 2021"
"RN5",10512,3363,4360,836,0.32,0.19,"December 2021"
"R1F",4643,1372,1154,635,0.3,0.55,"December 2021"
"RYY",4489,15,0,0,0,NA,"December 2021"
"RWF",15918,3004,5274,24,0.19,0,"December 2021"
"RPA",12244,3718,3421,794,0.3,0.23,"December 2021"
"RNU",2419,54,0,0,0.02,NA,"December 2021"
"RTH",13417,4021,7375,824,0.3,0.11,"December 2021"
"RHU",11229,NA,5607,1650,NA,0.29,"December 2021"
"RPC",1020,9,482,0,0.01,0,"December 2021"
"RHW",12476,2514,3748,307,0.2,0.08,"December 2021"
"RA2",6098,1809,2860,84,0.3,0.03,"December 2021"
"RW1",1531,11,160,0,0.01,0,"December 2021"
"RTP",10088,2020,2997,900,0.2,0.3,"December 2021"
"RDR",8310,77,0,0,0.01,NA,"December 2021"
"RHM",11418,3154,4527,243,0.28,0.05,"December 2021"
"RYR",26572,9136,8179,1979,0.34,0.24,"December 2021"
"RJ8",0,0,88,0,NA,0,"December 2021"
"RBD",5158,1447,1796,46,0.28,0.03,"December 2021"
"RDY",0,0,0,0,NA,NA,"December 2021"
"RTQ",3596,13,1,0,0,0,"December 2021"
"RTE",10950,4224,4042,1382,0.39,0.34,"December 2021"
"RN3",9098,2354,3582,501,0.26,0.14,"December 2021"
"RVJ",7574,2893,4774,882,0.38,0.18,"December 2021"
"RBZ",4110,1176,1597,431,0.29,0.27,"December 2021"
"REF",12620,3060,2925,1197,0.24,0.41,"December 2021"
"RH8",9719,2527,3959,494,0.26,0.12,"December 2021"
"RD1",7078,2472,3716,669,0.35,0.18,"December 2021"
"RNZ",5509,1033,1957,371,0.19,0.19,"December 2021"
"RH5",13223,2717,3081,468,0.21,0.15,"December 2021"
"RYF",1462,14,0,0,0.01,NA,"December 2021"
"RA9",6923,2596,2749,669,0.37,0.24,"December 2021"
"RA7",14578,5294,4363,1869,0.36,0.43,"December 2021"
"R0D",13824,NA,5753,896,NA,0.16,"December 2021"
"RK9",10364,NA,3290,642,NA,0.2,"December 2021"
"RC9",20085,NA,5634,98,NA,0.02,"January 2022"
"RGT",13574,NA,3228,811,NA,0.25,"January 2022"
"RWH",14165,4281,2889,427,0.3,0.15,"January 2022"
"RDE",21552,5166,5553,979,0.24,0.18,"January 2022"
"RY4",873,3,0,0,0,NA,"January 2022"
"RGP",6446,2132,1899,854,0.33,0.45,"January 2022"
"RAJ",29626,7415,10021,1715,0.25,0.17,"January 2022"
"RD8",12178,2041,2147,329,0.17,0.15,"January 2022"
"RM1",16092,4962,3530,1459,0.31,0.41,"January 2022"
"RGN",15464,6250,4615,1230,0.4,0.27,"January 2022"
"RQW",9636,2982,2490,933,0.31,0.37,"January 2022"
"RCX",6298,2243,2983,950,0.36,0.32,"January 2022"
"RWG",13533,4638,3981,1218,0.34,0.31,"January 2022"
"RGR",6673,NA,2103,611,NA,0.29,"January 2022"
"RF4",24624,9773,4388,1761,0.4,0.4,"January 2022"
"R1H",39184,9670,6393,3322,0.25,0.52,"January 2022"
"RYX",4485,12,0,0,0,NA,"January 2022"
"RQM",25814,NA,2848,693,NA,0.24,"January 2022"
"RJ6",13989,3208,1333,610,0.23,0.46,"January 2022"
"RVR",12795,2367,2103,933,0.18,0.44,"January 2022"
"RJ1",15794,2348,4074,78,0.15,0.02,"January 2022"
"RQX",9753,1316,1843,135,0.13,0.07,"January 2022"
"RY9",3197,0,0,0,0,NA,"January 2022"
"RYJ",21691,NA,3668,1291,NA,0.35,"January 2022"
"RJZ",23279,7446,4517,1847,0.32,0.41,"January 2022"
"RAX",9482,2268,3008,667,0.24,0.22,"January 2022"
"RJ2",23062,5530,4599,1424,0.24,0.31,"January 2022"
"R1K",25585,5231,6744,1246,0.2,0.18,"January 2022"
"RP6",4600,2,172,0,0,0,"January 2022"
"RAT",1978,14,0,0,0.01,NA,"January 2022"
"RAP",15828,5173,1842,1158,0.33,0.63,"January 2022"
"RAL",22925,7325,3852,1960,0.32,0.51,"January 2022"
"RAN",0,0,21,0,NA,0,"January 2022"
"RJ7",11693,3050,3258,790,0.26,0.24,"January 2022"
"RAS",11174,2514,1953,779,0.22,0.4,"January 2022"
"RRV",10855,2504,1727,374,0.23,0.22,"January 2022"
"RKE",8286,2136,1177,566,0.26,0.48,"January 2022"
"RQ3",5231,938,1278,0,0.18,0,"January 2022"
"RFS",7546,1211,2883,295,0.16,0.1,"January 2022"
"RYG",0,0,78,0,NA,0,"January 2022"
"RY8",5808,0,0,0,0,NA,"January 2022"
"RLT",7225,1534,1465,477,0.21,0.33,"January 2022"
"RNQ",8117,NA,2007,917,NA,0.46,"January 2022"
"RY5",4996,57,0,0,0.01,NA,"January 2022"
"RNS",10530,3340,3145,882,0.32,0.28,"January 2022"
"RX1",16381,NA,7075,1572,NA,0.22,"January 2022"
"RXK",19800,5051,3503,1311,0.26,0.37,"January 2022"
"RK5",13144,1880,3759,483,0.14,0.13,"January 2022"
"R1D",2308,2,3,0,0,0,"January 2022"
"RJC",6478,1959,2336,274,0.3,0.12,"January 2022"
"RNA",14165,3038,4283,989,0.21,0.23,"January 2022"
"RL1",0,0,16,0,NA,0,"January 2022"
"RL4",17874,3355,6004,1168,0.19,0.19,"January 2022"
"RXW",11525,5080,4382,2624,0.44,0.6,"January 2022"
"RWD",15980,5835,4708,1952,0.37,0.41,"January 2022"
"RRK",29550,13319,12960,4889,0.45,0.38,"January 2022"
"RKB",17944,5248,4950,1220,0.29,0.25,"January 2022"
"RTG",26173,8958,5943,1627,0.34,0.27,"January 2022"
"RWE",20002,8597,7279,2051,0.43,0.28,"January 2022"
"RJE",19683,7029,6948,1805,0.36,0.26,"January 2022"
"RBK",10656,2279,3526,498,0.21,0.14,"January 2022"
"RWP",15975,4930,4403,1249,0.31,0.28,"January 2022"
