"nhs_trust22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"R0A",42351,11463,10281,1773,0.27,0.17,"June 2021"
"RW4",7625,0,151,0,0,0,"June 2021"
"RBT",9388,3039,3359,632,0.32,0.19,"June 2021"
"RW6",21099,5970,5119,1100,0.28,0.21,"June 2021"
"RM3",9762,2887,2984,559,0.3,0.19,"June 2021"
"RVY",9676,1794,2557,466,0.19,0.18,"June 2021"
"RBN",16629,4530,4664,518,0.27,0.11,"June 2021"
"RWJ",9971,2995,3569,621,0.3,0.17,"June 2021"
"RMP",10827,2398,2624,277,0.22,0.11,"June 2021"
"RBV",0,0,543,0,NA,0,"June 2021"
"RET",0,0,190,0,NA,0,"June 2021"
"RTX",12306,2059,3404,295,0.17,0.09,"June 2021"
"RWW",10936,2242,2251,923,0.21,0.41,"June 2021"
"RY7",2928,7,0,0,0,NA,"June 2021"
"RBL",11055,2434,3993,289,0.22,0.07,"June 2021"
"RRF",14092,2378,3603,346,0.17,0.1,"June 2021"
"RTK",11667,2323,2462,102,0.2,0.04,"June 2021"
"RWX",1698,17,26,0,0.01,0,"June 2021"
"RXQ",13190,2595,5224,348,0.2,0.07,"June 2021"
"RN7",13434,1571,3505,140,0.12,0.04,"June 2021"
"RVV",23208,5320,7103,983,0.23,0.14,"June 2021"
"RXC",13425,1971,4389,159,0.15,0.04,"June 2021"
"RDU",23205,NA,6423,194,NA,0.03,"June 2021"
"RN5",11954,2163,5164,174,0.18,0.03,"June 2021"
"R1F",5624,583,1455,257,0.1,0.18,"June 2021"
"RYY",5825,23,0,0,0,NA,"June 2021"
"RWF",18612,2375,4917,196,0.13,0.04,"June 2021"
"RPA",12036,3111,3812,407,0.26,0.11,"June 2021"
"RNU",3425,146,0,0,0.04,NA,"June 2021"
"RTH",14844,2890,7653,343,0.19,0.04,"June 2021"
"RHU",13470,NA,5464,557,NA,0.1,"June 2021"
"RPC",943,9,542,0,0.01,0,"June 2021"
"RHW",14243,2322,3582,169,0.16,0.05,"June 2021"
"RA2",6793,1415,3041,30,0.21,0.01,"June 2021"
"RW1",1354,15,157,0,0.01,0,"June 2021"
"RTP",11144,761,2958,195,0.07,0.07,"June 2021"
"RDR",11429,134,3,3,0.01,1,"June 2021"
"RHM",12692,2005,4795,38,0.16,0.01,"June 2021"
"RYR",30824,5886,9401,848,0.19,0.09,"June 2021"
"RJ8",0,0,141,0,NA,0,"June 2021"
"RBD",6917,1381,1860,42,0.2,0.02,"June 2021"
"RDY",0,0,7,0,NA,0,"June 2021"
"RTQ",5022,21,11,0,0,0,"June 2021"
"RTE",13288,3853,5478,995,0.29,0.18,"June 2021"
"RN3",10828,2541,3931,301,0.23,0.08,"June 2021"
"RVJ",8728,3109,4757,520,0.36,0.11,"June 2021"
"RBZ",5353,923,1781,163,0.17,0.09,"June 2021"
"REF",16828,2610,3449,620,0.16,0.18,"June 2021"
"RH8",11625,2638,3911,260,0.23,0.07,"June 2021"
"RD1",8084,1777,4061,104,0.22,0.03,"June 2021"
"RNZ",6323,1370,2131,127,0.22,0.06,"June 2021"
"RH5",15764,2169,2947,84,0.14,0.03,"June 2021"
"RYF",1193,5,0,0,0,NA,"June 2021"
"RC9",21961,NA,6578,0,NA,0,"July 2021"
"RGT",15252,NA,3196,1215,NA,0.38,"July 2021"
"RWH",15633,3940,3175,273,0.25,0.09,"July 2021"
"RDE",21206,3730,6593,262,0.18,0.04,"July 2021"
"RY4",815,24,0,0,0.03,NA,"July 2021"
"RGP",7827,2355,2083,383,0.3,0.18,"July 2021"
"RAJ",33592,5428,11172,663,0.16,0.06,"July 2021"
"RD8",14321,2097,2289,185,0.15,0.08,"July 2021"
"RM1",18980,5872,3919,1141,0.31,0.29,"July 2021"
"RGN",17193,6317,5047,694,0.37,0.14,"July 2021"
"RQW",10395,3119,3036,524,0.3,0.17,"July 2021"
"RCX",7242,1939,3202,604,0.27,0.19,"July 2021"
"RWG",15225,3975,4283,731,0.26,0.17,"July 2021"
"RGR",7848,NA,2298,293,NA,0.13,"July 2021"
"RF4",27965,9863,5116,301,0.35,0.06,"July 2021"
"R1H",42554,7174,9617,2277,0.17,0.24,"July 2021"
"RYX",3656,6,0,0,0,NA,"July 2021"
"RQM",28723,NA,2932,316,NA,0.11,"July 2021"
"RJ6",19433,3482,1923,808,0.18,0.42,"July 2021"
"RVR",15024,2008,2239,755,0.13,0.34,"July 2021"
"RJ1",17478,3231,4668,102,0.18,0.02,"July 2021"
"RQX",10384,1293,1801,117,0.12,0.06,"July 2021"
"RY9",4256,1,0,0,0,NA,"July 2021"
"RYJ",23174,NA,3975,956,NA,0.24,"July 2021"
"RJZ",25028,8033,4662,1715,0.32,0.37,"July 2021"
"RAX",10554,2015,3516,229,0.19,0.07,"July 2021"
"RJ2",25354,3947,5517,448,0.16,0.08,"July 2021"
"R1K",30359,5089,8005,792,0.17,0.1,"July 2021"
"RP6",4950,2,172,2,0,0.01,"July 2021"
"RAT",2588,113,0,0,0.04,NA,"July 2021"
"RAP",17833,3749,2434,1046,0.21,0.43,"July 2021"
"RAL",26665,5634,4612,624,0.21,0.14,"July 2021"
"RAN",0,0,21,0,NA,0,"July 2021"
"RJ7",13244,1300,3812,249,0.1,0.07,"July 2021"
"RAS",12557,3448,2194,682,0.27,0.31,"July 2021"
"RRV",11927,1476,1914,419,0.12,0.22,"July 2021"
"RKE",9354,1827,1384,321,0.2,0.23,"July 2021"
"RQ3",5594,1499,1097,0,0.27,0,"July 2021"
"RFS",8700,853,3214,200,0.1,0.06,"July 2021"
"RYG",0,0,80,0,NA,0,"July 2021"
"RY8",8131,3,0,0,0,NA,"July 2021"
"RLT",8196,981,1766,243,0.12,0.14,"July 2021"
"RNQ",9177,NA,2806,831,NA,0.3,"July 2021"
"RY5",7451,254,9,0,0.03,0,"July 2021"
"RNS",11935,2548,3759,402,0.21,0.11,"July 2021"
"RX1",18635,NA,8051,979,NA,0.12,"July 2021"
"RXK",23490,5725,3574,964,0.24,0.27,"July 2021"
"RK5",15057,2076,3830,263,0.14,0.07,"July 2021"
"R1D",3048,2,7,0,0,0,"July 2021"
"RJC",7261,1446,2559,85,0.2,0.03,"July 2021"
"RNA",17224,3574,3227,1566,0.21,0.49,"July 2021"
"RL1",0,0,18,0,NA,0,"July 2021"
"RL4",21127,3964,5861,646,0.19,0.11,"July 2021"
"RXW",13467,5066,4833,1705,0.38,0.35,"July 2021"
"RWD",18575,6515,4813,1783,0.35,0.37,"July 2021"
"RRK",35103,15372,14632,4742,0.44,0.32,"July 2021"
"RKB",19180,4929,5557,968,0.26,0.17,"July 2021"
"RTG",30069,9021,6579,799,0.3,0.12,"July 2021"
"RWE",22638,8408,7658,1842,0.37,0.24,"July 2021"
"RJE",23344,7604,7632,1653,0.33,0.22,"July 2021"
"RBK",12110,1821,3544,504,0.15,0.14,"July 2021"
"RWP",18642,4994,4691,1113,0.27,0.24,"July 2021"
"RLQ",6180,1833,1819,268,0.3,0.15,"July 2021"
"RCF",6895,1926,2190,0,0.28,0,"July 2021"
"RFF",8788,3180,2903,283,0.36,0.1,"July 2021"
"RAE",13379,3204,3995,733,0.24,0.18,"July 2021"
"RWY",15564,3332,4145,592,0.21,0.14,"July 2021"
"RXP",19145,4901,6116,1399,0.26,0.23,"July 2021"
"RP5",17532,4641,4304,1042,0.26,0.24,"July 2021"
"RR7",8115,1589,2043,618,0.2,0.3,"July 2021"
"RCD",6227,1266,1634,12,0.2,0.01,"July 2021"
"RWA",11734,4362,3981,1027,0.37,0.26,"July 2021"
"RV9",783,0,0,0,0,NA,"July 2021"
"RR8",30015,8828,5377,1611,0.29,0.3,"July 2021"
"RXF",24580,NA,4779,2554,NA,0.53,"July 2021"
"RNN",11170,2655,3179,654,0.24,0.21,"July 2021"
"RVW",14082,NA,3762,238,NA,0.06,"July 2021"
"RJL",13300,4795,4051,1039,0.36,0.26,"July 2021"
"RTF",19074,1522,5786,0,0.08,0,"July 2021"
"RCU",5329,195,960,0,0.04,0,"July 2021"
"RHQ",18882,5709,5661,949,0.3,0.17,"July 2021"
"RTR",14958,3306,4554,946,0.22,0.21,"July 2021"
"R0B",20471,4114,5709,260,0.2,0.05,"July 2021"
"RXG",0,0,142,0,NA,0,"July 2021"
"RTD",19721,2614,6031,169,0.13,0.03,"July 2021"
"RFR",8477,NA,3081,555,NA,0.18,"July 2021"
"RCB",19876,4678,5681,844,0.24,0.15,"July 2021"
"RBS",6091,1944,1202,0,0.32,0,"July 2021"
"RXL",19017,3247,3685,1298,0.17,0.35,"July 2021"
"RMC",12519,4313,3193,591,0.34,0.19,"July 2021"
"RY2",5239,2,0,0,0,NA,"July 2021"
"RJR",7940,2697,2547,278,0.34,0.11,"July 2021"
"RJN",4693,1863,1140,170,0.4,0.15,"July 2021"
"RXR",17919,4666,5303,823,0.26,0.16,"July 2021"
"RXN",16026,3288,4068,1954,0.21,0.48,"July 2021"
"RBQ",0,0,202,0,NA,0,"July 2021"
"REM",25283,8622,7485,2307,0.34,0.31,"July 2021"
"REP",1107,42,114,0,0.04,0,"July 2021"
"R0A",42093,13532,10097,2512,0.32,0.25,"July 2021"
"RW4",7818,25,131,0,0,0,"July 2021"
"RBT",9561,3232,3451,609,0.34,0.18,"July 2021"
"RW6",21423,7140,5354,1200,0.33,0.22,"July 2021"
"RM3",10189,3845,2886,867,0.38,0.3,"July 2021"
"RVY",10181,2325,2510,715,0.23,0.28,"July 2021"
"RBN",16871,5407,4405,547,0.32,0.12,"July 2021"
"RWJ",10434,3370,3510,603,0.32,0.17,"July 2021"
"RMP",11130,3456,2672,430,0.31,0.16,"July 2021"
"RBV",0,0,529,0,NA,0,"July 2021"
"RET",0,0,169,0,NA,0,"July 2021"
"RTX",12377,2258,3375,457,0.18,0.14,"July 2021"
"RWW",10890,2980,2331,1305,0.27,0.56,"July 2021"
"RY7",3299,9,0,0,0,NA,"July 2021"
"RBL",11548,3714,4005,475,0.32,0.12,"July 2021"
"RRF",14211,2757,3155,579,0.19,0.18,"July 2021"
"RTK",11235,2896,2511,307,0.26,0.12,"July 2021"
"RWX",1672,19,46,0,0.01,0,"July 2021"
"RXQ",12619,3134,5382,463,0.25,0.09,"July 2021"
"RN7",13220,1705,3319,167,0.13,0.05,"July 2021"
"RVV",22942,6000,7065,1460,0.26,0.21,"July 2021"
"RXC",13521,2163,4343,189,0.16,0.04,"July 2021"
"RDU",23184,NA,6405,265,NA,0.04,"July 2021"
"RN5",12020,2648,4949,304,0.22,0.06,"July 2021"
"R1F",5932,688,1396,251,0.12,0.18,"July 2021"
"RYY",5841,34,0,0,0.01,NA,"July 2021"
"RWF",16484,3695,5004,384,0.22,0.08,"July 2021"
"RPA",11840,3428,3818,525,0.29,0.14,"July 2021"
"RNU",4021,369,0,0,0.09,NA,"July 2021"
"RTH",15208,3883,7523,703,0.26,0.09,"July 2021"
"RHU",14003,NA,5498,834,NA,0.15,"July 2021"
"RPC",971,1,561,0,0,0,"July 2021"
"RHW",14204,2834,3669,213,0.2,0.06,"July 2021"
"RA2",6842,1925,3134,26,0.28,0.01,"July 2021"
"RW1",1567,55,151,0,0.04,0,"July 2021"
"RTP",11363,1068,3047,423,0.09,0.14,"July 2021"
"RDR",11446,34,1,0,0,0,"July 2021"
"RHM",12988,2623,5010,73,0.2,0.01,"July 2021"
"RYR",31166,7526,9127,1138,0.24,0.12,"July 2021"
"RJ8",0,0,153,0,NA,0,"July 2021"
"RBD",6915,1599,1953,80,0.23,0.04,"July 2021"
"RDY",0,0,7,0,NA,0,"July 2021"
"RTQ",5272,29,9,NA,0.01,NA,"July 2021"
"RTE",13484,5047,5400,1384,0.37,0.26,"July 2021"
"RN3",10606,2986,3838,451,0.28,0.12,"July 2021"
"RVJ",8561,3907,4571,880,0.46,0.19,"July 2021"
"RBZ",5457,1198,1865,207,0.22,0.11,"July 2021"
"REF",18259,3846,3292,1042,0.21,0.32,"July 2021"
"RH8",11480,2622,3953,337,0.23,0.09,"July 2021"
"RD1",7994,2349,3894,216,0.29,0.06,"July 2021"
"RNZ",6573,1145,2018,129,0.17,0.06,"July 2021"
"RH5",16640,2652,3037,124,0.16,0.04,"July 2021"
"RYF",1344,4,0,0,0,NA,"July 2021"
"RC9",20636,NA,5456,57,NA,0.01,"August 2021"
"RGT",14341,NA,3242,916,NA,0.28,"August 2021"
"RWH",14928,3989,2994,277,0.27,0.09,"August 2021"
"RDE",20922,4657,6102,425,0.22,0.07,"August 2021"
"RY4",900,1,0,0,0,NA,"August 2021"
"RGP",7214,2985,1984,687,0.41,0.35,"August 2021"
"RAJ",32239,6032,10367,1010,0.19,0.1,"August 2021"
"RD8",13195,2338,2163,292,0.18,0.13,"August 2021"
"RM1",18307,5438,3939,1070,0.3,0.27,"August 2021"
"RGN",15910,6839,4760,823,0.43,0.17,"August 2021"
"RQW",9892,3027,2889,558,0.31,0.19,"August 2021"
"RCX",6979,2189,2863,823,0.31,0.29,"August 2021"
"RWG",13940,3338,3973,679,0.24,0.17,"August 2021"
"RGR",7340,NA,2247,284,NA,0.13,"August 2021"
