"ltla21_name","ltla21_code","variable","value"
"Armagh City, Banbridge and Craigavon","N09000002","count_15to39_years_35to49_hours",1258
"Armagh City, Banbridge and Craigavon","N09000002","count_15to39_years_50plus_hours",1317
"Armagh City, Banbridge and Craigavon","N09000002","total_40to64_years",70548
"Armagh City, Banbridge and Craigavon","N09000002","count_40to64_years_0_hours",56544
"Armagh City, Banbridge and Craigavon","N09000002","count_40to64_years_1to19_hours",7073
"Armagh City, Banbridge and Craigavon","N09000002","count_40to64_years_20to34_hours",1504
"Armagh City, Banbridge and Craigavon","N09000002","count_40to64_years_35to49_hours",1677
"Armagh City, Banbridge and Craigavon","N09000002","count_40to64_years_50plus_hours",3750
"Armagh City, Banbridge and Craigavon","N09000002","total_65_and_over",34989
"Armagh City, Banbridge and Craigavon","N09000002","count_65_and_over_0_hours",30754
"Armagh City, Banbridge and Craigavon","N09000002","count_65_and_over_1to19_hours",1215
"Armagh City, Banbridge and Craigavon","N09000002","count_65_and_over_20to34_hours",427
"Armagh City, Banbridge and Craigavon","N09000002","count_65_and_over_35to49_hours",328
"Armagh City, Banbridge and Craigavon","N09000002","count_65_and_over_50plus_hours",2265
"Armagh City, Banbridge and Craigavon","N09000002","percent_5_and_over_0_hours",0.879005281690141
"Armagh City, Banbridge and Craigavon","N09000002","percent_5_and_over_1to19_hours",0.0556240219092332
"Armagh City, Banbridge and Craigavon","N09000002","percent_5_and_over_20to34_hours",0.0132873630672926
"Armagh City, Banbridge and Craigavon","N09000002","percent_5_and_over_35to49_hours",0.016045579029734
"Armagh City, Banbridge and Craigavon","N09000002","percent_5_and_over_50plus_hours",0.0360377543035994
"Armagh City, Banbridge and Craigavon","N09000002","percent_5to14_years_0_hours",0.989214274283885
"Armagh City, Banbridge and Craigavon","N09000002","percent_5to14_years_1to19_hours",0.00771323411745879
"Armagh City, Banbridge and Craigavon","N09000002","percent_5to14_years_20to34_hours",0.00131220995359257
"Armagh City, Banbridge and Craigavon","N09000002","percent_5to14_years_35to49_hours",0.00057609217474796
"Armagh City, Banbridge and Craigavon","N09000002","percent_5to14_years_50plus_hours",0.00118418947031525
"Armagh City, Banbridge and Craigavon","N09000002","percent_15to39_years_0_hours",0.908933794203669
"Armagh City, Banbridge and Craigavon","N09000002","percent_15to39_years_1to19_hours",0.0420248751809507
"Armagh City, Banbridge and Craigavon","N09000002","percent_15to39_years_20to34_hours",0.0110047564182103
"Armagh City, Banbridge and Craigavon","N09000002","percent_15to39_years_35to49_hours",0.018582528287394
"Armagh City, Banbridge and Craigavon","N09000002","percent_15to39_years_50plus_hours",0.0194540459097758
"Armagh City, Banbridge and Craigavon","N09000002","percent_40to64_years_0_hours",0.801496853206328
"Armagh City, Banbridge and Craigavon","N09000002","percent_40to64_years_1to19_hours",0.100257980382151
"Armagh City, Banbridge and Craigavon","N09000002","percent_40to64_years_20to34_hours",0.0213188183931508
"Armagh City, Banbridge and Craigavon","N09000002","percent_40to64_years_35to49_hours",0.023771049498214
"Armagh City, Banbridge and Craigavon","N09000002","percent_40to64_years_50plus_hours",0.0531552985201565
"Armagh City, Banbridge and Craigavon","N09000002","percent_65_and_over_0_hours",0.878961959472977
"Armagh City, Banbridge and Craigavon","N09000002","percent_65_and_over_1to19_hours",0.0347251993483666
"Armagh City, Banbridge and Craigavon","N09000002","percent_65_and_over_20to34_hours",0.0122038354911544
"Armagh City, Banbridge and Craigavon","N09000002","percent_65_and_over_35to49_hours",0.00937437480350968
