"ltla21_name","ltla21_code","variable","value"
"Lisburn and Castlereagh","N09000007","percent_5to14_years_50plus_hours",0.00118820065092731
"Lisburn and Castlereagh","N09000007","percent_15to39_years_0_hours",0.913000824953736
"Lisburn and Castlereagh","N09000007","percent_15to39_years_1to19_hours",0.0443022452119239
"Lisburn and Castlereagh","N09000007","percent_15to39_years_20to34_hours",0.0099217408753428
"Lisburn and Castlereagh","N09000007","percent_15to39_years_35to49_hours",0.0142248779291432
"Lisburn and Castlereagh","N09000007","percent_15to39_years_50plus_hours",0.0185503110298544
"Lisburn and Castlereagh","N09000007","percent_40to64_years_0_hours",0.786838023487702
"Lisburn and Castlereagh","N09000007","percent_40to64_years_1to19_hours",0.122212597949358
"Lisburn and Castlereagh","N09000007","percent_40to64_years_20to34_hours",0.0218157645589509
"Lisburn and Castlereagh","N09000007","percent_40to64_years_35to49_hours",0.0197812380396028
"Lisburn and Castlereagh","N09000007","percent_40to64_years_50plus_hours",0.0493523759643857
"Lisburn and Castlereagh","N09000007","percent_65_and_over_0_hours",0.877617975813528
"Lisburn and Castlereagh","N09000007","percent_65_and_over_1to19_hours",0.0390645862739862
"Lisburn and Castlereagh","N09000007","percent_65_and_over_20to34_hours",0.0119406401403884
"Lisburn and Castlereagh","N09000007","percent_65_and_over_35to49_hours",0.00751535497653836
"Lisburn and Castlereagh","N09000007","percent_65_and_over_50plus_hours",0.0638614427955595
"Mid and East Antrim","N09000008","total_5_and_over",131458
"Mid and East Antrim","N09000008","count_5_and_over_0_hours",114798
"Mid and East Antrim","N09000008","count_5_and_over_1to19_hours",7912
"Mid and East Antrim","N09000008","count_5_and_over_20to34_hours",1737
"Mid and East Antrim","N09000008","count_5_and_over_35to49_hours",1993
"Mid and East Antrim","N09000008","count_5_and_over_50plus_hours",5018
"Mid and East Antrim","N09000008","total_5to14_years",16660
"Mid and East Antrim","N09000008","count_5to14_years_0_hours",16506
"Mid and East Antrim","N09000008","count_5to14_years_1to19_hours",122
"Mid and East Antrim","N09000008","count_5to14_years_20to34_hours",13
"Mid and East Antrim","N09000008","count_5to14_years_35to49_hours",6
"Mid and East Antrim","N09000008","count_5to14_years_50plus_hours",13
"Mid and East Antrim","N09000008","total_15to39_years",39823
"Mid and East Antrim","N09000008","count_15to39_years_0_hours",36035
"Mid and East Antrim","N09000008","count_15to39_years_1to19_hours",1762
"Mid and East Antrim","N09000008","count_15to39_years_20to34_hours",452
"Mid and East Antrim","N09000008","count_15to39_years_35to49_hours",709
"Mid and East Antrim","N09000008","count_15to39_years_50plus_hours",865
"Mid and East Antrim","N09000008","total_40to64_years",47635
"Mid and East Antrim","N09000008","count_40to64_years_0_hours",38102
"Mid and East Antrim","N09000008","count_40to64_years_1to19_hours",5027
"Mid and East Antrim","N09000008","count_40to64_years_20to34_hours",970
"Mid and East Antrim","N09000008","count_40to64_years_35to49_hours",1042
"Mid and East Antrim","N09000008","count_40to64_years_50plus_hours",2494
"Mid and East Antrim","N09000008","total_65_and_over",27340
"Mid and East Antrim","N09000008","count_65_and_over_0_hours",24155
"Mid and East Antrim","N09000008","count_65_and_over_1to19_hours",1001
"Mid and East Antrim","N09000008","count_65_and_over_20to34_hours",302
"Mid and East Antrim","N09000008","count_65_and_over_35to49_hours",236
"Mid and East Antrim","N09000008","count_65_and_over_50plus_hours",1646
"Mid and East Antrim","N09000008","percent_5_and_over_0_hours",0.873267507492888
"Mid and East Antrim","N09000008","percent_5_and_over_1to19_hours",0.0601865234523574
"Mid and East Antrim","N09000008","percent_5_and_over_20to34_hours",0.0132133457073742
"Mid and East Antrim","N09000008","percent_5_and_over_35to49_hours",0.0151607357482998
"Mid and East Antrim","N09000008","percent_5_and_over_50plus_hours",0.0381718875990811
"Mid and East Antrim","N09000008","percent_5to14_years_0_hours",0.990756302521008
"Mid and East Antrim","N09000008","percent_5to14_years_1to19_hours",0.00732292917166867
"Mid and East Antrim","N09000008","percent_5to14_years_20to34_hours",0.00078031212484994
"Mid and East Antrim","N09000008","percent_5to14_years_35to49_hours",0.000360144057623049
"Mid and East Antrim","N09000008","percent_5to14_years_50plus_hours",0.00078031212484994
"Mid and East Antrim","N09000008","percent_15to39_years_0_hours",0.904879089973131
"Mid and East Antrim","N09000008","percent_15to39_years_1to19_hours",0.044245787610175
"Mid and East Antrim","N09000008","percent_15to39_years_20to34_hours",0.0113502247444944
"Mid and East Antrim","N09000008","percent_15to39_years_35to49_hours",0.0178037817341737
"Mid and East Antrim","N09000008","percent_15to39_years_50plus_hours",0.0217211159380258
"Mid and East Antrim","N09000008","percent_40to64_years_0_hours",0.799874042195864
"Mid and East Antrim","N09000008","percent_40to64_years_1to19_hours",0.105531646898289
"Mid and East Antrim","N09000008","percent_40to64_years_20to34_hours",0.0203631783352577
"Mid and East Antrim","N09000008","percent_40to64_years_35to49_hours",0.0218746719848851
"Mid and East Antrim","N09000008","percent_40to64_years_50plus_hours",0.0523564605857038
"Mid and East Antrim","N09000008","percent_65_and_over_0_hours",0.883504023408925
"Mid and East Antrim","N09000008","percent_65_and_over_1to19_hours",0.036613021214338
"Mid and East Antrim","N09000008","percent_65_and_over_20to34_hours",0.0110460863204097
"Mid and East Antrim","N09000008","percent_65_and_over_35to49_hours",0.00863204096561814
"Mid and East Antrim","N09000008","percent_65_and_over_50plus_hours",0.0602048280907096
"Mid Ulster","N09000009","total_5_and_over",139692
"Mid Ulster","N09000009","count_5_and_over_0_hours",123963
"Mid Ulster","N09000009","count_5_and_over_1to19_hours",6896
"Mid Ulster","N09000009","count_5_and_over_20to34_hours",1783
"Mid Ulster","N09000009","count_5_and_over_35to49_hours",2310
"Mid Ulster","N09000009","count_5_and_over_50plus_hours",4740
"Mid Ulster","N09000009","total_5to14_years",22031
"Mid Ulster","N09000009","count_5to14_years_0_hours",21809
"Mid Ulster","N09000009","count_5to14_years_1to19_hours",163
"Mid Ulster","N09000009","count_5to14_years_20to34_hours",16
"Mid Ulster","N09000009","count_5to14_years_35to49_hours",9
"Mid Ulster","N09000009","count_5to14_years_50plus_hours",34
"Mid Ulster","N09000009","total_15to39_years",48351
"Mid Ulster","N09000009","count_15to39_years_0_hours",44246
"Mid Ulster","N09000009","count_15to39_years_1to19_hours",1835
"Mid Ulster","N09000009","count_15to39_years_20to34_hours",497
"Mid Ulster","N09000009","count_15to39_years_35to49_hours",893
"Mid Ulster","N09000009","count_15to39_years_50plus_hours",880
"Mid Ulster","N09000009","total_40to64_years",46785
"Mid Ulster","N09000009","count_40to64_years_0_hours",37934
"Mid Ulster","N09000009","count_40to64_years_1to19_hours",4234
"Mid Ulster","N09000009","count_40to64_years_20to34_hours",995
"Mid Ulster","N09000009","count_40to64_years_35to49_hours",1176
"Mid Ulster","N09000009","count_40to64_years_50plus_hours",2446
"Mid Ulster","N09000009","total_65_and_over",22525
"Mid Ulster","N09000009","count_65_and_over_0_hours",19974
"Mid Ulster","N09000009","count_65_and_over_1to19_hours",664
"Mid Ulster","N09000009","count_65_and_over_20to34_hours",275
"Mid Ulster","N09000009","count_65_and_over_35to49_hours",232
"Mid Ulster","N09000009","count_65_and_over_50plus_hours",1380
"Mid Ulster","N09000009","percent_5_and_over_0_hours",0.88740228502706
"Mid Ulster","N09000009","percent_5_and_over_1to19_hours",0.0493657475016465
"Mid Ulster","N09000009","percent_5_and_over_20to34_hours",0.0127637946339089
"Mid Ulster","N09000009","percent_5_and_over_35to49_hours",0.0165363800360794
"Mid Ulster","N09000009","percent_5_and_over_50plus_hours",0.0339317928013057
"Mid Ulster","N09000009","percent_5to14_years_0_hours",0.989923289909673
"Mid Ulster","N09000009","percent_5to14_years_1to19_hours",0.00739866551677182
"Mid Ulster","N09000009","percent_5to14_years_20to34_hours",0.000726249375879443
"Mid Ulster","N09000009","percent_5to14_years_35to49_hours",0.000408515273932186
"Mid Ulster","N09000009","percent_5to14_years_50plus_hours",0.00154327992374382
"Mid Ulster","N09000009","percent_15to39_years_0_hours",0.91509999793179
"Mid Ulster","N09000009","percent_15to39_years_1to19_hours",0.0379516452606978
"Mid Ulster","N09000009","percent_15to39_years_20to34_hours",0.0102790014684288
"Mid Ulster","N09000009","percent_15to39_years_35to49_hours",0.0184691112903559
"Mid Ulster","N09000009","percent_15to39_years_50plus_hours",0.018200244048727
"Mid Ulster","N09000009","percent_40to64_years_0_hours",0.810815432296676
"Mid Ulster","N09000009","percent_40to64_years_1to19_hours",0.0904990915891846
"Mid Ulster","N09000009","percent_40to64_years_20to34_hours",0.0212675002671797
"Mid Ulster","N09000009","percent_40to64_years_35to49_hours",0.0251362616223148
"Mid Ulster","N09000009","percent_40to64_years_50plus_hours",0.0522817142246447
"Mid Ulster","N09000009","percent_65_and_over_0_hours",0.886748057713652
"Mid Ulster","N09000009","percent_65_and_over_1to19_hours",0.0294783573806881
"Mid Ulster","N09000009","percent_65_and_over_20to34_hours",0.0122086570477248
"Mid Ulster","N09000009","percent_65_and_over_35to49_hours",0.010299667036626
"Mid Ulster","N09000009","percent_65_and_over_50plus_hours",0.0612652608213097
"Newry, Mourne and Down","N09000010","total_5_and_over",170352
"Newry, Mourne and Down","N09000010","count_5_and_over_0_hours",148972
"Newry, Mourne and Down","N09000010","count_5_and_over_1to19_hours",9395
"Newry, Mourne and Down","N09000010","count_5_and_over_20to34_hours",2537
"Newry, Mourne and Down","N09000010","count_5_and_over_35to49_hours",2688
"Newry, Mourne and Down","N09000010","count_5_and_over_50plus_hours",6760
"Newry, Mourne and Down","N09000010","total_5to14_years",26102
"Newry, Mourne and Down","N09000010","count_5to14_years_0_hours",25805
"Newry, Mourne and Down","N09000010","count_5to14_years_1to19_hours",241
"Newry, Mourne and Down","N09000010","count_5to14_years_20to34_hours",22
"Newry, Mourne and Down","N09000010","count_5to14_years_35to49_hours",9
"Newry, Mourne and Down","N09000010","count_5to14_years_50plus_hours",25
"Newry, Mourne and Down","N09000010","total_15to39_years",54787
"Newry, Mourne and Down","N09000010","count_15to39_years_0_hours",49436
"Newry, Mourne and Down","N09000010","count_15to39_years_1to19_hours",2471
"Newry, Mourne and Down","N09000010","count_15to39_years_20to34_hours",685
"Newry, Mourne and Down","N09000010","count_15to39_years_35to49_hours",946
"Newry, Mourne and Down","N09000010","count_15to39_years_50plus_hours",1249
"Newry, Mourne and Down","N09000010","total_40to64_years",59134
"Newry, Mourne and Down","N09000010","count_40to64_years_0_hours",47100
"Newry, Mourne and Down","N09000010","count_40to64_years_1to19_hours",5597
"Newry, Mourne and Down","N09000010","count_40to64_years_20to34_hours",1449
"Newry, Mourne and Down","N09000010","count_40to64_years_35to49_hours",1453
"Newry, Mourne and Down","N09000010","count_40to64_years_50plus_hours",3535
"Newry, Mourne and Down","N09000010","total_65_and_over",30329
"Newry, Mourne and Down","N09000010","count_65_and_over_0_hours",26631
"Newry, Mourne and Down","N09000010","count_65_and_over_1to19_hours",1086
"Newry, Mourne and Down","N09000010","count_65_and_over_20to34_hours",381
"Newry, Mourne and Down","N09000010","count_65_and_over_35to49_hours",280
"Newry, Mourne and Down","N09000010","count_65_and_over_50plus_hours",1951
"Newry, Mourne and Down","N09000010","percent_5_and_over_0_hours",0.874495162956701
"Newry, Mourne and Down","N09000010","percent_5_and_over_1to19_hours",0.0551505118812811
"Newry, Mourne and Down","N09000010","percent_5_and_over_20to34_hours",0.0148926927773082
"Newry, Mourne and Down","N09000010","percent_5_and_over_35to49_hours",0.0157790927021696
"Newry, Mourne and Down","N09000010","percent_5_and_over_50plus_hours",0.0396825396825397
"Newry, Mourne and Down","N09000010","percent_5to14_years_0_hours",0.988621561566164
"Newry, Mourne and Down","N09000010","percent_5to14_years_1to19_hours",0.00923300896483028
"Newry, Mourne and Down","N09000010","percent_5to14_years_20to34_hours",0.000842847291395295
"Newry, Mourne and Down","N09000010","percent_5to14_years_35to49_hours",0.000344801164661712
"Newry, Mourne and Down","N09000010","percent_5to14_years_50plus_hours",0.000957781012949199
"Newry, Mourne and Down","N09000010","percent_15to39_years_0_hours",0.902330844908464
"Newry, Mourne and Down","N09000010","percent_15to39_years_1to19_hours",0.0451019402412981
"Newry, Mourne and Down","N09000010","percent_15to39_years_20to34_hours",0.0125029660320879
"Newry, Mourne and Down","N09000010","percent_15to39_years_35to49_hours",0.0172668698778907
"Newry, Mourne and Down","N09000010","percent_15to39_years_50plus_hours",0.0227973789402596
"Newry, Mourne and Down","N09000010","percent_40to64_years_0_hours",0.796496093617885
"Newry, Mourne and Down","N09000010","percent_40to64_years_1to19_hours",0.0946494402543376
"Newry, Mourne and Down","N09000010","percent_40to64_years_20to34_hours",0.024503669631684
"Newry, Mourne and Down","N09000010","percent_40to64_years_35to49_hours",0.0245713126120337
"Newry, Mourne and Down","N09000010","percent_40to64_years_50plus_hours",0.0597794838840599
"Newry, Mourne and Down","N09000010","percent_65_and_over_0_hours",0.878070493586996
"Newry, Mourne and Down","N09000010","percent_65_and_over_1to19_hours",0.0358073131326453
"Newry, Mourne and Down","N09000010","percent_65_and_over_20to34_hours",0.0125622341653203
"Newry, Mourne and Down","N09000010","percent_65_and_over_35to49_hours",0.00923208810049787
"Newry, Mourne and Down","N09000010","percent_65_and_over_50plus_hours",0.0643278710145405
"Ards and North Down","N09000011","total_5_and_over",155613
"Ards and North Down","N09000011","count_5_and_over_0_hours",134334
"Ards and North Down","N09000011","count_5_and_over_1to19_hours",10538
"Ards and North Down","N09000011","count_5_and_over_20to34_hours",2183
"Ards and North Down","N09000011","count_5_and_over_35to49_hours",2235
"Ards and North Down","N09000011","count_5_and_over_50plus_hours",6323
"Ards and North Down","N09000011","total_5to14_years",19719
"Ards and North Down","N09000011","count_5to14_years_0_hours",19510
"Ards and North Down","N09000011","count_5to14_years_1to19_hours",167
"Ards and North Down","N09000011","count_5to14_years_20to34_hours",15
"Ards and North Down","N09000011","count_5to14_years_35to49_hours",3
"Ards and North Down","N09000011","count_5to14_years_50plus_hours",24
"Ards and North Down","N09000011","total_15to39_years",44204
"Ards and North Down","N09000011","count_15to39_years_0_hours",39767
"Ards and North Down","N09000011","count_15to39_years_1to19_hours",2209
"Ards and North Down","N09000011","count_15to39_years_20to34_hours",482
"Ards and North Down","N09000011","count_15to39_years_35to49_hours",726
"Ards and North Down","N09000011","count_15to39_years_50plus_hours",1020
"Ards and North Down","N09000011","total_40to64_years",55465
"Ards and North Down","N09000011","count_40to64_years_0_hours",43275
"Ards and North Down","N09000011","count_40to64_years_1to19_hours",6676
"Ards and North Down","N09000011","count_40to64_years_20to34_hours",1273
"Ards and North Down","N09000011","count_40to64_years_35to49_hours",1191
"Ards and North Down","N09000011","count_40to64_years_50plus_hours",3050
"Ards and North Down","N09000011","total_65_and_over",36225
"Ards and North Down","N09000011","count_65_and_over_0_hours",31782
"Ards and North Down","N09000011","count_65_and_over_1to19_hours",1486
"Ards and North Down","N09000011","count_65_and_over_20to34_hours",413
"Ards and North Down","N09000011","count_65_and_over_35to49_hours",315
"Ards and North Down","N09000011","count_65_and_over_50plus_hours",2229
"Ards and North Down","N09000011","percent_5_and_over_0_hours",0.863256925835245
"Ards and North Down","N09000011","percent_5_and_over_1to19_hours",0.0677192779523562
"Ards and North Down","N09000011","percent_5_and_over_20to34_hours",0.0140283909442013
"Ards and North Down","N09000011","percent_5_and_over_35to49_hours",0.0143625532571186
"Ards and North Down","N09000011","percent_5_and_over_50plus_hours",0.0406328520110788
"Ards and North Down","N09000011","percent_5to14_years_0_hours",0.989401085247731
"Ards and North Down","N09000011","percent_5to14_years_1to19_hours",0.00846898929966023
"Ards and North Down","N09000011","percent_5to14_years_20to34_hours",0.000760687661646128
"Ards and North Down","N09000011","percent_5to14_years_35to49_hours",0.000152137532329226
"Ards and North Down","N09000011","percent_5to14_years_50plus_hours",0.0012171002586338
"Ards and North Down","N09000011","percent_15to39_years_0_hours",0.899624468373903
"Ards and North Down","N09000011","percent_15to39_years_1to19_hours",0.0499728531354629
"Ards and North Down","N09000011","percent_15to39_years_20to34_hours",0.010903990589087
"Ards and North Down","N09000011","percent_15to39_years_35to49_hours",0.0164238530449733
"Ards and North Down","N09000011","percent_15to39_years_50plus_hours",0.0230748348565741
"Ards and North Down","N09000011","percent_40to64_years_0_hours",0.780221761471198
"Ards and North Down","N09000011","percent_40to64_years_1to19_hours",0.120364193635626
"Ards and North Down","N09000011","percent_40to64_years_20to34_hours",0.0229514107996034
"Ards and North Down","N09000011","percent_40to64_years_35to49_hours",0.0214730009916163
"Ards and North Down","N09000011","percent_40to64_years_50plus_hours",0.0549896331019562
"Ards and North Down","N09000011","percent_65_and_over_0_hours",0.877349896480331
"Ards and North Down","N09000011","percent_65_and_over_1to19_hours",0.0410213940648723
"Ards and North Down","N09000011","percent_65_and_over_20to34_hours",0.0114009661835749
"Ards and North Down","N09000011","percent_65_and_over_35to49_hours",0.00869565217391304
"Ards and North Down","N09000011","percent_65_and_over_50plus_hours",0.0615320910973085
