"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QK1",2020-11-01,2020,"Nov",17870,96726,19747
"QKK",2020-11-01,2020,"Nov",53135,191212,58896
"QKS",2020-11-01,2020,"Nov",34257,149122,36297
"QM7",2020-11-01,2020,"Nov",25255,98817,31651
"QMF",2020-11-01,2020,"Nov",32908,177681,42829
"QMJ",2020-11-01,2020,"Nov",31865,126152,34212
"QMM",2020-11-01,2020,"Nov",16075,107247,24781
"QNC",2020-11-01,2020,"Nov",14641,63210,16072
"QNQ",2020-11-01,2020,"Nov",10648,46721,13998
"QNX",2020-11-01,2020,"Nov",42878,175936,45175
"QOC",2020-11-01,2020,"Nov",10663,54966,10505
"QOP",2020-11-01,2020,"Nov",66178,390564,80876
"QOQ",2020-11-01,2020,"Nov",36529,165842,40283
"QOX",2020-11-01,2020,"Nov",20476,88927,23394
"QPM",2020-11-01,2020,"Nov",10880,48293,12942
"QR1",2020-11-01,2020,"Nov",9064,67465,13907
"QRL",2020-11-01,2020,"Nov",40054,165369,37697
"QRV",2020-11-01,2020,"Nov",48748,186299,57369
"QSL",2020-11-01,2020,"Nov",8669,42120,8988
"QT1",2020-11-01,2020,"Nov",24759,104909,28266
"QT6",2020-11-01,2020,"Nov",10984,35297,12101
"QU9",2020-11-01,2020,"Nov",29793,160083,37119
"QUA",2020-11-01,2020,"Nov",33193,141369,41910
"QUE",2020-11-01,2020,"Nov",25787,99975,28788
"QUY",2020-11-01,2020,"Nov",23299,107045,25018
"QVV",2020-11-01,2020,"Nov",14480,76920,17346
"QWE",2020-11-01,2020,"Nov",37054,134590,41273
"QWO",2020-11-01,2020,"Nov",38825,188429,46510
"QWU",2020-11-01,2020,"Nov",15816,76139,18500
"QXU",2020-11-01,2020,"Nov",24919,90485,29374
"QYG",2020-11-01,2020,"Nov",63757,258873,68330
"QE1",2021-02-01,2021,"Feb",29757,167281,37705
"QF7",2021-02-01,2021,"Feb",37501,143004,38026
"QGH",2021-02-01,2021,"Feb",7796,78658,12481
"QH8",2021-02-01,2021,"Feb",21938,115362,27430
"QHG",2021-02-01,2021,"Feb",14715,86748,22700
"QHL",2021-02-01,2021,"Feb",18666,205656,35259
