"date","hb_code","hb","red_calls","red_calls_resulting_in_an_emergency_response_at_the_scene","amber_calls","green_calls","red_calls_resulting_in_an_emergency_response_at_the_scene_within_8_minutes","red_calls_percent_of_emergency_responses_arriving_at_the_scene_within_8_minutes"
"September 2022","7A4","Cardiff & Vale",582,575,3644,848,340,59.130435
"September 2022","7A5","Cwm Taf Morgannwg",534,528,3159,722,222,42.045455
"September 2022","7A6","Aneurin Bevan",686,678,4721,1384,402,59.292035
"September 2022","7A7","Powys",126,123,1107,248,63,51.219512
"October 2022","599","WALES",4545,4477,27079,5966,2148,47.978557
"October 2022","7A1","Betsi Cadwaladr",959,940,6827,1508,423,45
"October 2022","7A2","Hywel Dda",583,575,3390,669,226,39.304348
"October 2022","7A3","Swansea Bay",588,578,3173,642,291,50.346021
"October 2022","7A4","Cardiff & Vale",687,674,3974,872,379,56.231454
"October 2022","7A5","Cwm Taf Morgannwg",667,657,3520,668,267,40.639269
"October 2022","7A6","Aneurin Bevan",858,853,4915,1346,481,56.389215
"October 2022","7A7","Powys",203,200,1280,261,81,40.5
